"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CANV0035","2012-07","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","1",",N","0",",N","0",",N","0","2,N","0","2,,N,31,+","1.0",",,N,24,","1.0",",,,N","0","2,,,N"
"US1CANV0035","2012-08","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","2",",N","0",",N","0",",N","0","2,N","0","2,,N,31,+","0.5",",,N,05,","0.8",",,,N","0","2,,,N"
"US1CANV0035","2012-09","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","0",",N","0",",N","0",",N","0","2,N","0","2,,N,30,+","0.0",",T,N,07,+","0.0",",T,,N","0","2,,,N"
"US1CANV0035","2012-10","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","4",",N","4",",N","2",",N","0","2,N","0","2,,N,31,+","33.0",",,N,22,","74.1",",,,N","0","2,,,N"
"US1CANV0035","2012-11","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","12",",N","9",",N","5",",N","","","","","96.5",",,N,30,","302.5",",,,N","",""
"US1CANV0035","2012-12","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","16",",N","12",",N","9",",N","","","","","67.8",",,N,02,","415.2",",,,N","",""
"US1CANV0035","2013-01","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","6",",N","4",",N","0",",N","0","1,N","20","1,,N,10,","16.0",",,N,10,","41.5",",,,N","28","1,,,N"
"US1CANV0035","2013-02","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","2",",N","2",",N","0",",N","1",",N","130",",,N,20,","17.3",",,N,20,","20.3",",,,N","130",",,,N"
"US1CANV0035","2013-03","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","7",",N","5",",N","0",",N","0","1,N","0","1,,N,31,+","23.9",",,N,20,","75.5",",,,N","0","1,,,N"
"US1CANV0035","2013-04","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","6",",N","3",",N","0",",N","0",",N","0",",,N,30,+","16.8",",,N,05,","38.7",",,,N","0",",,,N"
"US1CANV0035","2013-05","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","6","2,N","4","2,N","0","2,N","","","","","10.4","2,,N,08,","30.8","2,,,N","",""
"US1CANV0035","2013-06","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","2",",N","2",",N","1",",N","0","3,N","0","3,,N,30,+","25.7",",,N,25,","45.0",",,,N","0","3,,,N"
"US1CANV0035","2013-07","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CANV0035","2013-08","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","3",",N","0",",N","0",",N","0","3,N","0","3,,N,31,+","0.5",",,N,26,+","1.3",",,,N","0","3,,,N"
"US1CANV0035","2013-09","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","5",",N","4",",N","1",",N","0","5,N","0","5,,N,30,+","34.5",",,N,03,","56.7",",,,N","0","5,,,N"
"US1CANV0035","2013-10","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","3",",N","2",",N","0",",N","0","5,N","0","5,,N,31,+","9.9",",,N,28,","16.0",",,,N","0","5,,,N"
"US1CANV0035","2013-11","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","3",",N","3",",N","1",",N","0","3,N","0","3,,N,30,+","27.7",",,N,20,","38.7",",,,N","0","3,,,N"
"US1CANV0035","2013-12","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","3",",N","2",",N","0",",N","1","2,N","152","2,,N,07,","17.3",",,N,07,","24.4",",,,N","152","2,,,N"
"US1CANV0035","2014-01","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","3",",N","2",",N","1",",N","0","3,N","0","3,,N,31,+","31.2",",,N,30,","38.6",",,,N","0","3,,,N"
"US1CANV0035","2014-02","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","12",",N","8",",N","4",",N","","","","","156.7",",,N,09,","336.7",",,,N","",""
"US1CANV0035","2014-03","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","12",",N","11",",N","4",",N","","","","","58.2",",,N,01,","245.6",",,,N","",""
"US1CANV0035","2014-04","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","9",",N","4",",N","0",",N","","","","","22.4",",,N,25,","68.7",",,,N","",""
"US1CANV0035","2014-05","39.2381553649902","-121.046287536621","848.0","GRASS VALLEY 1.3 NNE, CA US","4",",N","2",",N","0",",N","","","","","9.1",",,N,06,","17.0",",,,N","",""
