"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CASD0023","2009-01","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,31,+","3.0",",,N,24,","4.3",",,,N","0","2,,,N"
"US1CASD0023","2009-02","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","8",",N","6",",N","0",",N","","","","","21.6",",,N,07,","68.7",",,,N","",""
"US1CASD0023","2009-03","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","2",",N","0",",N","0",",N","0","2,N","0","2,,N,31,+","1.0",",,N,23,+","2.0",",,,N","0","2,,,N"
"US1CASD0023","2009-04","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","2",",N","0",",N","0",",N","0","2,N","0","2,,N,30,+","1.0",",,N,11,+","2.0",",,,N","0","2,,,N"
"US1CASD0023","2009-05","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASD0023","2009-06","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASD0023","2009-07","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASD0023","2009-08","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASD0023","2009-09","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASD0023","2009-10","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","2",",N","0",",N","0",",N","0","2,N","0","2,,N,31,+","1.5",",,N,13,","2.5",",,,N","0","2,,,N"
"US1CASD0023","2009-11","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,30,+","2.5",",,N,29,","4.5",",,,N","0","2,,,N"
"US1CASD0023","2009-12","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","5",",N","4",",N","0",",N","0","5,N","0","5,,N,31,+","24.6",",,N,08,","51.6",",,,N","0","5,,,N"
"US1CASD0023","2010-01","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","7",",N","6",",N","2",",N","","","","","36.1",",,N,21,","123.7",",,,N","",""
"US1CASD0023","2010-02","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","9",",N","7",",N","0",",N","","","","","21.8",",,N,28,","75.1",",,,N","",""
"US1CASD0023","2010-03","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","3",",N","1",",N","0",",N","0","3,N","0","3,,N,31,+","2.5",",,N,07,","4.8",",,,N","0","3,,,N"
"US1CASD0023","2010-04","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","9",",N","4",",N","0",",N","","","","","18.5",",,N,12,","46.0",",,,N","",""
"US1CASD0023","2010-05","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASD0023","2010-06","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASD0023","2010-07","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASD0023","2010-08","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASD0023","2010-09","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASD0023","2010-10","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","10",",N","9",",N","1",",N","","","","","29.5",",,N,20,","66.7",",,,N","",""
"US1CASD0023","2010-11","33.026667","-117.271243","81.1","CARDIFF BY THE SEA 0.2 E, CA US","6",",N","3",",N","0",",N","","","","","9.1",",,N,21,","19.0",",,,N","",""
