"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CASM0032","2015-11","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","3","3,N","3","3,N","0","3,N","","","","","9.7","3,,N,10,","23.1","3,,,N","",""
"US1CASM0032","2015-12","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","16",",N","9",",N","1",",N","","","","","30.0",",,N,22,","98.4",",,,N","",""
"US1CASM0032","2016-01","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","20",",N","12",",N","1",",N","","","","","27.2",",,N,18,","134.7",",,,N","",""
"US1CASM0032","2016-02","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","4",",N","2",",N","0",",N","0","4,N","0","4,,N,29,+","15.5",",,N,18,","21.1",",,,N","0","4,,,N"
"US1CASM0032","2016-03","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","12",",N","7",",N","2",",N","","","","","53.3",",,N,06,","152.2",",,,N","",""
"US1CASM0032","2016-04","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","7",",N","3",",N","0",",N","","","","","11.9",",,N,09,","24.3",",,,N","",""
"US1CASM0032","2016-06","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2016-09","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2016-12","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","11","4,N","7","4,N","1","4,N","","","","","45.5","4,,N,08,","110.2",",a,,N","",""
"US1CASM0032","2017-01","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","19",",N","16",",N","1",",N","","","","","38.1",",,N,11,","227.4",",,,N","",""
"US1CASM0032","2017-02","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","16",",N","13",",N","2",",N","","","","","40.6",",,N,07,","187.5",",,,N","",""
"US1CASM0032","2017-03","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","7",",N","4",",N","0",",N","","","","","17.5",",,N,21,","55.4",",,,N","",""
"US1CASM0032","2017-04","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","7",",N","6",",N","0",",N","","","","","24.4",",,N,07,","50.9",",,,N","",""
"US1CASM0032","2017-05","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2017-06","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2017-07","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2017-08","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2017-09","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","1",",N","1",",N","0",",N","0","1,N","0","1,,N,30,+","2.5",",,N,11,","2.5",",,,N","0","1,,,N"
"US1CASM0032","2017-10","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","1",",N","1",",N","0",",N","0","1,N","0","1,,N,31,+","3.6",",,N,20,","3.6",",,,N","0","1,,,N"
"US1CASM0032","2017-11","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","7",",N","5",",N","1",",N","","","","","25.9",",,N,16,","70.5",",,,N","",""
"US1CASM0032","2017-12","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,31,+","3.6",",,N,20,","4.4",",,,N","0","2,,,N"
"US1CASM0032","2018-01","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","10",",N","7",",N","1",",N","","","","","51.8",",,N,09,","119.4",",,,N","",""
"US1CASM0032","2018-02","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,28,+","0.0",",,N,28,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2018-03","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","11",",N","6",",N","0",",N","","","","","18.8",",,N,22,","62.7",",,,N","",""
"US1CASM0032","2018-04","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","6",",N","3",",N","1",",N","","","","","26.2",",,N,07,","46.8",",,,N","",""
"US1CASM0032","2018-05","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2018-06","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2018-07","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2018-08","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2018-09","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2018-10","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2018-11","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","6",",N","5",",N","0",",N","","","","","17.5",",,N,29,","62.7",",,,N","",""
"US1CASM0032","2018-12","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","6","4,N","4","4,N","0","4,N","","","","","12.2","4,,N,17,","38.4","4,,,N","",""
"US1CASM0032","2019-01","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","14","1,N","7","1,N","2","1,N","","","","","33.0","1,,N,17,+","115.8","1,,,N","",""
"US1CASM0032","2019-02","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","13","1,N","13","1,N","0","1,N","","","","","21.1","1,,N,14,","182.0","1,,,N","",""
"US1CASM0032","2019-03","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","15",",N","8",",N","0",",N","","","","","20.3",",,N,06,","99.9",",,,N","",""
"US1CASM0032","2019-04","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2019-06","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2019-07","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2019-08","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0.0",",,N,31,+","0.0",",,,N","0",",,,N"
"US1CASM0032","2019-12","37.568428","-122.30121","1.5","SAN MATEO 0.8 NE, CA US","18","3,N","11","3,N","0","3,N","","","","","13.2","3,,N,08,","85.6","3,,,N","",""
