"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CHARM202","2009-03","34.409167","-86.811944","342.9","FALKVILLE 6.0 ENE, AL US","11","2,N","6","2,N","2","2,N","1","1,N","1","1,N","25","1,,N,02,","25","1,,N,02,","53.1","2,,N,26,","132.2","2,,,N","25","1,,,N"
"US1CHARM202","2009-04","34.409167","-86.811944","342.9","FALKVILLE 6.0 ENE, AL US","10","2,N","7","2,N","3","2,N","0","2,N","0","2,N","0","2,,N,30,+","0","2,,N,30,+","45.2","2,,N,03,","126.2","2,,,N","0","2,,,N"
"US1CHARM202","2009-05","34.409167","-86.811944","342.9","FALKVILLE 6.0 ENE, AL US","19","2,N","15","2,N","6","2,N","0","2,N","0","2,N","0","2,,N,31,+","0","2,,N,31,+","73.9","2,,N,04,","334.4","2,,,N","0","2,,,N"
"US1CHARM202","2009-06","34.409167","-86.811944","342.9","FALKVILLE 6.0 ENE, AL US","7","4,N","6","4,N","2","4,N","0","4,N","0","4,N","0","4,,N,30,+","0","4,,N,30,+","39.4","4,,N,05,","117.8","4,,,N","0","4,,,N"
"US1CHARM202","2009-07","34.409167","-86.811944","342.9","FALKVILLE 6.0 ENE, AL US","11","4,N","9","4,N","1","4,N","0","4,N","0","4,N","0","4,,N,31,+","0","4,,N,31,+","48.3","4,,N,05,","139.2","4,,,N","0","4,,,N"
"US1CHARM202","2009-08","34.409167","-86.811944","342.9","FALKVILLE 6.0 ENE, AL US","9","4,N","8","4,N","0","4,N","0","4,N","0","4,N","0","4,,N,31,+","0","4,,N,31,+","23.1","4,,N,12,","100.3","4,,,N","0","4,,,N"
"US1CHARM202","2009-09","34.409167","-86.811944","342.9","FALKVILLE 6.0 ENE, AL US","19","2,N","12","2,N","1","2,N","0","2,N","0","2,N","0","2,,N,30,+","0","2,,N,30,+","46.0","2,,N,19,","185.2","2,,,N","0","2,,,N"
"US1CHARM202","2009-10","34.409167","-86.811944","342.9","FALKVILLE 6.0 ENE, AL US","17","3,N","12","3,N","3","3,N","0","3,N","0","3,N","0","3,,N,31,+","0","3,,N,31,+","41.1","3,,N,14,","177.6","3,,,N","0","3,,,N"
"US1CHARM202","2009-11","34.409167","-86.811944","342.9","FALKVILLE 6.0 ENE, AL US","8","3,N","5","3,N","1","3,N","0","3,N","0","3,N","0","3,,N,30,+","0","3,,N,30,+","25.4","3,,N,11,","71.6","3,,,N","0","3,,,N"
"US1CHARM202","2009-12","34.409167","-86.811944","342.9","FALKVILLE 6.0 ENE, AL US","11","3,N","10","3,N","3","3,N","1","2,N","1","2,N","25","2,,N,05,","25","2,,N,05,","124.5","3,,N,09,","245.6","3,,,N","25","2,,,N"
"US1CHARM202","2010-01","34.409167","-86.811944","342.9","FALKVILLE 6.0 ENE, AL US","9","3,N","8","3,N","2","3,N","0","1,N","0","1,N","0","1,,N,31,+","6","1,,N,09,+","40.6","3,,N,24,","149.4","3,,,N","12","1,,,N"
