"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COAM0021","2008-08","37.479538","-105.854837","2301.2","ALAMOSA 1.2 NE, CO US","9",",N","2",",N","0",",N","","","0",",N","","","0",",,N,31,+","15.2",",,N,17,","29.1",",,,N","0",",,,N"
"US1COAM0021","2008-09","37.479538","-105.854837","2301.2","ALAMOSA 1.2 NE, CO US","5",",N","0",",N","0",",N","","","0","2,N","","","0","2,,N,30,+","2.3",",,N,01,","5.2",",,,N","0","2,,,N"
"US1COAM0021","2008-10","37.479538","-105.854837","2301.2","ALAMOSA 1.2 NE, CO US","3",",N","2",",N","0",",N","","","0","1,N","","","0","1,T,N,15,","4.3",",,N,12,","10.7",",,,N","0","1,T,,N"
"US1COAM0021","2008-11","37.479538","-105.854837","2301.2","ALAMOSA 1.2 NE, CO US","3",",N","2",",N","0",",N","","","2","1,N","","","99","1,,N,11,","8.1",",,N,11,","16.0",",,,N","142","1,,,N"
"US1COAM0021","2008-12","37.479538","-105.854837","2301.2","ALAMOSA 1.2 NE, CO US","8",",N","1",",N","0",",N","23","5,N","2",",N","76","5,,N,18,","74",",,N,09,","8.9",",,N,09,","15.6",",,,N","158",",,,N"
"US1COAM0021","2009-01","37.479538","-105.854837","2301.2","ALAMOSA 1.2 NE, CO US","3",",N","0",",N","0",",N","23",",N","1",",N","76",",,N,10,","46",",,N,10,","2.3",",,N,10,","3.9",",,,N","67",",,,N"
"US1COAM0021","2009-02","37.479538","-105.854837","2301.2","ALAMOSA 1.2 NE, CO US","2",",N","0",",N","0",",N","","","0","2,N","","","0","2,T,N,11,+","0.5",",,N,09,","0.8",",,,N","0","2,T,,N"
"US1COAM0021","2009-03","37.479538","-105.854837","2301.2","ALAMOSA 1.2 NE, CO US","4","1,N","1","1,N","0","1,N","","","1","3,N","","","147","3,,N,27,","10.7","1,,N,27,","13.3","1,,,N","165","3,,,N"
"US1COAM0021","2009-04","37.479538","-105.854837","2301.2","ALAMOSA 1.2 NE, CO US","6",",N","4",",N","0",",N","","","3",",N","","","122",",,N,13,","12.2",",,N,13,","29.5",",,,N","303",",,,N"
"US1COAM0021","2009-05","37.479538","-105.854837","2301.2","ALAMOSA 1.2 NE, CO US","10","1,N","5","1,N","0","1,N","","","","","","","","","13.2","1,,N,22,","38.5","1,,,N","",""
