"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COBO0342","2013-05","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","11",",N","5",",N","0",",N","","","","","13.2",",,N,30,+","55.9",",,,N","",""
"US1COBO0342","2013-07","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","11","5,N","4","5,N","0","5,N","","","","","16.8","5,,N,26,","47.1","5,,,N","",""
"US1COBO0342","2013-09","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","12","2,N","8","2,N","2","2,N","","","","","112.3","2,,N,12,","263.3","2,,,N","",""
"US1COBO0342","2013-10","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","8","5,N","5","5,N","0","5,N","","","","","17.5","5,,N,04,","43.1","5,,,N","",""
"US1COBO0342","2013-11","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","3","2,N","1","2,N","0","2,N","2","2,N","28","2,,N,22,","3.8","2,,N,21,","5.8","2,,,N","61","2,,,N"
"US1COBO0342","2013-12","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","6","2,N","2","2,N","0","2,N","3","4,N","74","4,,N,04,","3.0","2,,N,04,","8.3","2,,,N","130","4,,,N"
"US1COBO0342","2014-01","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","8","5,N","4","5,N","0","5,N","","","","","6.6","5,,N,05,","20.6","5,,,N","",""
"US1COBO0342","2014-02","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","10","2,N","1","2,N","0","2,N","3","3,N","102","3,,N,01,","4.1","2,,N,01,","12.0","2,,,N","213","3,,,N"
"US1COBO0342","2014-03","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","8","3,N","4","3,N","0","3,N","2","5,N","53","5,,N,05,","16.5","3,,N,08,","34.6","3,,,N","104","5,,,N"
"US1COBO0342","2014-04","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","6","2,N","3","2,N","0","2,N","","","","","13.0","2,,N,03,","22.2","2,,,N","",""
"US1COBO0342","2014-05","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","14","3,N","8","3,N","1","3,N","","","","","32.3","3,,N,12,","77.3","3,,,N","",""
"US1COBO0342","2014-06","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","8",",N","1",",N","0",",N","","","","","8.1",",,N,09,","14.0",",,,N","",""
"US1COBO0342","2014-07","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","11","1,N","6","1,N","1","1,N","","","","","30.2","1,,N,30,","88.2","1,,,N","",""
"US1COBO0342","2014-08","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","12","3,N","3","3,N","0","3,N","","","","","15.7","3,,N,24,","33.0","3,,,N","",""
"US1COBO0342","2014-09","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","12","1,N","4","1,N","0","1,N","","","","","15.7","1,,N,30,","45.8","1,,,N","",""
"US1COBO0342","2014-11","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","7",",N","2",",N","0",",N","3","2,N","76","2,,N,12,","3.0",",,N,12,+","12.8",",,,N","173","2,,,N"
"US1COBO0342","2014-12","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","6",",N","3",",N","0",",N","3","2,N","183","2,,N,26,","6.1",",,N,26,","17.8",",,,N","293","2,,,N"
"US1COBO0342","2015-01","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","6",",N","1",",N","0",",N","0","3,N","8","3,,N,09,","3.8",",,N,04,","8.9",",,,N","14","3,,,N"
"US1COBO0342","2015-02","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","11",",N","8",",N","0",",N","8","2,N","183","2,,N,26,","14.2",",,N,26,","66.6",",,,N","859","2,,,N"
"US1COBO0342","2015-03","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","5","1,N","1","1,N","0","1,N","1","4,N","76","4,,N,04,","4.1","1,,N,26,","8.8","1,,,N","81","4,,,N"
"US1COBO0342","2015-04","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","9","1,N","5","1,N","1","1,N","","","","","50.0","1,,N,17,","95.7","1,,,N","",""
"US1COBO0342","2015-05","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","19","5,N","14","5,N","2","5,N","","","","","43.9","5,,N,09,","183.0","2,a,,N","",""
"US1COBO0342","2015-06","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","12",",N","4",",N","0",",N","","","","","19.3",",,N,12,","52.9",",,,N","",""
"US1COBO0342","2015-07","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","13","4,N","5","4,N","0","4,N","","","","","17.5","4,,N,09,","71.9","2,a,,N","",""
"US1COBO0342","2015-08","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","5",",N","2",",N","0",",N","0","4,N","0","4,,N,31,+","4.6",",,N,19,","10.9",",,,N","0","4,,,N"
"US1COBO0342","2015-09","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","6",",N","0",",N","0",",N","","","","","2.3",",,N,08,+","6.7",",,,N","",""
"US1COBO0342","2015-10","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","8","1,N","4","1,N","0","1,N","","","","","20.3","1,,N,21,","55.6","1,,,N","",""
"US1COBO0342","2015-11","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","9","5,N","5","5,N","0","5,N","","","","","16.5","5,,N,05,","42.3","5,,,N","",""
"US1COBO0342","2015-12","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","5","1,N","3","1,N","0","1,N","4","1,N","152","1,,N,16,","7.6","1,,N,15,","16.3","1,,,N","432","1,,,N"
"US1COBO0342","2016-01","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","4","5,N","1","5,N","0","5,N","","","","","4.8","5,,N,08,","7.4","1,a,,N","",""
"US1COBO0342","2016-02","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","2",",N","2",",N","0",",N","1","1,N","292","1,,N,02,","17.3",",,N,02,","22.9",",,,N","292","1,,,N"
"US1COBO0342","2016-03","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","7",",N","4",",N","1",",N","5","2,N","292","2,,N,24,","28.2",",,N,24,","75.0",",,,N","685","2,,,N"
"US1COBO0342","2016-04","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","7",",N","5",",N","1",",N","2","4,N","305","4,,N,17,","35.6",",,N,17,","78.4",",,,N","372","4,,,N"
"US1COBO0342","2016-05","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","12",",N","4",",N","0",",N","","","","","16.5",",,N,08,","40.2",",,,N","",""
"US1COBO0342","2016-06","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","9",",N","5",",N","0",",N","","","","","13.0",",,N,01,","38.2",",,,N","",""
"US1COBO0342","2016-07","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","6","3,N","1","3,N","0","3,N","","","","","12.7","3,,N,16,","18.4",",a,,N","",""
"US1COBO0342","2016-08","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","10",",N","3",",N","0",",N","","","","","3.8",",,N,17,","16.3",",,,N","",""
"US1COBO0342","2016-09","39.983686","-105.1492","1677.0","LOUISVILLE 1.2 NNW, CO US","6","3,N","2","3,N","0","3,N","","","","","7.1","3,,N,15,","15.3","1,a,,N","",""
