"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COCU0026","2013-08","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","14","4,N","6","4,N","0","4,N","","","","","6.4","4,,N,07,","35.7","2,a,,N","",""
"US1COCU0026","2013-10","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","6","3,N","3","3,N","0","3,N","","","","","7.9","3,,N,16,","19.1","3,,,N","",""
"US1COCU0026","2013-11","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","9","4,N","5","4,N","0","4,N","5","4,N","305","4,,N,25,","22.4","4,,N,25,","50.6","2,a,,N","649","4,,,N"
"US1COCU0026","2013-12","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","","","","","","","","","","","","","4.1","3,a,,N","",""
"US1COCU0026","2014-01","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","5","4,N","1","4,N","0","4,N","4","4,N","76","4,,N,31,","5.8","4,,N,31,","11.4","4,,,N","187","4,,,N"
"US1COCU0026","2014-02","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","7",",N","3",",N","0",",N","3",",N","58",",,N,01,","4.6",",,N,02,+","16.9",",,,N","191",",,,N"
"US1COCU0026","2014-03","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","5","5,N","4","5,N","0","5,N","3","5,N","58","5,,N,23,+","4.6","5,,N,12,","33.1",",a,,N","175","5,,,N"
"US1COCU0026","2014-04","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","8","2,N","4","2,N","0","2,N","3","5,N","117","5,,N,04,","9.4","2,,N,04,","31.0","2,,,N","259","5,,,N"
"US1COCU0026","2014-05","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","9","3,N","6","3,N","0","3,N","","","","","24.1","3,,N,12,","78.5","3,,,N","",""
"US1COCU0026","2014-07","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","","","","","","","","","","","","","134.2","1,a,,N","",""
"US1COCU0026","2014-08","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","","","","","","","","","","","","","60.5","4,a,,N","",""
"US1COCU0026","2014-09","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","","","","","","","","","","","","","16.1","4,a,,N","",""
"US1COCU0026","2014-10","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","","","","","","","","","","","","","23.4","3,a,,N","",""
"US1COCU0026","2014-12","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","","","","","","","","","","","","","19.4","4,a,,N","",""
"US1COCU0026","2015-01","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","4","4,N","0","4,N","0","4,N","1","4,N","61","4,,N,02,","1.8","4,,N,02,","4.9","2,a,,N","101","4,,,N"
"US1COCU0026","2015-02","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","7","1,N","4","1,N","0","1,N","4","1,N","188","1,,N,23,","11.4","1,,N,23,","28.7","1,,,N","501","1,,,N"
"US1COCU0026","2015-03","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","","","","","","","","","","","","","27.4","1,a,,N","",""
"US1COCU0026","2015-04","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","","","","","","","","","","","","","33.3","2,a,,N","",""
"US1COCU0026","2015-05","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","12","4,N","6","4,N","1","4,N","","","","","28.7","4,,N,10,","75.4","4,,,N","",""
"US1COCU0026","2015-07","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","15","3,N","6","3,N","0","3,N","","","","","8.9","3,,N,21,","42.1","3,,,N","",""
"US1COCU0026","2015-09","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","3","5,N","2","5,N","0","5,N","","","","","6.1","5,,N,24,","9.1","2,a,,N","",""
"US1COCU0026","2015-11","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","","","","","","","","","","","","","22.9","3,a,,N","",""
"US1COCU0026","2015-12","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","3","1,N","1","1,N","0","1,N","2","1,N","107","1,,N,13,","8.6","1,,N,13,","11.1","1,,,N","143","1,,,N"
"US1COCU0026","2016-01","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","4","3,N","1","3,N","0","3,N","1","3,N","38","3,,N,09,","2.5","3,,N,31,","6.0","3,a,,N","81","3,,,N"
"US1COCU0026","2016-02","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","3",",N","3",",N","0",",N","3",",N","312",",,N,23,","12.2",",,N,01,","31.8",",,,N","533",",,,N"
"US1COCU0026","2016-03","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","3","1,N","0","1,N","0","1,N","1","3,N","30","3,,N,27,","2.3","1,,N,27,","4.1","1,,,N","30","3,,,N"
"US1COCU0026","2016-04","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","","","","","","","","","","","","","87.7","3,a,,N","",""
"US1COCU0026","2016-05","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","9","3,N","4","3,N","0","3,N","","","","","8.9","3,,N,28,","29.9","1,a,,N","",""
"US1COCU0026","2016-06","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","","","","","","","","","","","","","28.2","4,a,,N","",""
"US1COCU0026","2016-08","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","19","3,N","9","3,N","0","3,N","","","","","11.2","3,,N,24,","73.1","1,a,,N","",""
"US1COCU0026","2016-09","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","","","","","","","","","","","","","8.2","1,a,,N","",""
"US1COCU0026","2016-11","38.1765782833099","-105.314146801829","2647.2","WESTCLIFFE 8.7 ENE, CO US","1","2,N","0","2,N","0","2,N","0","5,N","13","5,,N,27,","0.5","2,,N,27,","0.5","2,,,N","13","5,,,N"
