"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COKW0026","2010-08","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","7","1,N","3","1,N","0","1,N","","","","","6.6","1,,N,15,","20.9","1,,,N","",""
"US1COKW0026","2010-09","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,30,+","15.5",",,N,23,","15.8",",,,N","0","2,,,N"
"US1COKW0026","2010-10","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","1",",N","1",",N","0",",N","0","5,N","0","5,,N,31,+","4.1",",,N,02,","4.1",",,,N","0","5,,,N"
"US1COKW0026","2010-11","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","1","1,N","0","1,N","0","1,N","1","2,N","30","2,,N,14,","1.5","1,,N,14,","1.5","1,,,N","30","2,,,N"
"US1COKW0026","2010-12","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","1","4,N","0","4,N","0","4,N","","","","","0.8","4,,N,31,","0.8","4,,,N","",""
"US1COKW0026","2011-01","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","4",",N","0",",N","0",",N","","","","","1.0",",,N,18,","2.8",",,,N","",""
"US1COKW0026","2011-02","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","4","1,N","0","1,N","0","1,N","0","5,N","0","5,,N,28,+","1.3","1,,N,09,","2.7","1,,,N","0","5,,,N"
"US1COKW0026","2011-03","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","5","3,N","2","3,N","0","3,N","","","","","9.7","3,,N,29,","14.9","3,,,N","",""
"US1COKW0026","2011-04","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","6",",N","3",",N","0",",N","","","","","11.9",",,N,15,","21.6",",,,N","",""
"US1COKW0026","2011-05","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","7",",N","3",",N","0",",N","","","","","7.4",",,N,25,","16.1",",,,N","",""
"US1COKW0026","2011-06","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","2",",N","1",",N","0",",N","","","","","25.1",",,N,21,","26.9",",,,N","",""
"US1COKW0026","2011-07","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","9",",N","6",",N","0",",N","","","","","18.3",",,N,08,","53.3",",,,N","",""
"US1COKW0026","2011-08","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","6",",N","5",",N","1",",N","","","","","30.7",",,N,03,","62.0",",,,N","",""
"US1COKW0026","2011-09","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","7",",N","2",",N","0",",N","","","","","7.9",",,N,15,","17.1",",,,N","",""
"US1COKW0026","2011-10","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","3",",N","0",",N","0",",N","0","5,N","0","5,,N,31,+","1.5",",,N,08,","3.1",",,,N","0","5,,,N"
"US1COKW0026","2011-11","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","2","1,N","1","1,N","0","1,N","0","3,N","0","3,,N,30,+","7.6","1,,N,08,","9.1","1,,,N","0","3,,,N"
"US1COKW0026","2011-12","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","3",",N","1",",N","0",",N","","","","","4.3",",,N,20,","5.6",",,,N","",""
"US1COKW0026","2012-01","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","2",",N","0",",N","0",",N","0","3,N","0","3,,N,31,+","0.5",",,N,23,+","1.0",",,,N","0","3,,,N"
"US1COKW0026","2012-02","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","3",",N","1",",N","0",",N","","","","","12.2",",,N,03,","13.2",",,,N","",""
"US1COKW0026","2012-03","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","3","1,N","2","1,N","0","1,N","0","5,N","0","5,,N,31,+","8.4","1,,N,22,","15.5","1,,,N","0","5,,,N"
"US1COKW0026","2012-04","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","7",",N","5",",N","0",",N","","","","","15.7",",,N,04,","44.4",",,,N","",""
"US1COKW0026","2012-05","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","3",",N","2",",N","0",",N","","","","","3.0",",,N,20,","7.0",",,,N","",""
"US1COKW0026","2012-06","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","4","4,N","3","4,N","0","4,N","","","","","15.7","4,,N,03,","30.5","4,,,N","",""
"US1COKW0026","2012-08","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","6","4,N","2","4,N","0","4,N","","","","","20.1","4,,N,03,","30.0","4,,,N","",""
"US1COKW0026","2012-09","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","3","3,N","2","3,N","0","3,N","","","","","23.6","3,,N,28,","32.7","3,,,N","",""
"US1COKW0026","2012-10","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","6","4,N","2","4,N","0","4,N","","","","","3.0","4,,N,06,","10.4","4,,,N","",""
"US1COKW0026","2012-12","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","3","3,N","0","3,N","0","3,N","","","","","2.0","3,,N,15,","3.6","3,,,N","",""
"US1COKW0026","2013-01","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","2",",N","0",",N","0",",N","","","","","1.0",",,N,14,","1.3",",,,N","",""
"US1COKW0026","2013-02","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","2",",N","1",",N","0",",N","","","","","13.7",",,N,21,","14.2",",,,N","",""
"US1COKW0026","2013-03","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","3","1,N","1","1,N","0","1,N","","","","","2.5","1,,N,24,","5.3","1,,,N","",""
"US1COKW0026","2013-04","38.484614","-102.7764405","1286.3","EADS 0.3 NE, CO US","2","3,N","1","3,N","0","3,N","","","","","2.5","3,,N,23,","4.5","3,,,N","",""
