"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COLP0098","2006-06","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","3",",N","2",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","11.4",",,N,09,","15.0",",,,N","0",",,,N"
"US1COLP0098","2006-09","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","","","","","","","","","","","","","","","","","79.4",",a,,N","",""
"US1COLP0098","2006-10","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","10",",N","8",",N","2",",N","0",",N","0",",N","0",",,N,31,+","0",",T,N,26,+","28.2",",,N,07,","117.9",",,,N","0",",T,,N"
"US1COLP0098","2006-11","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","6",",N","5",",N","0",",N","6",",N","4",",N","127",",,N,29,","99",",,N,29,","6.4",",,N,29,","21.0",",,,N","283",",,,N"
"US1COLP0098","2006-12","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","7",",N","3",",N","0",",N","20",",N","3",",N","254",",,N,20,","224",",,N,19,","21.6",",,N,19,","34.2",",,,N","440",",,,N"
"US1COLP0098","2007-01","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","8",",N","4",",N","0",",N","31",",N","6",",N","356",",,N,14,","193",",,N,13,","10.7",",,N,13,","30.2",",,,N","536",",,,N"
"US1COLP0098","2007-02","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","9",",N","5",",N","0",",N","26",",N","5",",N","305",",,N,01,","104",",,N,14,","10.9",",,N,12,","37.2",",,,N","354",",,,N"
"US1COLP0098","2007-03","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","11",",N","3",",N","0",",N","2",",N","2",",N","25",",,N,30,+","30",",,N,30,","12.2",",,N,22,","38.0",",,,N","102",",,,N"
"US1COLP0098","2007-04","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","9",",N","5",",N","0",",N","3",",N","2",",N","127",",,N,13,","173",",,N,13,","17.5",",,N,13,","38.5",",,,N","234",",,,N"
"US1COLP0098","2007-05","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","10",",N","7",",N","1",",N","1",",N","2",",N","25",",,N,05,","30",",,N,05,","29.7",",,N,02,","72.3",",,,N","58",",,,N"
"US1COLP0098","2007-06","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","3",",N","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","2.0",",,N,29,","5.0",",,,N","0",",,,N"
"US1COLP0098","2007-07","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","15",",N","7",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",T,N,16,","13.2",",,N,22,","49.6",",,,N","0",",T,,N"
"US1COLP0098","2007-08","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","10",",N","5",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","23.6",",,N,03,","62.6",",,,N","0",",,,N"
"US1COLP0098","2007-09","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","11",",N","5",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",T,N,24,+","19.1",",,N,24,","51.4",",,,N","0",",T,,N"
"US1COLP0098","2007-10","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","7",",N","3",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",T,N,18,+","12.7",",,N,06,","23.9",",,,N","0",",T,,N"
"US1COLP0098","2007-11","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","3",",N","1",",N","0",",N","8",",N","2",",N","127",",,N,24,","117",",,N,23,","7.4",",,N,23,","10.0",",,,N","156",",,,N"
"US1COLP0098","2007-12","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","13",",N","7",",N","2",",N","28",",N","10",",N","279",",,N,15,","104",",,N,11,","59.9",",,N,01,","167.2",",,,N","617",",,,N"
"US1COLP0098","2008-01","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","13",",N","9",",N","2",",N","31",",N","10",",N","965",",,N,28,","538",",,N,06,","60.2",",,N,06,","138.4",",,,N","1586",",,,N"
"US1COLP0098","2008-02","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","12",",N","8",",N","1",",N","29",",N","9",",N","1295",",,N,04,","518",",,N,04,","35.8",",,N,04,","86.0",",,,N","1320",",,,N"
"US1COLP0098","2008-03","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","3",",N","0",",N","0",",N","23",",N","1",",N","686",",,N,01,","43",",,N,17,","1.8",",,N,17,","3.6",",,,N","74",",,,N"
"US1COLP0098","2008-04","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","1",",N","1",",N","0",",N","1",",N","1",",N","152",",,N,10,","178",",,N,10,","19.1",",,N,10,","19.1",",,,N","178",",,,N"
"US1COLP0098","2008-05","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","7",",N","4",",N","0",",N","1",",N","2",",N","25",",,N,24,","28",",,N,24,","14.2",",,N,16,","41.7",",,,N","56",",,,N"
"US1COLP0098","2008-06","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","4",",N","2",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",T,N,06,+","5.1",",,N,06,","10.5",",,,N","0",",T,,N"
"US1COLP0098","2008-07","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","14",",N","10",",N","1",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","61.5",",,N,21,","132.5",",,,N","0",",,,N"
"US1COLP0098","2008-08","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","9",",N","5",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",T,N,16,","16.8",",,N,06,","49.2",",,,N","0",",T,,N"
"US1COLP0098","2008-09","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","8",",N","3",",N","1",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","28.4",",,N,01,","40.9",",,,N","0",",,,N"
"US1COLP0098","2008-10","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","7",",N","4",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",T,N,15,+","24.4",",,N,05,","39.5",",,,N","0",",T,,N"
"US1COLP0098","2008-11","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","5",",N","3",",N","0",",N","5",",N","3",",N","102",",,N,28,","102",",,N,28,","24.9",",,N,28,","40.7",",,,N","231",",,,N"
"US1COLP0098","2008-12","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","13",",N","7",",N","1",",N","22",",N","13",",N","610",",,N,26,","323",",,N,16,","25.9",",,N,26,","98.8",",,,N","1331",",,,N"
"US1COLP0098","2009-01","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","7",",N","3",",N","0",",N","31",",N","3",",N","508",",,N,05,","114",",,N,04,","7.6",",,N,04,","19.4",",,,N","221",",,,N"
"US1COLP0098","2009-02","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","7",",N","4",",N","0",",N","28",",N","4",",N","406",",,N,11,+","188",",,N,10,","9.1",",,N,10,","24.2",",,,N","452",",,,N"
"US1COLP0098","2009-03","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","5",",N","2",",N","0",",N","5",",N","3",",N","76",",,N,14,","74",",,N,14,","6.1",",,N,14,","12.6",",,,N","176",",,,N"
"US1COLP0098","2009-04","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","6",",N","3",",N","0",",N","3",",N","2",",N","76",",,N,04,","66",",,N,04,","10.7",",,N,12,","20.5",",,,N","151",",,,N"
"US1COLP0098","2009-05","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","12",",N","6",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","15.5",",,N,24,","58.9",",,,N","0",",,,N"
"US1COLP0098","2009-06","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","11",",N","5",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","13.7",",,N,11,","38.6",",,,N","0",",,,N"
"US1COLP0098","2009-07","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","8",",N","4",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",T,N,27,","8.1",",,N,27,","23.3",",,,N","0",",T,,N"
"US1COLP0098","2009-08","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","8",",N","4",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","7.9",",,N,01,","28.3",",,,N","0",",,,N"
"US1COLP0098","2009-09","37.324399","-107.597931","2269.8","BAYFIELD 6.2 N, CO US","13",",N","8",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","13.5",",,N,06,","55.7",",,,N","0",",,,N"
