"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COME0012","2003-08","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","6","1,N","1","1,N","0","1,N","0","1,N","0","1,N","0","1,,N,31,+","0","1,,N,31,+","6.6","1,,N,13,","11.9","1,,,N","0","1,,,N"
"US1COME0012","2003-10","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","2","4,N","1","4,N","0","4,N","0","4,N","0","4,N","0","4,,N,31,+","0","4,,N,31,+","5.6","4,,N,02,","7.1","4,,,N","0","4,,,N"
"US1COME0012","2004-04","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","11","3,N","5","3,N","0","3,N","0","3,N","0","3,N","0","3,,N,30,+","0","3,,N,30,+","20.8","3,,N,05,","67.3","3,,,N","0","3,,,N"
"US1COME0012","2004-05","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","4",",N","1",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","2.8",",,N,13,","6.9",",,,N","0",",,,N"
"US1COME0012","2004-06","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","2",",N","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","0.5",",,N,27,","0.8",",,,N","0",",,,N"
"US1COME0012","2004-07","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","4",",N","1",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","6.9",",,N,15,","9.0",",,,N","0",",,,N"
"US1COME0012","2004-08","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","5",",N","0",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","1.5",",,N,21,","4.6",",,,N","0",",,,N"
"US1COME0012","2004-11","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","12",",N","7",",N","0",",N","2","2,N","2",",N","178","2,,N,29,","114",",,N,29,","15.0",",,N,29,","67.3",",,,N","200",",,,N"
"US1COME0012","2004-12","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","4",",N","1",",N","0",",N","10",",N","1",",N","127",",,N,02,+","44",",,N,05,","5.8",",,N,30,","7.7",",,,N","57",",,,N"
"US1COME0012","2005-01","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","9",",N","4",",N","0",",N","6","3,N","","","51","3,,N,14,+","","","21.3",",,N,12,","44.0",",,,N","",""
"US1COME0012","2005-02","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","8","1,N","0","1,N","0","1,N","0","5,N","","","3","5,,N,08,","","","2.0","1,,N,08,","8.2","1,,,N","",""
"US1COME0012","2005-03","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","8",",N","3",",N","0",",N","0",",N","0",",N","0",",,N,31,+","5",",,N,31,","3.6",",,N,21,","15.0",",,,N","5",",,,N"
"US1COME0012","2005-04","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","8","1,N","2","1,N","0","1,N","","","0","1,N","","","0","1,,N,30,+","5.8","1,,N,29,","14.3","1,,,N","0","1,,,N"
"US1COME0012","2005-05","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","7",",N","0",",N","0",",N","","","0",",N","","","0",",,N,31,+","2.0",",,N,01,","6.5",",,,N","0",",,,N"
"US1COME0012","2005-07","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","4",",N","2",",N","0",",N","","","0",",N","","","0",",,N,31,+","15.7",",,N,26,","19.3",",,,N","0",",,,N"
"US1COME0012","2005-08","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","12",",N","3",",N","0",",N","","","0",",N","","","0",",,N,31,+","10.4",",,N,11,","29.1",",,,N","0",",,,N"
"US1COME0012","2005-10","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","7","1,N","5","1,N","0","1,N","","","0","1,N","","","0","1,,N,31,+","14.2","1,,N,30,","40.6","1,,,N","0","1,,,N"
"US1COME0012","2006-07","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","8",",N","3",",N","0",",N","","","0",",N","","","0",",,N,31,+","17.5",",,N,20,","30.3",",,,N","0",",,,N"
"US1COME0012","2006-08","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","10",",N","5",",N","0",",N","","","0",",N","","","0",",,N,31,+","11.2",",,N,16,","33.7",",,,N","0",",,,N"
"US1COME0012","2006-09","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","6","5,N","6","5,N","0","5,N","","","0","5,N","","","0","5,,N,30,+","14.0","5,,N,15,","49.4",",a,,N","0","5,,,N"
"US1COME0012","2006-10","39.0928","-108.4917","1439.9","GRAND JUNCTION 4 ENE, CO US","14",",N","8",",N","0",",N","","","0","1,N","","","0","1,,N,31,+","24.1",",,N,07,","81.6",",,,N","0","1,,,N"
