"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COWE0060","1999-07","40.7067","-104.6867","1553.9","NUN 4.7 E, CO US","12","1,N","2","1,N","0","1,N","0","1,N","0","1,N","0","1,,N,31,+","0","1,,N,31,+","24.9","1,,N,17,","36.1","1,,,N","0","1,,,N"
"US1COWE0060","2000-05","40.7067","-104.6867","1553.9","NUN 4.7 E, CO US","6","5,N","2","5,N","1","5,N","","","0","5,N","","","0","5,,N,31,+","28.7","5,,N,18,","38.3","5,,,N","0","5,,,N"
"US1COWE0060","2000-06","40.7067","-104.6867","1553.9","NUN 4.7 E, CO US","6","5,N","2","5,N","1","5,N","0","5,N","0","5,N","0","5,,N,30,+","0","5,,N,30,+","52.1","5,,N,28,","60.3","5,,,N","0","5,,,N"
"US1COWE0060","2001-05","40.7067","-104.6867","1553.9","NUN 4.7 E, CO US","14","5,N","8","5,N","0","5,N","0","5,N","0","5,N","0","5,,N,31,+","0","5,,N,31,+","16.5","5,,N,05,","73.1","5,,,N","0","5,,,N"
"US1COWE0060","2001-06","40.7067","-104.6867","1553.9","NUN 4.7 E, CO US","8","2,N","3","2,N","0","2,N","0","2,N","0","2,N","0","2,,N,30,+","0","2,,N,30,+","8.1","2,,N,04,","20.1","2,,,N","0","2,,,N"
"US1COWE0060","2002-05","40.7067","-104.6867","1553.9","NUN 4.7 E, CO US","5","2,N","2","2,N","0","2,N","0","2,N","0","2,N","0","2,,N,31,+","0","2,,N,31,+","24.6","2,,N,24,","34.4","2,,,N","0","2,,,N"
"US1COWE0060","2002-06","40.7067","-104.6867","1553.9","NUN 4.7 E, CO US","7",",N","5",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","15.0",",,N,04,","45.0",",,,N","0",",,,N"
"US1COWE0060","2002-07","40.7067","-104.6867","1553.9","NUN 4.7 E, CO US","6",",N","2",",N","1",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","54.1",",,N,06,","64.1",",,,N","0",",,,N"
"US1COWE0060","2003-05","40.7067","-104.6867","1553.9","NUN 4.7 E, CO US","","","","","","","","","","","","","","","","","69.3","2,a,,N","",""
"US1COWE0060","2003-06","40.7067","-104.6867","1553.9","NUN 4.7 E, CO US","12","2,N","3","2,N","0","2,N","0","2,N","0","2,N","0","2,,N,30,+","0","2,,N,30,+","16.5","2,,N,05,","44.1","2,,,N","0","2,,,N"
