"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CTLT0037","2020-04","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","16",",N","10",",N","1",",N","","","","","","","","","33.3",",,N,14,","105.0",",,,N","",""
"US1CTLT0037","2020-05","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","13","4,N","8","4,N","2","4,N","","","","","","","","","28.2","4,,N,01,","106.0","1,a,,N","",""
"US1CTLT0037","2020-06","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","6",",N","4",",N","0",",N","","","","","","","","","22.4",",,N,28,","51.6",",,,N","",""
"US1CTLT0037","2020-07","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","14","5,N","7","5,N","0","5,N","","","","","","","","","17.0","5,,N,11,","65.7",",a,,N","",""
"US1CTLT0037","2020-08","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","11",",N","7",",N","2",",N","","","","","","","","","35.1",",,N,28,","106.8",",,,N","",""
"US1CTLT0037","2020-09","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","5",",N","4",",N","1",",N","","","","","","","","","57.9",",,N,30,","102.8",",,,N","",""
"US1CTLT0037","2020-10","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","19",",N","10",",N","2",",N","","","","","","","","","41.1",",,N,30,","125.4",",,,N","",""
"US1CTLT0037","2020-11","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","11",",N","9",",N","0",",N","","","","","","","","","21.6",",,N,12,","86.9",",,,N","",""
"US1CTLT0037","2020-12","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","11",",N","9",",N","3",",N","","","","","","","","","53.1",",,N,01,","178.7",",,,N","",""
"US1CTLT0037","2021-01","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","6",",N","4",",N","0",",N","","","","","","","","","18.3",",,N,16,","40.1",",,,N","",""
"US1CTLT0037","2021-02","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","17",",N","10",",N","0",",N","27","1,N","7","5,N","343","1,,N,10,","231","5,,N,02,","21.1",",,N,02,","92.8",",,,N","690","5,,,N"
"US1CTLT0037","2021-03","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","7",",N","4",",N","1",",N","","","","","","","","","25.7",",,N,19,","61.1",",,,N","",""
"US1CTLT0037","2021-04","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","13",",N","8",",N","1",",N","","","","","","","","","37.8",",,N,16,","75.9",",,,N","",""
"US1CTLT0037","2021-05","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","11",",N","9",",N","1",",N","","","","","","","","","40.1",",,N,29,","137.9",",,,N","",""
"US1CTLT0037","2021-06","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","14",",N","4",",N","0",",N","","","","","","","","","6.4",",,N,23,","29.7",",,,N","",""
"US1CTLT0037","2021-08","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","12","4,N","5","4,N","3","4,N","","","","","","","","","37.3","4,,N,19,","141.6",",a,,N","",""
"US1CTLT0037","2021-10","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","11","5,N","6","5,N","0","5,N","","","","","","","","","17.3","5,,N,17,","135.7",",a,,N","",""
"US1CTLT0037","2021-11","41.5978463","-73.4657422","157.6","NEW MILFORD 3.1 WNW, CT US","8",",N","6",",N","0",",N","","","","","","","","","23.9",",,N,13,","56.4",",,,N","",""
