"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1CTMD0018","2018-05","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","14",",N","7",",N","0",",N","21.8",",,N,20,","74.1",",,,N"
"US1CTMD0018","2018-06","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","14","2,N","9","2,N","0","2,N","10.7","2,,N,25,","59.8","2,,,N"
"US1CTMD0018","2018-07","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","14",",N","7",",N","1",",N","33.0",",,N,26,","118.9",",,,N"
"US1CTMD0018","2018-08","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","11",",N","8",",N","3",",N","57.2",",,N,05,","161.2",",,,N"
"US1CTMD0018","2018-09","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","16",",N","10",",N","3",",N","82.6",",,N,26,","214.4",",,,N"
"US1CTMD0018","2018-11","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","11","4,N","9","4,N","4","4,N","31.2","4,,N,13,","184.7","4,,,N"
"US1CTMD0018","2018-12","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","10",",N","7",",N","1",",N","26.2",",,N,29,","104.3",",,,N"
"US1CTMD0018","2019-01","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","11",",N","8",",N","3",",N","34.0",",,N,01,","147.5",",,,N"
"US1CTMD0018","2019-02","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","9",",N","8",",N","1",",N","28.4",",,N,13,","94.7",",,,N"
"US1CTMD0018","2019-04","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","21",",N","14",",N","3",",N","53.3",",,N,27,","220.2",",,,N"
"US1CTMD0018","2019-05","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","22",",N","10",",N","1",",N","28.2",",,N,13,","130.2",",,,N"
"US1CTMD0018","2019-06","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","14","1,N","10","1,N","2","1,N","43.9","1,,N,26,","146.7","1,,,N"
"US1CTMD0018","2019-07","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","8",",N","7",",N","2",",N","53.3",",,N,23,","136.1",",,,N"
"US1CTMD0018","2019-08","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","11","1,N","7","1,N","1","1,N","39.6","1,,N,29,","95.3","1,,,N"
"US1CTMD0018","2019-09","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","9","1,N","5","1,N","0","1,N","18.0","1,,N,27,","43.8","1,,,N"
"US1CTMD0018","2019-10","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","17","2,N","9","2,N","2","2,N","64.8","2,,N,28,","186.9","2,,,N"
"US1CTMD0018","2019-11","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","11",",N","8",",N","1",",N","40.6",",,N,25,","86.8",",,,N"
"US1CTMD0018","2019-12","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","12","1,N","9","1,N","3","1,N","61.2","1,,N,14,","194.8","1,,,N"
"US1CTMD0018","2020-01","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","10",",N","6",",N","0",",N","23.1",",,N,26,","54.3",",,,N"
"US1CTMD0018","2020-02","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","14",",N","12",",N","0",",N","22.9",",,N,27,","97.4",",,,N"
"US1CTMD0018","2020-03","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","11","1,N","9","1,N","1","1,N","37.6","1,,N,24,","118.2","1,,,N"
"US1CTMD0018","2020-04","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","17",",N","11",",N","2",",N","34.5",",,N,14,","146.8",",,,N"
"US1CTMD0018","2020-05","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","18",",N","7",",N","0",",N","22.4",",,N,01,","92.3",",,,N"
"US1CTMD0018","2020-06","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","7",",N","4",",N","0",",N","15.2",",,N,28,","39.3",",,,N"
"US1CTMD0018","2020-07","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","15","1,N","8","1,N","1","1,N","57.2","1,,N,01,","113.9","1,,,N"
"US1CTMD0018","2020-08","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","11","1,N","5","1,N","0","1,N","23.6","1,,N,18,","85.5","1,,,N"
"US1CTMD0018","2020-09","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","5","1,N","5","1,N","0","1,N","12.4","1,,N,30,","44.1","1,,,N"
"US1CTMD0018","2020-10","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","13","1,N","7","1,N","2","1,N","31.0","1,,N,30,","106.4","1,,,N"
"US1CTMD0018","2020-11","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","12",",N","9",",N","0",",N","21.6",",,N,24,","113.1",",,,N"
"US1CTMD0018","2020-12","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","10",",N","9",",N","4",",N","37.1",",,N,01,","193.2",",,,N"
"US1CTMD0018","2021-01","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","7",",N","4",",N","1",",N","42.7",",,N,16,","64.6",",,,N"
"US1CTMD0018","2021-02","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","14",",N","8",",N","0",",N","23.9",",,N,02,","109.6",",,,N"
"US1CTMD0018","2021-03","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","8",",N","4",",N","2",",N","27.4",",,N,29,","79.5",",,,N"
"US1CTMD0018","2021-04","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","11",",N","7",",N","2",",N","38.9",",,N,16,","103.0",",,,N"
"US1CTMD0018","2021-05","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","12",",N","7",",N","2",",N","50.8",",,N,29,","136.8",",,,N"
"US1CTMD0018","2021-06","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","11",",N","3",",N","1",",N","43.4",",,N,23,","70.6",",,,N"
"US1CTMD0018","2021-07","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","21","1,N","12","1,N","2","1,N","61.2","1,,N,10,","210.4","1,,,N"
"US1CTMD0018","2021-08","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","12",",N","7",",N","1",",N","52.6",",,N,23,","106.3",",,,N"
"US1CTMD0018","2021-09","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","10","1,N","7","1,N","1","1,N","165.9","1,,N,02,","213.1","1,,,N"
"US1CTMD0018","2021-10","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","9","2,N","6","2,N","2","2,N","62.7","2,,N,27,","137.1","2,,,N"
"US1CTMD0018","2021-11","41.34475","-72.39281","9.1","ESSEX VILLAGE 0.9 S, CT US","9",",N","8",",N","0",",N","16.0",",,N,13,","43.2",",,,N"
