"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1FLCH0039","2020-07","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","11",",N","10",",N","3",",N","","","","","38.4",",,N,17,","166.8",",,,N","",""
"US1FLCH0039","2020-08","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","13",",N","10",",N","2",",N","","","","","41.4",",,N,20,","190.6",",,,N","",""
"US1FLCH0039","2020-09","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","13",",N","12",",N","5",",N","","","","","63.8",",,N,14,","318.4",",,,N","",""
"US1FLCH0039","2020-10","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","10",",N","7",",N","1",",N","","","","","35.8",",,N,27,","89.5",",,,N","",""
"US1FLCH0039","2020-11","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","6",",N","6",",N","1",",N","","","","","94.2",",,N,12,","143.1",",,,N","",""
"US1FLCH0039","2020-12","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","7",",N","6",",N","2",",N","","","","","46.5",",,N,21,","100.0",",,,N","",""
"US1FLCH0039","2021-01","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","3",",N","3",",N","0",",N","0","3,N","0","3,,N,31,+","4.1",",,N,08,","10.5",",,,N","0","3,,,N"
"US1FLCH0039","2021-02","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","5",",N","3",",N","0",",N","","","","","18.3",",,N,14,","28.2",",,,N","",""
"US1FLCH0039","2021-03","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,31,+","2.8",",,N,04,","4.6",",,,N","0","2,,,N"
"US1FLCH0039","2021-04","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","4",",N","4",",N","1",",N","0","4,N","0","4,,N,30,+","51.3",",,N,12,","73.3",",,,N","0","4,,,N"
"US1FLCH0039","2021-05","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","1",",N","1",",N","0",",N","0","2,N","0","2,,N,31,+","4.3",",,N,14,","4.3",",,,N","0","2,,,N"
"US1FLCH0039","2021-06","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","13",",N","13",",N","1",",N","","","","","26.2",",,N,26,","159.5",",,,N","",""
"US1FLCH0039","2021-07","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","14",",N","13",",N","6",",N","","","","","224.8",",,N,07,","485.0",",,,N","",""
"US1FLCH0039","2021-08","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","12",",N","11",",N","5",",N","","","","","38.4",",,N,29,","214.9",",,,N","",""
"US1FLCH0039","2021-09","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","15",",N","14",",N","5",",N","","","","","63.8",",,N,15,","295.2",",,,N","",""
"US1FLCH0039","2021-10","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","4",",N","3",",N","1",",N","0","5,N","0","5,,N,31,+","38.6",",,N,29,","56.9",",,,N","0","5,,,N"
"US1FLCH0039","2021-11","26.930229","-82.285098","4.0","GROVE CITY 2.8 NE, FL US","6",",N","6",",N","1",",N","","","","","57.9",",,N,06,","93.2",",,,N","",""
