"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1FLES0002","2007-10","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","11",",N","8",",N","3",",N","0",",N","0",",,N,31,+","307.3",",,N,19,","485.6",",,,N","0",",,,N"
"US1FLES0002","2007-11","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","5",",N","3",",N","1",",N","0",",N","0",",,N,30,+","53.3",",,N,26,","87.9",",,,N","0",",,,N"
"US1FLES0002","2007-12","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","10",",N","7",",N","2",",N","0",",N","0",",,N,31,+","47.0",",,N,16,","146.9",",,,N","0",",,,N"
"US1FLES0002","2008-01","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","11","1,N","9","1,N","2","1,N","0","1,N","0","1,,N,31,+","34.8","1,,N,26,","142.3","1,,,N","0","1,,,N"
"US1FLES0002","2008-02","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","9",",N","6",",N","1",",N","0",",N","0",",,N,29,+","104.1",",,N,22,","178.6",",,,N","0",",,,N"
"US1FLES0002","2008-03","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","5",",N","3",",N","0",",N","0",",N","0",",,N,31,+","17.5",",,N,04,","44.6",",,,N","0",",,,N"
"US1FLES0002","2008-04","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","5",",N","4",",N","0",",N","0",",N","0",",,N,30,+","17.5",",,N,06,","35.2",",,,N","0",",,,N"
"US1FLES0002","2008-05","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","6",",N","5",",N","1",",N","0",",N","0",",,N,31,+","35.6",",,N,17,","114.3",",,,N","0",",,,N"
"US1FLES0002","2008-06","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","5",",N","5",",N","1",",N","0",",N","0",",,N,30,+","25.9",",,N,23,","87.6",",,,N","0",",,,N"
"US1FLES0002","2008-07","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","10","1,N","8","1,N","1","1,N","0","1,N","0","1,,N,31,+","28.7","1,,N,13,","130.0","1,,,N","0","1,,,N"
"US1FLES0002","2008-08","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","8","1,N","6","1,N","1","1,N","0","1,N","0","1,,N,31,+","49.5","1,,N,12,","131.3","1,,,N","0","1,,,N"
"US1FLES0002","2008-09","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","8",",N","6",",N","2",",N","0",",N","0",",,N,30,+","54.4",",,N,04,","119.4",",,,N","0",",,,N"
"US1FLES0002","2008-10","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","4","1,N","4","1,N","2","1,N","0","1,N","0","1,,N,31,+","188.5","1,,N,07,","366.5","1,,,N","0","1,,,N"
"US1FLES0002","2008-11","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","6",",N","3",",N","1",",N","0",",N","0",",,N,30,+","61.7",",,N,30,","71.4",",,,N","0",",,,N"
"US1FLES0002","2008-12","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","8","1,N","6","1,N","1","1,N","","","","","50.5","1,,N,11,","77.4","1,,,N","",""
"US1FLES0002","2009-01","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","6",",N","5",",N","0",",N","","","","","19.3",",,N,04,","49.1",",,,N","",""
"US1FLES0002","2009-02","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","6",",N","4",",N","1",",N","","","","","119.9",",,N,14,","166.6",",,,N","",""
"US1FLES0002","2009-03","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","9",",N","7",",N","2",",N","","","","","71.9",",,N,27,","141.8",",,,N","",""
"US1FLES0002","2009-04","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","4",",N","3",",N","2",",N","0","5,N","0","5,,N,30,+","84.1",",,N,03,","171.2",",,,N","0","5,,,N"
"US1FLES0002","2009-05","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","8","2,N","5","2,N","1","2,N","","","","","47.2","2,,N,05,","98.6",",a,,N","",""
"US1FLES0002","2009-06","30.3258","-87.4089","14.0","WEST PENSACOLA 10.9 SW, FL US","5",",N","5",",N","0",",N","","","","","21.6",",,N,04,","35.6",",,,N","",""
