"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1FLLN0078","2020-06","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","10",",N","6",",N","3",",N","","","","","65.0",",,N,07,","220.5",",,,N","",""
"US1FLLN0078","2020-07","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","18","1,N","12","1,N","3","1,N","","","","","40.9","1,,N,05,","193.1","1,,,N","",""
"US1FLLN0078","2020-08","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","14",",N","11",",N","5",",N","","","","","40.4",",,N,20,","225.8",",,,N","",""
"US1FLLN0078","2020-09","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","13","2,N","10","2,N","2","2,N","","","","","73.2","2,,N,17,","229.9",",a,,N","",""
"US1FLLN0078","2020-10","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","7",",N","5",",N","1",",N","","","","","35.6",",,N,11,","102.2",",,,N","",""
"US1FLLN0078","2020-11","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","8",",N","6",",N","0",",N","","","","","16.3",",,N,30,","62.5",",,,N","",""
"US1FLLN0078","2020-12","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","7",",N","4",",N","0",",N","","","","","24.9",",,N,25,","61.8",",,,N","",""
"US1FLLN0078","2021-01","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","9",",N","8",",N","3",",N","","","","","92.5",",,N,03,","227.5",",,,N","",""
"US1FLLN0078","2021-02","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","12",",N","10",",N","0",",N","","","","","21.8",",,N,13,","121.5",",,,N","",""
"US1FLLN0078","2021-03","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","6","1,N","4","1,N","1","1,N","","","","","29.7","1,,N,02,","75.2","1,,,N","",""
"US1FLLN0078","2021-04","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","5","5,N","4","5,N","0","5,N","","","","","7.4","5,,N,17,","84.8",",a,,N","",""
"US1FLLN0078","2021-05","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","6",",N","4",",N","1",",N","","","","","40.9",",,N,12,","85.3",",,,N","",""
"US1FLLN0078","2021-06","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","11","2,N","6","2,N","1","2,N","","","","","25.9","2,,N,22,","93.0",",a,,N","",""
"US1FLLN0078","2021-07","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","14","4,N","14","4,N","0","4,N","","","","","24.6","4,,N,06,","162.7","4,,,N","",""
"US1FLLN0078","2021-08","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","14","4,N","9","4,N","4","4,N","","","","","74.7","4,,N,28,","272.9","2,a,,N","",""
"US1FLLN0078","2021-09","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","10","3,N","6","3,N","1","3,N","","","","","75.7","3,,N,09,","137.3","3,,,N","",""
"US1FLLN0078","2021-10","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","3","4,N","2","4,N","1","4,N","","","","","25.4","4,,N,28,","101.2",",a,,N","",""
"US1FLLN0078","2021-11","30.39058","-84.22671","19.2","TALLAHASSEE 5.6 SE, FL US","3","1,N","1","1,N","0","1,N","0","5,N","0","5,,N,30,+","18.3","1,,N,06,","20.9","1,,,N","0","5,,,N"
