"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1FLOR0023","2013-08","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","20","2,N","10","2,N","2","2,N","","","","","40.6","2,,N,15,","154.9","2,,,N","",""
"US1FLOR0023","2013-09","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","15","4,N","11","4,N","2","4,N","","","","","65.3","4,,N,01,","161.0","4,,,N","",""
"US1FLOR0023","2013-10","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","5","5,N","2","5,N","0","5,N","","","","","16.0","5,,N,22,","25.2","5,,,N","",""
"US1FLOR0023","2013-12","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","10","1,N","4","1,N","0","1,N","","","","","5.1","1,,N,30,","22.8","1,,,N","",""
"US1FLOR0023","2014-02","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","11",",N","7",",N","1",",N","","","","","25.4",",,N,27,","71.9",",,,N","",""
"US1FLOR0023","2014-03","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","8","1,N","6","1,N","2","1,N","","","","","55.9","1,,N,18,","114.3","1,,,N","",""
"US1FLOR0023","2014-04","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","7",",N","4",",N","1",",N","","","","","37.1",",,N,16,","80.1",",,,N","",""
"US1FLOR0023","2014-06","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","19","1,N","14","1,N","2","1,N","","","","","31.2","1,,N,24,","189.6","1,,,N","",""
"US1FLOR0023","2014-07","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","27","1,N","17","1,N","2","1,N","","","","","31.8","1,,N,22,","204.6","1,,,N","",""
"US1FLOR0023","2014-08","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","19","1,N","11","1,N","2","1,N","","","","","29.2","1,,N,30,","140.2","1,,,N","",""
"US1FLOR0023","2014-09","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","20","1,N","14","1,N","2","1,N","","","","","37.8","1,,N,24,","220.0","1,,,N","",""
"US1FLOR0023","2014-10","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","6","1,N","3","1,N","0","1,N","","","","","24.9","1,,N,01,","44.3","1,,,N","",""
"US1FLOR0023","2014-11","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","10","1,N","7","1,N","1","1,N","","","","","63.5","1,,N,26,","143.7","1,,,N","",""
"US1FLOR0023","2014-12","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","10","1,N","6","1,N","0","1,N","","","","","23.9","1,,N,22,","60.5","1,,,N","",""
"US1FLOR0023","2015-01","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","12","1,N","5","1,N","1","1,N","","","","","43.2","1,,N,13,","72.3","1,,,N","",""
"US1FLOR0023","2015-02","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","9",",N","5",",N","2",",N","","","","","34.3",",,N,18,","97.7",",,,N","",""
"US1FLOR0023","2015-03","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","11","5,N","2","5,N","0","5,N","","","","","13.0","5,,N,01,","28.5","5,,,N","",""
"US1FLOR0023","2015-05","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","7",",N","4",",N","0",",N","","","","","20.3",",,N,21,","43.2",",,,N","",""
"US1FLOR0023","2015-06","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","17",",N","12",",N","3",",N","","","","","49.0",",,N,21,","216.5",",,,N","",""
"US1FLOR0023","2015-07","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","22",",N","15",",N","3",",N","","","","","49.5",",,N,06,","285.6",",,,N","",""
"US1FLOR0023","2015-08","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","18","4,N","15","4,N","3","4,N","","","","","44.5","4,,N,27,","214.1","4,,,N","",""
"US1FLOR0023","2015-09","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","20",",N","13",",N","2",",N","","","","","86.9",",,N,16,","269.8",",,,N","",""
"US1FLOR0023","2015-10","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","10","1,N","2","1,N","0","1,N","","","","","2.8","1,,N,28,","11.1","1,,,N","",""
"US1FLOR0023","2015-11","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","15","1,N","7","1,N","1","1,N","","","","","89.9","1,,N,22,","163.3","1,,,N","",""
"US1FLOR0023","2015-12","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","13",",N","5",",N","0",",N","","","","","8.9",",,N,03,","34.6",",,,N","",""
"US1FLOR0023","2016-01","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","16",",N","7",",N","3",",N","","","","","40.6",",,N,17,","163.6",",,,N","",""
"US1FLOR0023","2016-03","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","9","4,N","6","4,N","1","4,N","","","","","66.3","4,,N,25,","113.4","4,,,N","",""
"US1FLOR0023","2016-04","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","12","1,N","3","1,N","0","1,N","","","","","8.1","1,,N,14,","25.4","1,,,N","",""
"US1FLOR0023","2016-05","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","8","1,N","6","1,N","1","1,N","","","","","36.8","1,,N,18,","104.9","1,,,N","",""
"US1FLOR0023","2016-06","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","14","2,N","10","2,N","3","2,N","","","","","46.7","2,,N,07,","181.9","2,,,N","",""
"US1FLOR0023","2016-07","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","12",",N","6",",N","1",",N","","","","","27.4",",,N,01,","69.2",",,,N","",""
"US1FLOR0023","2016-08","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","14","2,N","11","2,N","0","2,N","","","","","20.3","2,,N,05,","101.2","2,,,N","",""
"US1FLOR0023","2016-09","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","16",",N","10",",N","1",",N","","","","","25.4",",,N,01,","110.5",",,,N","",""
"US1FLOR0023","2016-10","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","12",",N","7",",N","2",",N","","","","","74.2",",,N,07,","166.5",",,,N","",""
"US1FLOR0023","2016-12","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","9",",N","2",",N","0",",N","","","","","8.1",",,N,07,","15.0",",,,N","",""
"US1FLOR0023","2017-01","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","12",",N","6",",N","1",",N","","","","","31.2",",,N,23,","82.1",",,,N","",""
"US1FLOR0023","2017-02","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","7","2,N","2","2,N","1","2,N","","","","","42.9","2,,N,23,","59.8","2,,,N","",""
"US1FLOR0023","2017-03","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","2",",N","1",",N","0",",N","0","3,N","0","3,,N,31,+","3.8",",,N,14,","4.6",",,,N","0","3,,,N"
"US1FLOR0023","2017-04","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","6","1,N","1","1,N","1","1,N","","","","","30.5","1,,N,05,","34.7","1,,,N","",""
"US1FLOR0023","2017-05","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","10",",N","6",",N","1",",N","","","","","40.1",",,N,03,","81.5",",,,N","",""
"US1FLOR0023","2017-06","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","23",",N","21",",N","6",",N","","","","","73.9",",,N,08,","368.0",",,,N","",""
"US1FLOR0023","2017-07","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","21",",N","13",",N","0",",N","","","","","19.8",",,N,31,","160.7",",,,N","",""
"US1FLOR0023","2017-08","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","19",",N","13",",N","3",",N","","","","","41.9",",,N,26,","215.8",",,,N","",""
"US1FLOR0023","2017-09","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","18",",N","9",",N","3",",N","","","","","287.0",",,N,11,","450.2",",,,N","",""
"US1FLOR0023","2017-10","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","17",",N","11",",N","2",",N","","","","","37.8",",,N,09,","152.7",",,,N","",""
"US1FLOR0023","2017-11","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","7","3,N","1","3,N","0","3,N","","","","","6.6","3,,N,22,","11.0","3,,,N","",""
"US1FLOR0023","2017-12","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","","","","","","","","","","","","","7.4","4,a,,N","",""
"US1FLOR0023","2018-01","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","11","1,N","5","1,N","0","1,N","","","","","23.1","1,,N,29,","60.6","1,,,N","",""
"US1FLOR0023","2018-02","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","3",",N","1",",N","0",",N","0","4,N","0","4,,N,28,+","5.3",",,N,05,","6.1",",,,N","0","4,,,N"
"US1FLOR0023","2018-03","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","7",",N","2",",N","1",",N","","","","","44.5",",,N,21,","70.2",",,,N","",""
"US1FLOR0023","2018-04","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","12",",N","6",",N","0",",N","","","","","21.8",",,N,10,","64.4",",,,N","",""
"US1FLOR0023","2018-05","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","17","2,N","14","2,N","3","2,N","","","","","40.1","2,,N,16,","231.6","2,,,N","",""
"US1FLOR0023","2018-06","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","22","1,N","16","1,N","6","1,N","","","","","62.2","1,,N,30,","330.0","1,,,N","",""
"US1FLOR0023","2018-07","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","23",",N","18",",N","4",",N","","","","","60.2",",,N,23,","363.8",",,,N","",""
"US1FLOR0023","2018-08","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","17","5,N","9","5,N","5","5,N","","","","","54.6","5,,N,24,","202.5","1,a,,N","",""
"US1FLOR0023","2018-09","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","14","2,N","9","2,N","1","2,N","","","","","26.7","2,,N,10,","67.2","2,,,N","",""
"US1FLOR0023","2018-10","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","14","2,N","5","2,N","0","2,N","","","","","18.5","2,,N,09,","49.2","2,,,N","",""
"US1FLOR0023","2018-11","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","8","1,N","6","1,N","1","1,N","","","","","34.3","1,,N,05,","57.8","1,,,N","",""
"US1FLOR0023","2018-12","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","10",",N","6",",N","1",",N","","","","","101.9",",,N,21,","165.3",",,,N","",""
"US1FLOR0023","2019-01","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","7",",N","5",",N","1",",N","","","","","59.7",",,N,28,","95.7",",,,N","",""
"US1FLOR0023","2019-02","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","10",",N","5",",N","1",",N","","","","","25.7",",,N,13,","62.1",",,,N","",""
"US1FLOR0023","2019-03","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","9",",N","4",",N","0",",N","","","","","18.3",",,N,28,","44.8",",,,N","",""
"US1FLOR0023","2019-04","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","11",",N","5",",N","0",",N","","","","","16.5",",,N,20,","48.5",",,,N","",""
"US1FLOR0023","2019-05","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","7",",N","6",",N","2",",N","","","","","30.5",",,N,14,","94.0",",,,N","",""
"US1FLOR0023","2019-06","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","21",",N","14",",N","3",",N","","","","","35.6",",,N,20,","213.0",",,,N","",""
"US1FLOR0023","2019-07","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","20","2,N","13","2,N","4","2,N","","","","","49.3","2,,N,11,","240.4","2,,,N","",""
"US1FLOR0023","2019-08","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","22",",N","16",",N","3",",N","","","","","43.7",",,N,15,","260.4",",,,N","",""
"US1FLOR0023","2019-09","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","16","1,N","6","1,N","0","1,N","","","","","18.5","1,,N,04,","53.8","1,,,N","",""
"US1FLOR0023","2019-10","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","14","2,N","8","2,N","3","2,N","","","","","42.4","2,,N,08,","191.4","2,,,N","",""
"US1FLOR0023","2019-11","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","10",",N","3",",N","0",",N","","","","","19.3",",,N,09,","43.0",",,,N","",""
"US1FLOR0023","2019-12","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","19",",N","10",",N","2",",N","","","","","41.4",",,N,18,","149.1",",,,N","",""
"US1FLOR0023","2020-01","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","12",",N","2",",N","0",",N","","","","","11.7",",,N,05,","22.1",",,,N","",""
"US1FLOR0023","2020-02","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","10",",N","4",",N","0",",N","","","","","20.6",",,N,07,","63.1",",,,N","",""
"US1FLOR0023","2020-03","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","4","1,N","0","1,N","0","1,N","0","5,N","0","5,,N,31,+","1.0","1,,N,10,","2.1","1,,,N","0","5,,,N"
"US1FLOR0023","2020-04","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","10",",N","8",",N","1",",N","","","","","33.3",",,N,06,","89.7",",,,N","",""
"US1FLOR0023","2020-05","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","12","1,N","10","1,N","4","1,N","","","","","33.3","1,,N,29,","191.9","1,,,N","",""
"US1FLOR0023","2020-06","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","21","2,N","11","2,N","3","2,N","","","","","28.4","2,,N,06,","189.7","2,,,N","",""
"US1FLOR0023","2020-07","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","25",",N","22",",N","3",",N","","","","","31.5",",,N,21,","278.6",",,,N","",""
"US1FLOR0023","2020-08","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","23",",N","15",",N","3",",N","","","","","58.4",",,N,12,","237.5",",,,N","",""
"US1FLOR0023","2020-09","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","24",",N","14",",N","5",",N","","","","","40.6",",,N,20,","252.0",",,,N","",""
"US1FLOR0023","2020-10","28.587995","-81.106032","21.3","ORANGE 11.2 NE, FL US","18",",N","9",",N","0",",N","","","","","16.8",",,N,19,","72.9",",,,N","",""
