"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1FLSL0050","2019-04","27.26259","-80.37666","10.1","PORT ST. LUCIE 1.8 SW, FL US","10",",N","6",",N","0",",N","","","","","14.7",",,N,09,","56.7",",,,N","",""
"US1FLSL0050","2019-05","27.26259","-80.37666","10.1","PORT ST. LUCIE 1.8 SW, FL US","12",",N","9",",N","2",",N","","","","","36.3",",,N,13,","135.0",",,,N","",""
"US1FLSL0050","2019-06","27.26259","-80.37666","10.1","PORT ST. LUCIE 1.8 SW, FL US","14",",N","9",",N","1",",N","","","","","29.2",",,N,10,","125.1",",,,N","",""
"US1FLSL0050","2019-07","27.26259","-80.37666","10.1","PORT ST. LUCIE 1.8 SW, FL US","16",",N","8",",N","4",",N","","","","","53.8",",,N,09,","227.6",",,,N","",""
"US1FLSL0050","2019-08","27.26259","-80.37666","10.1","PORT ST. LUCIE 1.8 SW, FL US","23",",N","18",",N","4",",N","","","","","53.6",",,N,19,","328.4",",,,N","",""
"US1FLSL0050","2019-09","27.26259","-80.37666","10.1","PORT ST. LUCIE 1.8 SW, FL US","15",",N","7",",N","1",",N","","","","","34.0",",,N,13,","108.6",",,,N","",""
"US1FLSL0050","2019-10","27.26259","-80.37666","10.1","PORT ST. LUCIE 1.8 SW, FL US","18",",N","12",",N","2",",N","","","","","35.6",",,N,08,","159.7",",,,N","",""
"US1FLSL0050","2019-11","27.26259","-80.37666","10.1","PORT ST. LUCIE 1.8 SW, FL US","12",",N","7",",N","0",",N","","","","","13.7",",,N,03,","55.7",",,,N","",""
"US1FLSL0050","2019-12","27.26259","-80.37666","10.1","PORT ST. LUCIE 1.8 SW, FL US","16","1,N","8","1,N","2","1,N","","","","","98.0","1,,N,12,","210.1","1,,,N","",""
"US1FLSL0050","2020-01","27.26259","-80.37666","10.1","PORT ST. LUCIE 1.8 SW, FL US","10","1,N","3","1,N","0","1,N","","","","","15.5","1,,N,30,","41.4","1,,,N","",""
