"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1FLVL0014","2009-06","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","13","2,N","11","2,N","2","2,N","","","","","66.5","2,,N,09,","179.4",",a,,N","",""
"US1FLVL0014","2009-07","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","14",",N","9",",N","2",",N","","","","","31.2",",,N,30,","157.6",",,,N","",""
"US1FLVL0014","2009-08","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","17",",N","12",",N","1",",N","","","","","26.4",",,N,13,","132.5",",,,N","",""
"US1FLVL0014","2009-09","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","10",",N","6",",N","1",",N","","","","","46.7",",,N,01,","90.3",",,,N","",""
"US1FLVL0014","2009-10","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","9",",N","3",",N","0",",N","","","","","10.4",",,N,28,","25.2",",,,N","",""
"US1FLVL0014","2009-11","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","4",",N","3",",N","0",",N","","","","","9.1",",,N,26,","20.6",",,,N","",""
"US1FLVL0014","2009-12","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","13",",N","6",",N","1",",N","","","","","74.7",",,N,05,","130.8",",,,N","",""
"US1FLVL0014","2010-01","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","11","2,N","6","2,N","2","2,N","","","","","49.0","2,,N,22,","135.9","2,,,N","",""
"US1FLVL0014","2010-02","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","8",",N","8",",N","1",",N","","","","","25.4",",,N,10,","112.7",",,,N","",""
"US1FLVL0014","2010-03","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","9",",N","8",",N","2",",N","","","","","63.8",",,N,12,","178.4",",,,N","",""
"US1FLVL0014","2010-04","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","7",",N","3",",N","1",",N","","","","","38.4",",,N,26,","53.5",",,,N","",""
"US1FLVL0014","2010-05","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","6",",N","5",",N","0",",N","","","","","15.7",",,N,06,","44.7",",,,N","",""
"US1FLVL0014","2010-06","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","14",",N","11",",N","4",",N","","","","","75.9",",,N,20,","293.7",",,,N","",""
"US1FLVL0014","2010-07","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","16",",N","10",",N","1",",N","","","","","30.2",",,N,06,","135.2",",,,N","",""
"US1FLVL0014","2010-09","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","7","3,N","3","3,N","0","3,N","","","","","19.6","3,,N,25,","48.1","1,a,,N","",""
"US1FLVL0014","2010-10","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","1",",N","1",",N","0",",N","0","2,N","0","2,,N,31,+","8.4",",,N,29,","8.4",",,,N","0","2,,,N"
"US1FLVL0014","2010-11","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","8",",N","4",",N","1",",N","","","","","41.4",",,N,03,","72.4",",,,N","",""
"US1FLVL0014","2010-12","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","6",",N","1",",N","0",",N","","","","","3.3",",,N,26,","7.9",",,,N","",""
"US1FLVL0014","2011-01","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","8",",N","6",",N","3",",N","","","","","31.5",",,N,26,","116.6",",,,N","",""
"US1FLVL0014","2011-02","28.92899","-81.29513","19.5","ORANGE CITY 0.5 SSW, FL US","4",",N","4",",N","0",",N","0","4,N","0","4,,N,28,+","8.6",",,N,07,","21.5",",,,N","0","4,,,N"
