"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1GAFT0002","2008-05","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","9",",N","7",",N","0",",N","0",",N","0",",,N,31,+","24.1",",,N,16,","82.5",",,,N","0",",,,N"
"US1GAFT0002","2008-06","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","5","3,N","5","3,N","0","3,N","0","3,N","0","3,,N,30,+","9.7","3,,N,15,","27.0","3,,,N","0","3,,,N"
"US1GAFT0002","2008-07","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","11",",N","6",",N","1",",N","0",",N","0",",,N,31,+","35.1",",,N,14,","86.0",",,,N","0",",,,N"
"US1GAFT0002","2008-09","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","2",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.8",",,N,09,","1.3",",,,N","0",",,,N"
"US1GAFT0002","2008-10","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","7","3,N","5","3,N","1","3,N","0","3,N","0","3,,N,31,+","41.7","3,,N,09,","88.1","3,,,N","0","3,,,N"
"US1GAFT0002","2008-11","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","6","5,N","2","5,N","0","5,N","0","5,N","0","5,,N,30,+","6.6","5,,N,25,","15.7","5,,,N","0","5,,,N"
"US1GAFT0002","2009-01","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","10","1,N","6","1,N","1","1,N","","","","","27.4","1,,N,07,","75.4","1,,,N","",""
"US1GAFT0002","2009-02","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","8","1,N","4","1,N","1","1,N","","","","","59.9","1,,N,28,","88.4","1,,,N","",""
"US1GAFT0002","2009-03","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","11","2,N","9","2,N","4","2,N","","","","","43.4","2,,N,28,","199.0","2,,,N","",""
"US1GAFT0002","2009-04","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","11",",N","8",",N","2",",N","","","","","28.2",",,N,02,","133.7",",,,N","",""
"US1GAFT0002","2009-05","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","20","1,N","10","1,N","1","1,N","","","","","38.6","1,,N,07,","164.9","1,,,N","",""
"US1GAFT0002","2009-06","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","7",",N","5",",N","1",",N","","","","","26.7",",,N,05,","73.3",",,,N","",""
"US1GAFT0002","2009-07","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","13","1,N","6","1,N","1","1,N","","","","","83.6","1,,N,13,","147.5","1,,,N","",""
"US1GAFT0002","2009-08","33.841583","-84.358081","267.9","NORTH ATLANTA 2.0 SW, GA US","13",",N","8",",N","3",",N","","","","","32.5",",,N,28,","152.5",",,,N","",""
