"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1GAGW0031","2012-01","33.79739","-84.047042","271.3","SNELLVILLE 4.7 SSW, GA US","15",",N","9",",N","1",",N","","","","","49.8",",,N,22,","111.2",",,,N","",""
"US1GAGW0031","2012-02","33.79739","-84.047042","271.3","SNELLVILLE 4.7 SSW, GA US","12",",N","6",",N","0",",N","","","","","11.4",",,N,19,","44.9",",,,N","",""
"US1GAGW0031","2012-03","33.79739","-84.047042","271.3","SNELLVILLE 4.7 SSW, GA US","10",",N","7",",N","1",",N","","","","","59.2",",,N,03,","96.9",",,,N","",""
"US1GAGW0031","2012-05","33.79739","-84.047042","271.3","SNELLVILLE 4.7 SSW, GA US","12",",N","5",",N","0",",N","","","","","23.4",",,N,14,","61.6",",,,N","",""
"US1GAGW0031","2012-06","33.79739","-84.047042","271.3","SNELLVILLE 4.7 SSW, GA US","8",",N","5",",N","1",",N","","","","","40.4",",,N,12,","71.3",",,,N","",""
"US1GAGW0031","2012-07","33.79739","-84.047042","271.3","SNELLVILLE 4.7 SSW, GA US","10","5,N","8","5,N","3","5,N","","","","","55.1","5,,N,13,","152.2","5,,,N","",""
"US1GAGW0031","2012-09","33.79739","-84.047042","271.3","SNELLVILLE 4.7 SSW, GA US","7",",N","4",",N","0",",N","","","","","12.4",",,N,19,","28.1",",,,N","",""
"US1GAGW0031","2012-10","33.79739","-84.047042","271.3","SNELLVILLE 4.7 SSW, GA US","6",",N","3",",N","2",",N","","","","","103.4",",,N,02,","140.7",",,,N","",""
"US1GAGW0031","2012-11","33.79739","-84.047042","271.3","SNELLVILLE 4.7 SSW, GA US","7",",N","3",",N","0",",N","","","","","12.4",",,N,06,","30.5",",,,N","",""
"US1GAGW0031","2012-12","33.79739","-84.047042","271.3","SNELLVILLE 4.7 SSW, GA US","11",",N","8",",N","1",",N","","","","","33.3",",,N,26,","131.5",",,,N","",""
