"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1GAHY0014","2011-08","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","4",",N","4",",N","1",",N","","","","","36.3",",,N,21,","49.2",",,,N","",""
"US1GAHY0014","2011-09","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","8","2,N","4","2,N","2","2,N","","","","","48.5","2,,N,21,","115.4","2,,,N","",""
"US1GAHY0014","2011-10","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","7","5,N","4","5,N","0","5,N","","","","","21.1","5,,N,11,","48.2","5,,,N","",""
"US1GAHY0014","2011-12","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","8",",N","7",",N","2",",N","","","","","37.6",",,N,27,","114.5",",,,N","",""
"US1GAHY0014","2012-01","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","10","2,N","9","2,N","1","2,N","","","","","36.8","2,,N,22,","116.8","2,,,N","",""
"US1GAHY0014","2012-02","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","12","4,N","6","4,N","2","4,N","","","","","48.5","4,,N,25,","113.2","4,,,N","",""
"US1GAHY0014","2012-03","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","11",",N","7",",N","2",",N","","","","","38.1",",,N,01,","122.0",",,,N","",""
"US1GAHY0014","2012-04","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","6",",N","3",",N","0",",N","","","","","5.8",",,N,19,","17.0",",,,N","",""
"US1GAHY0014","2012-06","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","7",",N","5",",N","2",",N","","","","","88.6",",,N,11,","137.1",",,,N","",""
"US1GAHY0014","2012-08","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","14","5,N","8","5,N","1","5,N","","","","","37.8","5,,N,03,","119.5","5,,,N","",""
"US1GAHY0014","2012-09","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","8","2,N","7","2,N","2","2,N","","","","","31.5","2,,N,05,","97.5","2,,,N","",""
"US1GAHY0014","2012-10","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","6","2,N","3","2,N","2","2,N","","","","","37.1","2,,N,02,","74.2","2,,,N","",""
"US1GAHY0014","2012-11","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","7",",N","5",",N","0",",N","","","","","11.4",",,N,06,","39.2",",,,N","",""
"US1GAHY0014","2013-01","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","12",",N","7",",N","2",",N","","","","","31.2",",,N,17,","100.5",",,,N","",""
"US1GAHY0014","2013-02","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","13",",N","10",",N","5",",N","","","","","68.6",",,N,11,","299.2",",,,N","",""
"US1GAHY0014","2013-03","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","6",",N","5",",N","3",",N","","","","","36.6",",,N,24,","112.1",",,,N","",""
"US1GAHY0014","2013-06","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","14","3,N","13","3,N","5","3,N","","","","","56.6","3,,N,07,","320.1","3,,,N","",""
"US1GAHY0014","2013-07","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","15","2,N","12","2,N","2","2,N","","","","","65.3","2,,N,27,","207.7","2,,,N","",""
"US1GAHY0014","2013-08","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","8","5,N","7","5,N","1","5,N","","","","","30.0","5,,N,17,","125.0","5,,,N","",""
"US1GAHY0014","2013-09","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","4",",N","3",",N","0",",N","0","4,N","0","4,,N,30,+","18.5",",,N,21,","36.3",",,,N","0","4,,,N"
"US1GAHY0014","2013-10","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","3",",N","2",",N","0",",N","0","5,N","0","5,,N,31,+","8.9",",,N,07,","14.7",",,,N","0","5,,,N"
"US1GAHY0014","2013-11","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","8",",N","4",",N","1",",N","","","","","30.7",",,N,27,","62.3",",,,N","",""
"US1GAHY0014","2013-12","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","11",",N","9",",N","3",",N","","","","","130.6",",,N,23,","303.4",",,,N","",""
"US1GAHY0014","2014-01","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","7",",N","7",",N","2",",N","","","","","35.1",",,N,12,","91.9",",,,N","",""
"US1GAHY0014","2014-03","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","14",",N","8",",N","3",",N","","","","","42.4",",,N,17,","153.7",",,,N","",""
"US1GAHY0014","2014-04","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","8","1,N","7","1,N","3","1,N","","","","","58.2","1,,N,08,","166.8","1,,,N","",""
"US1GAHY0014","2014-05","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","4","5,N","2","5,N","1","5,N","","","","","35.6","5,,N,15,","57.5","2,a,,N","",""
"US1GAHY0014","2014-06","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","10","4,N","3","4,N","0","4,N","","","","","9.9","4,,N,07,","24.5","4,,,N","",""
"US1GAHY0014","2014-07","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","11","1,N","8","1,N","3","1,N","","","","","52.6","1,,N,10,","141.6","1,,,N","",""
"US1GAHY0014","2014-08","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","7","1,N","7","1,N","2","1,N","","","","","56.1","1,,N,08,","120.4","1,,,N","",""
"US1GAHY0014","2014-11","33.330846","-84.049868","227.7","JENKINSBURG 1.0 WNW, GA US","7",",N","4",",N","1",",N","","","","","37.3",",,N,24,","71.5",",,,N","",""
