"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1GAMW0001","2009-06","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","4",",N","4",",N","1",",N","0","4,N","0","4,,N,30,+","34.3",",,N,05,","69.9",",,,N","0","4,,,N"
"US1GAMW0001","2009-07","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","11","1,N","11","1,N","1","1,N","","","","","86.4","1,,N,07,","157.6","1,,,N","",""
"US1GAMW0001","2009-09","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","8",",N","6",",N","3",",N","","","","","58.4",",,N,20,","148.8",",,,N","",""
"US1GAMW0001","2009-10","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","12",",N","12",",N","5",",N","","","","","76.2",",,N,28,","307.3",",,,N","",""
"US1GAMW0001","2009-11","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","8",",N","6",",N","2",",N","","","","","127.0",",,N,11,","212.7",",,,N","",""
"US1GAMW0001","2009-12","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","12",",N","11",",N","7",",N","","","","","67.3",",,N,03,","344.1",",,,N","",""
"US1GAMW0001","2010-01","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","8",",N","5",",N","3",",N","","","","","39.4",",,N,17,","131.2",",,,N","",""
"US1GAMW0001","2010-02","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","10",",N","8",",N","1",",N","","","","","45.2",",,N,05,","107.7",",,,N","",""
"US1GAMW0001","2010-03","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","10",",N","10",",N","1",",N","","","","","58.2",",,N,11,","131.3",",,,N","",""
"US1GAMW0001","2010-04","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","4",",N","4",",N","1",",N","0","4,N","0","4,,N,30,+","37.1",",,N,25,","53.4",",,,N","0","4,,,N"
"US1GAMW0001","2010-05","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","11",",N","8",",N","2",",N","","","","","49.5",",,N,04,","161.5",",,,N","",""
"US1GAMW0001","2010-06","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","8",",N","6",",N","0",",N","","","","","15.2",",,N,03,","49.4",",,,N","",""
"US1GAMW0001","2010-07","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","8",",N","6",",N","1",",N","","","","","34.3",",,N,19,","85.1",",,,N","",""
"US1GAMW0001","2010-08","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","8",",N","7",",N","0",",N","","","","","19.1",",,N,21,","68.4",",,,N","",""
"US1GAMW0001","2010-09","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","3","3,N","2","3,N","1","3,N","","","","","49.8","3,,N,27,","55.9","3,,,N","",""
"US1GAMW0001","2012-10","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","3",",N","2",",N","2",",N","0","3,N","0","3,,N,31,+","71.6",",,N,01,","111.2",",,,N","0","3,,,N"
"US1GAMW0001","2013-09","32.88087","-84.563737","262.4","MANCHESTER 3.6 ENE, GA US","4","2,N","3","2,N","0","2,N","","","","","15.5","2,,N,21,","40.9",",a,,N","",""
