"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1GAWH0009","2017-05","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","15",",N","12",",N","1",",N","36.8",",,N,21,","158.6",",,,N"
"US1GAWH0009","2017-06","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","11",",N","7",",N","3",",N","45.2",",,N,05,","149.1",",,,N"
"US1GAWH0009","2017-07","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","19",",N","13",",N","3",",N","73.2",",,N,17,","228.6",",,,N"
"US1GAWH0009","2017-08","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","11",",N","5",",N","2",",N","48.0",",,N,07,","139.8",",,,N"
"US1GAWH0009","2017-09","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","8","2,N","5","2,N","1","2,N","51.3","2,,N,12,","86.8","2,,,N"
"US1GAWH0009","2017-11","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","7","1,N","4","1,N","0","1,N","7.1","1,,N,09,+","23.8","1,,,N"
"US1GAWH0009","2017-12","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","10","3,N","7","3,N","1","3,N","27.2","3,,N,21,","99.1","3,,,N"
"US1GAWH0009","2018-01","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","8",",N","5",",N","0",",N","19.3",",,N,23,","84.1",",,,N"
"US1GAWH0009","2018-02","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","18","2,N","12","2,N","1","2,N","35.3","2,,N,12,","156.9","2,,,N"
"US1GAWH0009","2018-03","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","13","2,N","9","2,N","3","2,N","54.6","2,,N,01,","198.6","2,,,N"
"US1GAWH0009","2018-04","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","11",",N","8",",N","3",",N","46.0",",,N,24,","174.4",",,,N"
"US1GAWH0009","2018-05","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","14",",N","12",",N","3",",N","102.4",",,N,30,","271.4",",,,N"
"US1GAWH0009","2018-06","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","15","1,N","10","1,N","0","1,N","21.6","1,,N,01,","97.2","1,,,N"
"US1GAWH0009","2018-07","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","16","1,N","9","1,N","0","1,N","21.3","1,,N,25,","104.5","1,,,N"
"US1GAWH0009","2018-08","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","12","1,N","7","1,N","4","1,N","46.2","1,,N,03,","170.8","1,,,N"
"US1GAWH0009","2018-09","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","","","","","","","","","71.5","2,a,,N"
"US1GAWH0009","2018-11","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","17",",N","11",",N","1",",N","80.3",",,N,13,","208.2",",,,N"
"US1GAWH0009","2018-12","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","19",",N","16",",N","4",",N","88.1",",,N,28,","346.5",",,,N"
"US1GAWH0009","2019-01","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","11","2,N","8","2,N","3","2,N","46.5","2,,N,20,","184.7","2,,,N"
"US1GAWH0009","2019-03","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","10","3,N","9","3,N","3","3,N","36.3","3,,N,15,","145.1","1,a,,N"
"US1GAWH0009","2019-04","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","13","1,N","8","1,N","4","1,N","56.4","1,,N,19,","224.3","1,,,N"
"US1GAWH0009","2019-05","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","7",",N","6",",N","2",",N","28.4",",,N,05,","76.8",",,,N"
"US1GAWH0009","2019-06","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","16","1,N","12","1,N","2","1,N","77.5","1,,N,09,","192.3","1,,,N"
"US1GAWH0009","2019-07","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","15",",N","9",",N","2",",N","36.8",",,N,12,","124.9",",,,N"
"US1GAWH0009","2019-08","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","12",",N","7",",N","1",",N","36.3",",,N,14,","102.5",",,,N"
"US1GAWH0009","2019-09","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","7",",N","3",",N","0",",N","8.1",",,N,14,","19.4",",,,N"
"US1GAWH0009","2019-10","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","15","2,N","11","2,N","3","2,N","122.4","2,,N,31,","261.3",",a,,N"
"US1GAWH0009","2019-11","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","11",",N","8",",N","1",",N","31.2",",,N,24,","104.6",",,,N"
"US1GAWH0009","2019-12","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","13",",N","11",",N","3",",N","37.8",",,N,23,","180.8",",,,N"
"US1GAWH0009","2020-01","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","15",",N","11",",N","2",",N","45.7",",,N,03,","200.0",",,,N"
"US1GAWH0009","2020-02","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","20",",N","12",",N","5",",N","87.6",",,N,11,","375.7",",,,N"
"US1GAWH0009","2020-03","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","17",",N","10",",N","3",",N","68.6",",,N,25,","198.6",",,,N"
"US1GAWH0009","2020-04","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","10",",N","8",",N","4",",N","68.6",",,N,13,","191.4",",,,N"
"US1GAWH0009","2020-05","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","12",",N","9",",N","2",",N","34.3",",,N,19,","128.4",",,,N"
"US1GAWH0009","2020-06","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","14",",N","12",",N","3",",N","31.5",",,N,16,","211.8",",,,N"
"US1GAWH0009","2020-07","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","15",",N","5",",N","0",",N","23.9",",,N,16,","58.5",",,,N"
"US1GAWH0009","2020-08","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","20",",N","14",",N","1",",N","46.0",",,N,15,","221.2",",,,N"
"US1GAWH0009","2020-09","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","11",",N","7",",N","4",",N","52.3",",,N,13,","185.9",",,,N"
"US1GAWH0009","2020-10","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","9",",N","7",",N","2",",N","106.9",",,N,11,","259.8",",,,N"
"US1GAWH0009","2020-11","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","8",",N","4",",N","2",",N","40.1",",,N,12,","124.0",",,,N"
"US1GAWH0009","2020-12","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","11",",N","6",",N","2",",N","36.8",",,N,14,","125.4",",,,N"
"US1GAWH0009","2021-01","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","13","2,N","7","2,N","2","2,N","49.0","2,,N,02,","130.9","2,,,N"
"US1GAWH0009","2021-02","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","14","1,N","10","1,N","1","1,N","26.7","1,,N,18,","136.5","1,,,N"
"US1GAWH0009","2021-03","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","","","","","","","","","196.0","4,a,,N"
"US1GAWH0009","2021-04","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","7","2,N","2","2,N","1","2,N","29.5","2,,N,25,","49.1","2,,,N"
"US1GAWH0009","2021-05","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","8","1,N","7","1,N","2","1,N","32.5","1,,N,29,","108.3","1,,,N"
"US1GAWH0009","2021-06","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","12","5,N","6","5,N","2","5,N","43.2","5,,N,20,","129.3","5,,,N"
"US1GAWH0009","2021-08","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","15","2,N","8","2,N","3","2,N","113.0","2,,N,18,","292.1","2,,,N"
"US1GAWH0009","2021-10","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","10","3,N","6","3,N","1","3,N","37.6","3,,N,06,","138.6","3,,,N"
"US1GAWH0009","2021-11","34.6043","-83.8469","446.8","CLEVELAND 4.7 W, GA US","6","3,N","4","3,N","0","3,N","21.3","3,,N,12,","43.0","3,,,N"
