"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1HIHI0070","2018-10","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","25","1,N","19","1,N","6","1,N","72.6","1,,N,18,","419.1","1,,,N"
"US1HIHI0070","2019-01","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","16","4,N","6","4,N","0","4,N","17.8","4,,N,20,","53.1","4,,,N"
"US1HIHI0070","2019-03","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","24",",N","10",",N","0",",N","14.0",",,N,13,","75.6",",,,N"
"US1HIHI0070","2019-05","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","20",",N","12",",N","1",",N","37.8",",,N,03,","118.0",",,,N"
"US1HIHI0070","2019-06","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","21",",N","12",",N","1",",N","29.5",",,N,04,","137.6",",,,N"
"US1HIHI0070","2019-07","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","26",",N","18",",N","2",",N","29.7",",,N,31,","173.1",",,,N"
"US1HIHI0070","2019-08","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","26","2,N","18","2,N","2","2,N","75.9","2,,N,02,","248.5","2,,,N"
"US1HIHI0070","2019-11","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","19",",N","12",",N","5",",N","40.6",",,N,17,","237.1",",,,N"
"US1HIHI0070","2020-01","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","25","1,N","19","1,N","2","1,N","26.9","1,,N,12,","251.2","1,,,N"
"US1HIHI0070","2020-03","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","28","3,N","17","3,N","3","3,N","41.4","3,,N,29,","320.5",",a,,N"
"US1HIHI0070","2020-04","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","23",",N","12",",N","3",",N","103.4",",,N,05,","238.6",",,,N"
"US1HIHI0070","2020-05","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","23",",N","13",",N","0",",N","22.1",",,N,22,","101.6",",,,N"
"US1HIHI0070","2020-06","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","","","","","","","","","113.6","5,a,,N"
"US1HIHI0070","2020-08","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","29",",N","15",",N","0",",N","17.5",",,N,06,","116.8",",,,N"
"US1HIHI0070","2020-09","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","23",",N","12",",N","1",",N","83.6",",,N,24,","193.8",",,,N"
"US1HIHI0070","2020-10","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","20","1,N","11","1,N","1","1,N","68.1","1,,N,01,","151.1","1,,,N"
"US1HIHI0070","2020-12","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","","","","","","","","","333.9","3,a,,N"
"US1HIHI0070","2021-01","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","","","","","","","","","326.0","2,a,,N"
"US1HIHI0070","2021-03","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","25","5,N","19","5,N","3","5,N","38.6","5,,N,23,","316.3","5,,,N"
"US1HIHI0070","2021-05","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","26","4,N","16","4,N","0","4,N","19.6","4,,N,31,","156.8",",a,,N"
"US1HIHI0070","2021-06","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","20",",N","10",",N","0",",N","10.9",",,N,12,","68.0",",,,N"
"US1HIHI0070","2021-07","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","","","","","","","","","188.6",",a,,N"
"US1HIHI0070","2021-08","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","","","","","","","","","148.1",",a,,N"
"US1HIHI0070","2021-11","19.5565","-154.8865","27.4","PAHOA 5.7 NE, HI US","21","3,N","9","3,N","2","3,N","41.1","3,,N,29,","165.9",",a,,N"
