"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1IASR0029","2013-10","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","9","1,N","7","1,N","1","1,N","","","","","43.9","1,,N,04,","81.8","1,,,N","",""
"US1IASR0029","2013-11","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","8","2,N","5","2,N","0","2,N","","","","","23.4","2,,N,06,","40.8","2,,,N","",""
"US1IASR0029","2013-12","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","7","3,N","2","3,N","0","3,N","","","","","9.1","3,,N,22,","16.6","3,,,N","",""
"US1IASR0029","2014-01","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","7","5,N","0","5,N","0","5,N","","","","","1.5","5,,N,01,","5.7","5,,,N","",""
"US1IASR0029","2014-02","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","13","2,N","9","2,N","0","2,N","","","","","18.0","2,,N,21,","53.8","2,,,N","",""
"US1IASR0029","2014-03","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","9","1,N","3","1,N","0","1,N","","","","","13.2","1,,N,28,","31.7","1,,,N","",""
"US1IASR0029","2014-04","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","14","2,N","8","2,N","2","2,N","","","","","57.4","2,,N,28,","161.9","2,,,N","",""
"US1IASR0029","2014-06","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","12","4,N","9","4,N","3","4,N","","","","","60.7","4,,N,27,","233.2","4,,,N","",""
"US1IASR0029","2014-09","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","10","3,N","7","3,N","2","3,N","","","","","53.1","3,,N,01,","140.0","3,,,N","",""
"US1IASR0029","2014-10","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","8","3,N","4","3,N","1","3,N","","","","","37.6","3,,N,14,","90.3","3,,,N","",""
"US1IASR0029","2014-11","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","6","4,N","2","4,N","0","4,N","","","","","9.9","4,,N,24,","18.5","4,,,N","",""
"US1IASR0029","2015-01","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","4","3,N","2","3,N","0","3,N","","","","","11.2","3,,N,06,","14.6","3,,,N","",""
"US1IASR0029","2015-02","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","4","4,N","3","4,N","0","4,N","","","","","18.0","4,,N,01,","27.9","4,,,N","",""
"US1IASR0029","2015-04","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","9","5,N","4","5,N","0","5,N","","","","","18.8","5,,N,09,","58.4","5,,,N","",""
"US1IASR0029","2015-05","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","22","2,N","13","2,N","0","2,N","","","","","17.3","2,,N,25,","125.5","2,,,N","",""
"US1IASR0029","2015-06","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","18","1,N","8","1,N","3","1,N","","","","","43.9","1,,N,24,","175.8","1,,,N","",""
"US1IASR0029","2015-07","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","10","3,N","9","3,N","3","3,N","","","","","57.7","3,,N,29,","177.2","3,,,N","",""
"US1IASR0029","2015-08","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","10","5,N","8","5,N","3","5,N","","","","","126.0","5,,N,09,","257.1","5,,,N","",""
"US1IASR0029","2015-09","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","11","2,N","6","2,N","2","2,N","","","","","29.0","2,,N,02,","100.5","2,,,N","",""
"US1IASR0029","2015-10","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","5","2,N","4","2,N","0","2,N","","","","","15.0","2,,N,28,","36.4","2,,,N","",""
"US1IASR0029","2015-11","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","9","1,N","8","1,N","0","1,N","","","","","18.8","1,,N,27,","72.0","1,,,N","",""
"US1IASR0029","2016-03","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","11","2,N","8","2,N","0","2,N","","","","","16.3","2,,N,31,","54.5","2,,,N","",""
"US1IASR0029","2016-04","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","14","3,N","8","3,N","0","3,N","","","","","15.5","3,,N,01,","65.3","3,,,N","",""
"US1IASR0029","2016-06","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","9","2,N","5","2,N","0","2,N","","","","","8.1","2,,N,26,","27.7","2,,,N","",""
"US1IASR0029","2016-07","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","12","3,N","7","3,N","2","3,N","","","","","38.9","3,,N,18,","143.5","3,,,N","",""
"US1IASR0029","2016-09","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","10",",N","7",",N","4",",N","","","","","109.5",",,N,23,","274.3",",,,N","",""
"US1IASR0029","2016-10","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","7","4,N","4","4,N","0","4,N","","","","","10.2","4,,N,26,","22.7","4,,,N","",""
"US1IASR0029","2016-11","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","5","2,N","2","2,N","0","2,N","","","","","20.8","2,,N,23,","35.6","2,,,N","",""
"US1IASR0029","2017-02","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","5","4,N","5","4,N","0","4,N","","","","","15.0","4,,N,21,","44.0","4,,,N","",""
"US1IASR0029","2017-03","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","9",",N","5",",N","1",",N","","","","","32.3",",,N,30,","72.5",",,,N","",""
"US1IASR0029","2017-04","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","13","2,N","7","2,N","0","2,N","","","","","15.0","2,,N,16,","72.0","2,,,N","",""
"US1IASR0029","2017-05","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","14","3,N","9","3,N","1","3,N","","","","","43.7","3,,N,01,","145.5","3,,,N","",""
"US1IASR0029","2017-06","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","14","3,N","5","3,N","0","3,N","","","","","11.7","3,,N,28,","43.0","3,,,N","",""
"US1IASR0029","2017-07","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","8","1,N","2","1,N","1","1,N","","","","","28.7","1,,N,21,","51.6","1,,,N","",""
"US1IASR0029","2017-09","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","5","3,N","3","3,N","0","3,N","","","","","18.3","3,,N,26,","44.8","3,,,N","",""
"US1IASR0029","2017-10","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","14",",N","10",",N","1",",N","","","","","46.0",",,N,07,","159.8",",,,N","",""
"US1IASR0029","2017-11","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","","","","","","","","","","","","","9.7","4,a,,N","",""
"US1IASR0029","2018-01","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","5","4,N","4","4,N","0","4,N","","","","","20.8","4,,N,22,","35.3","4,,,N","",""
"US1IASR0029","2018-02","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","12","3,N","5","3,N","0","3,N","","","","","15.5","3,,N,06,","42.6","3,,,N","",""
"US1IASR0029","2018-03","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","10",",N","6",",N","0",",N","","","","","19.3",",,N,17,","64.8",",,,N","",""
"US1IASR0029","2018-04","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","7","3,N","3","3,N","0","3,N","","","","","24.9","3,,N,15,","40.1","3,,,N","",""
"US1IASR0029","2018-05","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","17",",N","8",",N","1",",N","","","","","44.2",",,N,02,","114.8",",,,N","",""
"US1IASR0029","2018-06","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","16","4,N","11","4,N","4","4,N","","","","","70.9","4,,N,14,","287.1","4,,,N","",""
"US1IASR0029","2018-09","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","10","3,N","8","3,N","2","3,N","","","","","52.8","3,,N,02,","200.3","1,a,,N","",""
"US1IASR0029","2018-10","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","14","1,N","8","1,N","1","1,N","","","","","29.5","1,,N,02,","119.8","1,,,N","",""
"US1IASR0029","2018-11","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","5","2,N","4","2,N","1","2,N","","","","","28.7","2,,N,04,","48.2","2,,,N","",""
"US1IASR0029","2019-01","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","10",",N","5",",N","0",",N","","","","","9.7",",,N,23,","30.7",",,,N","",""
"US1IASR0029","2019-02","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","11",",N","7",",N","0",",N","","","","","19.3",",,N,24,","56.3",",,,N","",""
"US1IASR0029","2019-03","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","9",",N","4",",N","0",",N","","","","","9.7",",,N,10,","28.8",",,,N","",""
"US1IASR0029","2019-04","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","13","2,N","8","2,N","0","2,N","","","","","12.2","2,,N,08,","58.3","2,,,N","",""
"US1IASR0029","2019-05","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","21","2,N","16","2,N","1","2,N","","","","","52.6","2,,N,24,","209.4","2,,,N","",""
"US1IASR0029","2019-06","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","13",",N","7",",N","1",",N","","","","","27.4",",,N,16,","89.9",",,,N","",""
"US1IASR0029","2019-07","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","9",",N","7",",N","2",",N","","","","","34.5",",,N,04,","100.3",",,,N","",""
"US1IASR0029","2019-09","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","17",",N","13",",N","2",",N","","","","","30.7",",,N,09,","180.6",",,,N","",""
"US1IASR0029","2019-10","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","15",",N","11",",N","2",",N","","","","","31.2",",,N,21,","156.3",",,,N","",""
"US1IASR0029","2019-11","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","11",",N","4",",N","0",",N","","","","","12.4",",,N,27,+","46.7",",,,N","",""
"US1IASR0029","2019-12","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","7",",N","2",",N","0",",N","","","","","22.1",",,N,29,","30.8",",,,N","",""
"US1IASR0029","2020-01","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","10",",N","4",",N","0",",N","","","","","9.9",",,N,18,","34.6",",,,N","",""
"US1IASR0029","2020-02","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","6",",N","1",",N","0",",N","","","","","11.9",",,N,18,","16.0",",,,N","",""
"US1IASR0029","2020-03","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","10",",N","3",",N","2",",N","","","","","32.0",",,N,20,","73.3",",,,N","",""
"US1IASR0029","2020-04","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","10",",N","5",",N","1",",N","","","","","27.4",",,N,13,","46.7",",,,N","",""
"US1IASR0029","2020-05","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","16",",N","10",",N","1",",N","","","","","25.7",",,N,17,","129.5",",,,N","",""
"US1IASR0029","2020-06","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","11","1,N","3","1,N","0","1,N","","","","","19.8","1,,N,23,","41.5","1,,,N","",""
"US1IASR0029","2020-07","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","9",",N","5",",N","1",",N","","","","","58.7",",,N,15,","81.0",",,,N","",""
"US1IASR0029","2020-08","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","7",",N","5",",N","1",",N","","","","","25.7",",,N,11,","58.3",",,,N","",""
"US1IASR0029","2020-09","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","10",",N","6",",N","2",",N","","","","","29.0",",,N,09,","88.2",",,,N","",""
"US1IASR0029","2020-10","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","10",",N","3",",N","0",",N","","","","","19.6",",,N,23,","41.4",",,,N","",""
"US1IASR0029","2020-11","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","6",",N","3",",N","1",",N","","","","","28.4",",,N,10,","41.4",",,,N","",""
"US1IASR0029","2020-12","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","3",",N","2",",N","0",",N","0","4,N","0","4,,N,31,+","23.1",",,N,12,","31.8",",,,N","0","4,,,N"
"US1IASR0029","2021-01","42.019054","-93.674102","309.4","AMES 2.5 W, IA US","6",",N","2",",N","0",",N","","","","","12.2",",,N,15,","26.7",",,,N","",""
