"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1IDAD0012","2009-04","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","6","4,N","1","4,N","0","4,N","","","","","13.0","4,,N,09,","17.9","4,,,N","",""
"US1IDAD0012","2009-05","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","7",",N","3",",N","0",",N","","","","","10.7",",,N,02,","23.2",",,,N","",""
"US1IDAD0012","2009-06","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","11",",N","6",",N","0",",N","","","","","21.3",",,N,07,","85.7",",,,N","",""
"US1IDAD0012","2009-07","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","1","2,N","0","2,N","0","2,N","0","3,N","0","3,,N,31,+","1.5","2,,N,13,","1.5","2,,,N","0","3,,,N"
"US1IDAD0012","2009-08","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","5","3,N","3","3,N","0","3,N","","","","","21.3","3,,N,07,","48.0","3,,,N","",""
"US1IDAD0012","2009-09","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","0",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0.0",",,N,30,+","0.0",",,,N","0",",,,N"
"US1IDAD0012","2009-10","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","11",",N","6",",N","0",",N","","","","","11.2",",,N,05,","39.7",",,,N","",""
"US1IDAD0012","2009-11","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","7","2,N","2","2,N","0","2,N","","","","","9.7","2,,N,12,","21.0","2,,,N","",""
"US1IDAD0012","2009-12","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","11","1,N","4","1,N","0","1,N","","","","","20.6","1,,N,16,","41.1","1,,,N","",""
"US1IDAD0012","2010-01","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","","","","","","","","","","","","","49.3","1,a,,N","",""
"US1IDAD0012","2010-02","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","","","","","","","","","","","","","27.5","2,a,,N","",""
"US1IDAD0012","2010-03","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","7","5,N","5","5,N","0","5,N","","","","","16.3","5,,N,13,","50.2","3,a,,N","",""
"US1IDAD0012","2010-04","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","11","2,N","4","2,N","0","2,N","","","","","19.8","2,,N,21,","42.8","2,,,N","",""
"US1IDAD0012","2010-07","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","4","3,N","2","3,N","0","3,N","","","","","3.6","3,,N,27,","7.9","3,,,N","",""
"US1IDAD0012","2010-08","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","3","5,N","1","5,N","0","5,N","","","","","3.8","5,,N,12,","6.6","5,,,N","",""
"US1IDAD0012","2010-09","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","2","1,N","0","1,N","0","1,N","0","4,N","0","4,,N,30,+","0.5","1,,N,20,","0.8","1,,,N","0","4,,,N"
"US1IDAD0012","2010-10","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","8","4,N","3","4,N","0","4,N","","","","","9.7","4,,N,24,","33.0","2,a,,N","",""
"US1IDAD0012","2011-03","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","","","","","","","","","","","","","117.4","5,a,,N","",""
"US1IDAD0012","2011-04","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","16","5,N","5","5,N","0","5,N","","","","","15.2","5,,N,21,","45.8","5,,,N","",""
"US1IDAD0012","2011-05","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","14","3,N","6","3,N","0","3,N","","","","","16.0","3,,N,26,","60.7","1,a,,N","",""
"US1IDAD0012","2011-06","43.6164698","-116.1887521","833.3","BOISE 1.5 NE, ID US","9","2,N","4","2,N","0","2,N","","","","","6.4","2,,N,23,","20.7","2,,,N","",""
