"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ILFD0008","2010-05","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","9","4,N","7","4,N","1","4,N","","","","","34.0","4,,N,11,","131.9","1,a,,N","",""
"US1ILFD0008","2010-06","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","15","4,N","10","4,N","3","4,N","","","","","35.1","4,,N,16,","204.7",",a,,N","",""
"US1ILFD0008","2010-07","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","10","3,N","5","3,N","0","3,N","","","","","15.2","3,,N,20,","50.0",",a,,N","",""
"US1ILFD0008","2010-08","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","9","3,N","2","3,N","0","3,N","","","","","12.4","3,,N,21,","29.5",",a,,N","",""
"US1ILFD0008","2010-09","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","11",",N","6",",N","2",",N","","","","","47.5",",,N,03,","110.8",",,,N","",""
"US1ILFD0008","2010-10","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","7",",N","4",",N","0",",N","","","","","10.7",",,N,14,","30.6",",,,N","",""
"US1ILFD0008","2010-11","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","7",",N","5",",N","0",",N","","","","","24.4",",,N,25,","78.6",",,,N","",""
"US1ILFD0008","2010-12","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","12",",N","6",",N","0",",N","5",",N","147",",,N,04,","21.3",",,N,12,","63.7",",,,N","517",",,,N"
"US1ILFD0008","2011-01","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","8","2,N","2","2,N","0","2,N","0","2,N","20","2,,N,20,","4.1","2,,N,01,","21.6",",a,,N","71","2,,,N"
"US1ILFD0008","2011-02","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","11",",N","7",",N","1",",N","3","1,N","150","1,,N,02,","29.0",",,N,02,","69.7",",,,N","326","1,,,N"
"US1ILFD0008","2011-03","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","8",",N","4",",N","1",",N","0","1,N","13","1,,N,06,","28.2",",,N,05,","61.2",",,,N","13","1,,,N"
"US1ILFD0008","2011-04","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","16",",N","13",",N","4",",N","0",",N","0",",,N,30,+","48.8",",,N,26,","211.1",",,,N","0",",,,N"
"US1ILFD0008","2011-05","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","13","4,N","6","4,N","1","4,N","","","","","39.1","4,,N,26,","120.2",",a,,N","",""
"US1ILFD0008","2011-06","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","13",",N","10",",N","0",",N","0","1,N","0","1,,N,30,+","19.8",",,N,15,","101.2",",,,N","0","1,,,N"
"US1ILFD0008","2011-07","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","6",",N","4",",N","0",",N","0","1,N","0","1,,N,31,+","23.1",",,N,25,","45.9",",,,N","0","1,,,N"
"US1ILFD0008","2011-09","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","10",",N","7",",N","0",",N","0","4,N","0","4,,N,30,+","19.3",",,N,27,","85.4",",,,N","0","4,,,N"
"US1ILFD0008","2011-10","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","9",",N","5",",N","1",",N","0","1,N","0","1,,N,31,+","27.2",",,N,20,","57.7",",,,N","0","1,,,N"
"US1ILFD0008","2011-11","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","11",",N","7",",N","0",",N","0",",N","0",",T,N,11,","20.1",",,N,23,","76.6",",,,N","0",",T,,N"
"US1ILFD0008","2011-12","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","11","3,N","6","3,N","1","3,N","1","3,N","71","3,,N,27,","43.4","3,,N,15,","77.8",",a,,N","91","3,,,N"
"US1ILFD0008","2012-01","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","9","3,N","7","3,N","0","3,N","2","3,N","74","3,,N,13,","22.4","3,,N,23,","63.0",",a,,N","123","3,,,N"
"US1ILFD0008","2012-02","40.456368","-88.0903","245.7","PAXTON 0.5 ESE, IL US","9",",N","4",",N","0",",N","0",",N","23",",,N,14,","7.6",",,N,29,","26.4",",,,N","53",",,,N"
