"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ILGY0028","2018-07","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","7",",N","4",",N","0",",N","","","","","","","","","14.5",",,N,21,","39.2",",,,N","",""
"US1ILGY0028","2018-08","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","10",",N","5",",N","3",",N","","","","","","","","","36.3",",,N,16,","108.5",",,,N","",""
"US1ILGY0028","2018-09","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","9",",N","7",",N","0",",N","","","","","","","","","14.7",",,N,07,","60.3",",,,N","",""
"US1ILGY0028","2018-10","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","14",",N","8",",N","0",",N","","","","","","","","","19.3",",,N,06,","99.5",",,,N","",""
"US1ILGY0028","2018-11","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","12",",N","4",",N","0",",N","","","","","","","","","22.1",",,N,26,","52.3",",,,N","",""
"US1ILGY0028","2018-12","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","9","3,N","2","3,N","0","3,N","","","","","","","","","22.4","3,,N,02,","55.7",",a,,N","",""
"US1ILGY0028","2019-01","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","12",",N","9",",N","0",",N","","","","","","","","","21.1",",,N,01,","63.1",",,,N","",""
"US1ILGY0028","2019-02","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","12",",N","6",",N","0",",N","","","","","","","","","16.8",",,N,24,","62.7",",,,N","",""
"US1ILGY0028","2019-03","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","12",",N","9",",N","0",",N","","","","","","","","","22.4",",,N,30,","85.0",",,,N","",""
"US1ILGY0028","2019-04","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","15",",N","13",",N","1",",N","","","","","","","","","34.8",",,N,30,","122.5",",,,N","",""
"US1ILGY0028","2019-05","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","25",",N","17",",N","2",",N","","","","","","","","","59.9",",,N,01,","235.1",",,,N","",""
"US1ILGY0028","2019-06","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","13",",N","7",",N","1",",N","","","","","","","","","51.6",",,N,20,","113.6",",,,N","",""
"US1ILGY0028","2019-07","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","13",",N","10",",N","3",",N","","","","","","","","","71.4",",,N,01,","206.0",",,,N","",""
"US1ILGY0028","2019-08","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","10",",N","7",",N","0",",N","","","","","","","","","23.1",",,N,13,","78.8",",,,N","",""
"US1ILGY0028","2019-09","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","14","2,N","10","2,N","3","2,N","","","","","","","","","156.2","2,,N,28,","347.2",",a,,N","",""
"US1ILGY0028","2019-10","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","11",",N","9",",N","1",",N","","","","","","","","","70.6",",,N,27,","139.5",",,,N","",""
"US1ILGY0028","2019-11","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","12",",N","4",",N","0",",N","","","","","","","","","14.2",",,N,21,","36.4",",,,N","",""
"US1ILGY0028","2019-12","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","7","2,N","1","2,N","0","2,N","","","","","","","","","3.6","2,,N,16,","34.6",",a,,N","",""
"US1ILGY0028","2020-01","41.35459","-88.45063","159.4","MORRIS 1.5 SW, IL US","12",",N","6",",N","1",",N","","","","","","","","","40.9",",,N,11,","86.2",",,,N","",""
