"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ILLK0069","2012-05","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","12","1,N","4","1,N","0","1,N","","","","","","","","","13.5","1,,N,07,","38.1","1,,,N","",""
"US1ILLK0069","2012-06","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","6",",N","3",",N","1",",N","","","","","","","","","33.5",",,N,01,","52.6",",,,N","",""
"US1ILLK0069","2012-07","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","10",",N","5",",N","1",",N","","","","","","","","","44.5",",,N,19,","75.8",",,,N","",""
"US1ILLK0069","2012-08","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","10",",N","4",",N","1",",N","","","","","","","","","77.2",",,N,10,","96.7",",,,N","",""
"US1ILLK0069","2012-09","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","9",",N","7",",N","0",",N","","","","","","","","","18.3",",,N,04,","65.1",",,,N","",""
"US1ILLK0069","2012-10","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","13",",N","7",",N","0",",N","","","","","","","","","11.9",",,N,15,","49.0",",,,N","",""
"US1ILLK0069","2012-11","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","5",",N","2",",N","0",",N","","","0","5,N","","","0","5,T,N,13,","5.3",",,N,12,","11.0",",,,N","0","5,T,,N"
"US1ILLK0069","2012-12","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","10","3,N","7","3,N","0","3,N","","","","","","","","","17.8","3,,N,21,","55.5","3,,,N","",""
"US1ILLK0069","2013-01","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","6","4,N","6","4,N","1","4,N","","","","","","","","","35.6","4,,N,30,","79.5","4,,,N","",""
"US1ILLK0069","2013-02","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","","","","","","","","","6","3,N","","","213","3,,N,27,","","","","","646","3,,,N"
"US1ILLK0069","2013-03","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","5","5,N","5","5,N","0","5,N","","","","","","","","","15.7","5,,N,06,","42.3","5,,,N","",""
"US1ILLK0069","2013-04","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","16",",N","10",",N","2",",N","","","0","3,N","","","0","3,T,N,20,","99.1",",,N,18,","209.0",",,,N","0","3,T,,N"
"US1ILLK0069","2013-05","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","12",",N","7",",N","0",",N","","","","","","","","","19.3",",,N,21,","79.4",",,,N","",""
"US1ILLK0069","2013-06","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","14",",N","10",",N","1",",N","","","","","","","","","41.1",",,N,26,","135.6",",,,N","",""
"US1ILLK0069","2013-07","42.1984100341797","-87.8139877319336","210.0","HIGHWOOD 0.9 S, IL US","11",",N","6",",N","1",",N","","","","","","","","","29.2",",,N,09,","84.8",",,,N","",""
