"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1ILMD0036","2016-10","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","6",",N","1",",N","1",",N","79.8",",,N,20,","85.1",",,,N"
"US1ILMD0036","2016-11","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","9",",N","5",",N","1",",N","26.9",",,N,03,","54.7",",,,N"
"US1ILMD0036","2016-12","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","12",",N","3",",N","0",",N","9.7",",,N,26,","27.9",",,,N"
"US1ILMD0036","2017-01","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","15",",N","7",",N","0",",N","19.8",",,N,20,","67.8",",,,N"
"US1ILMD0036","2017-02","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","5",",N","1",",N","0",",N","3.0",",,N,21,","5.1",",,,N"
"US1ILMD0036","2017-03","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","14",",N","8",",N","0",",N","13.0",",,N,31,","75.1",",,,N"
"US1ILMD0036","2017-04","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","15",",N","8",",N","4",",N","66.5",",,N,30,","227.6",",,,N"
"US1ILMD0036","2017-05","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","14",",N","9",",N","1",",N","61.0",",,N,04,","131.1",",,,N"
"US1ILMD0036","2017-06","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","4",",N","4",",N","1",",N","53.3",",,N,18,","82.1",",,,N"
"US1ILMD0036","2017-07","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","8",",N","7",",N","2",",N","46.7",",,N,27,","127.5",",,,N"
"US1ILMD0036","2017-08","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","10",",N","4",",N","0",",N","18.8",",,N,22,","50.2",",,,N"
"US1ILMD0036","2017-09","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","3",",N","2",",N","1",",N","33.8",",,N,05,","40.1",",,,N"
"US1ILMD0036","2017-10","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","13",",N","5",",N","1",",N","43.2",",,N,10,","83.2",",,,N"
"US1ILMD0036","2017-11","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","10",",N","4",",N","0",",N","13.5",",,N,06,","28.9",",,,N"
"US1ILMD0036","2017-12","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","5",",N","2",",N","0",",N","12.7",",,N,23,","18.6",",,,N"
"US1ILMD0036","2018-01","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","9",",N","2",",N","0",",N","12.7",",,N,22,","23.7",",,,N"
"US1ILMD0036","2018-02","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","15",",N","11",",N","2",",N","47.2",",,N,21,","139.2",",,,N"
"US1ILMD0036","2018-03","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","17",",N","10",",N","2",",N","35.8",",,N,27,","160.8",",,,N"
"US1ILMD0036","2018-04","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","11",",N","8",",N","0",",N","17.3",",,N,03,","62.0",",,,N"
"US1ILMD0036","2018-05","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","12",",N","9",",N","0",",N","19.8",",,N,03,","90.5",",,,N"
"US1ILMD0036","2018-06","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","13",",N","9",",N","2",",N","36.1",",,N,29,","113.6",",,,N"
"US1ILMD0036","2018-07","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","6",",N","3",",N","1",",N","54.1",",,N,15,","79.2",",,,N"
"US1ILMD0036","2018-08","38.8129997253418","-89.9582138061523","167.6","EDWARDSVILLE 1.2 NNE, IL US","13",",N","9",",N","1",",N","26.7",",,N,25,","96.1",",,,N"
