"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INDL0025","2012-02","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","8","2,N","4","2,N","0","2,N","","","","","7.6","2,,N,29,","24.1","2,,,N","",""
"US1INDL0025","2013-10","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","11","4,N","5","4,N","0","4,N","","","","","19.1","4,,N,07,","43.2","4,,,N","",""
"US1INDL0025","2014-03","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","5","5,N","4","5,N","0","5,N","2","5,N","51","5,,N,03,","19.1","5,,N,12,","36.9","5,,,N","119","5,,,N"
"US1INDL0025","2014-05","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","6","4,N","4","4,N","1","4,N","","","","","29.2","4,,N,15,","63.2","4,,,N","",""
"US1INDL0025","2015-04","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","13","4,N","9","4,N","0","4,N","","","","","24.1","4,,N,03,","97.0","4,,,N","",""
"US1INDL0025","2015-08","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","7","5,N","6","5,N","0","5,N","","","","","19.1","5,,N,03,","69.3","5,,,N","",""
"US1INDL0025","2015-10","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","4","3,N","3","3,N","1","3,N","","","","","28.7","3,,N,28,","48.0","3,,,N","",""
"US1INDL0025","2015-11","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","9","2,N","4","2,N","0","2,N","","","","","16.5","2,,N,28,","58.6","2,,,N","",""
"US1INDL0025","2016-04","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","13","3,N","9","3,N","1","3,N","","","","","26.7","3,,N,12,","94.8","3,,,N","",""
"US1INDL0025","2016-05","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","15","3,N","11","3,N","1","3,N","","","","","27.7","3,,N,29,","98.4","3,,,N","",""
"US1INDL0025","2016-06","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","10","1,N","7","1,N","1","1,N","","","","","36.3","1,,N,11,","91.7","1,,,N","",""
"US1INDL0025","2017-05","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","16","4,N","12","4,N","3","4,N","","","","","64.8","4,,N,25,","208.0","4,,,N","",""
"US1INDL0025","2017-06","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","10","4,N","7","4,N","2","4,N","","","","","85.1","4,,N,24,","169.6","4,,,N","",""
"US1INDL0025","2017-07","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","10","4,N","9","4,N","3","4,N","","","","","61.7","4,,N,08,","221.1","4,,,N","",""
"US1INDL0025","2017-10","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","12","5,N","9","5,N","1","5,N","","","","","27.9","5,,N,06,","95.5","5,,,N","",""
"US1INDL0025","2017-11","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","10","3,N","6","3,N","2","3,N","","","","","57.7","3,,N,06,","148.3","3,,,N","",""
"US1INDL0025","2018-02","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","10","4,N","8","4,N","1","4,N","","","","","27.4","4,,N,25,","105.1","4,,,N","",""
"US1INDL0025","2018-04","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","9","5,N","6","5,N","1","5,N","","","","","39.9","5,,N,04,","97.5","5,,,N","",""
"US1INDL0025","2018-05","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","8","5,N","5","5,N","0","5,N","","","","","10.2","5,,N,10,","34.0","5,,,N","",""
"US1INDL0025","2018-06","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","12","5,N","11","5,N","2","5,N","","","","","54.1","5,,N,08,","178.6","5,,,N","",""
"US1INDL0025","2018-08","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","8","3,N","7","3,N","5","3,N","","","","","50.8","3,,N,08,","206.1","3,,,N","",""
"US1INDL0025","2018-11","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","12","4,N","6","4,N","1","4,N","","","","","42.2","4,,N,02,","97.8","4,,,N","",""
"US1INDL0025","2018-12","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","12","2,N","6","2,N","0","2,N","","","","","18.5","2,,N,02,","63.0","2,,,N","",""
"US1INDL0025","2019-02","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","11","4,N","9","4,N","1","4,N","","","","","30.7","4,,N,08,","102.7","4,,,N","",""
"US1INDL0025","2019-04","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","11","3,N","8","3,N","2","3,N","","","","","53.3","3,,N,26,","144.2","3,,,N","",""
"US1INDL0025","2019-05","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","17",",N","13",",N","0",",N","","","","","23.4",",,N,20,","139.0",",,,N","",""
"US1INDL0025","2019-06","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","12","5,N","9","5,N","1","5,N","","","","","76.2","5,,N,16,","121.4","5,,,N","",""
"US1INDL0025","2019-10","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","7","1,N","6","1,N","1","1,N","","","","","39.4","1,,N,27,","90.7","1,,,N","",""
"US1INDL0025","2019-11","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","9","1,N","5","1,N","0","1,N","","","","","11.9","1,,N,27,","50.4","1,,,N","",""
"US1INDL0025","2019-12","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","11","2,N","9","2,N","0","2,N","","","","","21.3","2,,N,30,","91.9","2,,,N","",""
"US1INDL0025","2020-03","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","16","3,N","9","3,N","1","3,N","","","","","33.5","3,,N,29,","111.9","3,,,N","",""
"US1INDL0025","2020-04","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","12","1,N","6","1,N","0","1,N","","","","","7.6","1,,N,30,","37.9","1,,,N","",""
"US1INDL0025","2020-05","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","15","3,N","11","3,N","0","3,N","","","","","19.8","3,,N,18,","111.6","3,,,N","",""
"US1INDL0025","2020-06","40.0851","-85.3488","315.8","K9CJC SPRINGPORT 3.5 NE, IN US","7","1,N","3","1,N","1","1,N","","","","","36.1","1,,N,28,","71.0","1,,,N","",""
