"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INEL0034","2008-09","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","10",",N","7",",N","3",",N","","","0",",N","","","0",",,N,30,+","82.8",",,N,15,","212.8",",,,N","0",",,,N"
"US1INEL0034","2008-10","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","12",",N","7",",N","0",",N","","","0",",N","","","0",",,N,31,+","20.1",",,N,25,","81.0",",,,N","0",",,,N"
"US1INEL0034","2008-11","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","13",",N","5",",N","0",",N","","","1","1,N","","","76","1,,N,21,","6.9",",,N,12,","32.3",",,,N","86","1,,,N"
"US1INEL0034","2008-12","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","","","","","","","","","","","","","","","","","106.5",",a,,N","",""
"US1INEL0034","2009-01","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","14",",N","5",",N","0",",N","22",",N","8",",N","203",",,N,15,","89",",,N,10,","6.9",",,N,10,","29.5",",,,N","446",",,,N"
"US1INEL0034","2009-02","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","14",",N","6",",N","1",",N","15",",N","3",",N","160",",,N,01,","76",",,N,22,","28.7",",,N,27,","82.6",",,,N","185",",,,N"
"US1INEL0034","2009-04","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","12","3,N","8","3,N","1","3,N","","","","","","","","","41.7","3,,N,06,","117.8","1,a,,N","",""
"US1INEL0034","2009-05","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","10","1,N","5","1,N","2","1,N","","","","","","","","","44.7","1,,N,16,","123.1","1,,,N","",""
"US1INEL0034","2009-06","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","11","5,N","7","5,N","2","5,N","","","","","","","","","29.2","5,,N,12,","128.2",",a,,N","",""
"US1INEL0034","2009-07","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","14","5,N","6","5,N","0","5,N","","","","","","","","","24.9","5,,N,29,","78.6",",a,,N","",""
"US1INEL0034","2009-08","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","13",",N","11",",N","2",",N","","","","","","","","","61.7",",,N,18,","163.5",",,,N","",""
"US1INEL0034","2009-09","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","11","1,N","2","1,N","0","1,N","","","","","","","","","4.8","1,,N,28,+","15.7","1,,,N","",""
"US1INEL0034","2009-10","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","16","4,N","9","4,N","0","4,N","","","","","","","","","23.1","4,,N,31,","119.9","2,a,,N","",""
"US1INEL0034","2009-11","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","9",",N","5",",N","0",",N","","","","","","","","","7.9",",,N,25,","29.5",",,,N","",""
"US1INEL0034","2009-12","41.6425","-85.9675","238.4","ELKHART 3.1 S, IN US","","","","","","","","","","","","","","","","","54.9","2,a,,N","",""
