"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INHN0012","2007-05","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","4","4,N","2","4,N","0","4,N","0","4,N","0","4,,N,31,+","14.5","4,,N,10,","34.1","1,a,,N","0","4,,,N"
"US1INHN0012","2007-06","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","","","","","","","0","5,N","0","5,,N,30,+","","","67.1","3,a,,N","0","5,,,N"
"US1INHN0012","2007-07","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","","","","","","","","","","","","","35.2","3,a,,N","",""
"US1INHN0012","2007-08","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","9","2,N","3","2,N","1","2,N","0","2,N","0","2,,N,31,+","73.7","2,,N,21,","82.2","2,,,N","0","2,,,N"
"US1INHN0012","2007-09","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","5","1,N","4","1,N","0","1,N","0","1,N","0","1,,N,30,+","17.5","1,,N,09,","45.0","1,,,N","0","1,,,N"
"US1INHN0012","2007-10","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","10",",N","7",",N","1",",N","0",",N","0",",,N,31,+","25.7",",,N,23,","79.5",",,,N","0",",,,N"
"US1INHN0012","2007-11","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","9","2,N","6","2,N","0","2,N","0","2,N","0","2,,N,30,+","17.8","2,,N,22,","70.4","2,,,N","0","2,,,N"
"US1INHN0012","2008-05","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","15","4,N","12","4,N","2","4,N","0","4,N","0","4,,N,31,+","73.7","4,,N,30,","209.1","4,,,N","0","4,,,N"
"US1INHN0012","2008-06","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","","","","","","","0","3,N","0","3,,N,30,+","","","","","0","3,,,N"
"US1INHN0012","2008-07","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","11","3,N","7","3,N","2","3,N","0","3,N","0","3,,N,31,+","41.4","3,,N,13,","150.7","3,,,N","0","3,,,N"
"US1INHN0012","2008-08","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","7","4,N","2","4,N","1","4,N","0","4,N","0","4,,N,31,+","30.5","4,,N,05,","58.0","4,,,N","0","4,,,N"
"US1INHN0012","2008-09","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","10","2,N","6","2,N","0","2,N","0","2,N","0","2,,N,30,+","24.6","2,,N,21,","83.1","2,,,N","0","2,,,N"
"US1INHN0012","2008-10","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","6","3,N","4","3,N","0","3,N","0","3,N","0","3,,N,31,+","19.3","3,,N,25,","54.1","3,,,N","0","3,,,N"
"US1INHN0012","2009-05","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","10","5,N","7","5,N","1","5,N","","","","","53.3","5,,N,14,","135.0","5,,,N","",""
"US1INHN0012","2009-06","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","11","3,N","9","3,N","3","3,N","","","","","36.8","3,,N,12,","142.0","1,a,,N","",""
"US1INHN0012","2009-08","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","7","5,N","4","5,N","2","5,N","","","","","129.5","5,,N,05,","205.3","5,,,N","",""
"US1INHN0012","2011-03","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","7","5,N","7","5,N","1","5,N","","","","","74.9","5,,N,05,","110.4","5,,,N","",""
"US1INHN0012","2012-07","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","8","2,N","4","2,N","0","2,N","","","","","18.0","2,,N,19,","53.9","2,,,N","",""
"US1INHN0012","2012-08","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","11","2,N","6","2,N","2","2,N","","","","","33.3","2,,N,10,","129.4","2,,,N","",""
"US1INHN0012","2012-09","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","16","3,N","9","3,N","4","3,N","","","","","73.2","3,,N,08,","209.3","3,,,N","",""
"US1INHN0012","2012-10","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","","","","","","","","","","","","","104.0","4,a,,N","",""
"US1INHN0012","2013-10","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","","","","","","","","","","","","","101.6","4,a,,N","",""
"US1INHN0012","2014-09","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","","","","","","","","","","","","","47.5","5,a,,N","",""
"US1INHN0012","2014-10","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","","","","","","","","","","","","","91.4","1,a,,N","",""
"US1INHN0012","2015-08","39.7879","-85.7752","274.9","GREENFIELD 0.4 SW, IN US","","","","","","","","","","","","","46.4","5,a,,N","",""
