"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INKS0064","2020-06","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","8",",N","5",",N","1",",N","","","","","","","","","29.5",",,N,23,","54.0",",,,N","",""
"US1INKS0064","2020-07","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","10",",N","6",",N","1",",N","","","","","","","","","29.5",",,N,16,","70.4",",,,N","",""
"US1INKS0064","2020-08","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","8",",N","4",",N","0",",N","","","","","","","","","21.6",",,N,02,","55.4",",,,N","",""
"US1INKS0064","2020-09","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","7",",N","4",",N","0",",N","","","","","","","","","7.6",",,N,13,","26.0",",,,N","",""
"US1INKS0064","2020-10","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","16",",N","7",",N","0",",N","","","","","","","","","10.9",",,N,02,","59.4",",,,N","",""
"US1INKS0064","2020-11","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","12",",N","5",",N","0",",N","","","","","","","","","13.2",",,N,22,","40.2",",,,N","",""
"US1INKS0064","2021-01","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","9",",N","3",",N","0",",N","7",",N","3","2,N","216",",,N,31,","203","2,,N,31,","13.7",",,N,02,","36.9",",,,N","336","2,,,N"
"US1INKS0064","2021-02","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","12",",N","2",",N","0",",N","26",",N","6",",N","432",",,N,17,+","254",",,N,16,","7.4",",,N,16,","19.2",",,,N","470",",,,N"
"US1INKS0064","2021-03","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","8",",N","6",",N","1",",N","","","","","","","","","36.3",",,N,26,","78.1",",,,N","",""
"US1INKS0064","2021-04","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","10",",N","6",",N","0",",N","","","","","","","","","14.2",",,N,29,","46.8",",,,N","",""
"US1INKS0064","2021-05","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","12",",N","8",",N","1",",N","","","","","","","","","46.2",",,N,09,","106.5",",,,N","",""
"US1INKS0064","2021-06","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","13",",N","10",",N","1",",N","","","","","","","","","25.4",",,N,09,","115.8",",,,N","",""
"US1INKS0064","2021-07","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","13",",N","10",",N","2",",N","","","","","","","","","62.0",",,N,18,","168.9",",,,N","",""
"US1INKS0064","2021-08","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","8",",N","5",",N","1",",N","","","","","","","","","61.5",",,N,12,","117.2",",,,N","",""
"US1INKS0064","2021-09","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","7","2,N","4","2,N","0","2,N","","","","","","","","","23.4","2,,N,22,","70.9",",a,,N","",""
"US1INKS0064","2021-10","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","15","2,N","10","2,N","1","2,N","","","","","","","","","57.9","2,,N,25,","161.3",",a,,N","",""
"US1INKS0064","2021-11","41.300231","-85.811086","258.2","WARSAW 4.6 NNE, IN US","8","1,N","3","1,N","0","1,N","","","","","","","","","5.3","1,,N,15,","19.7","1,,,N","",""
