"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1INLW0033","2020-09","38.927971","-86.529348","206.7","BEDFORD 5.1 NNW, IN US","3","4,N","2","4,N","0","4,N","6.4","4,,N,29,","11.5","4,,,N"
"US1INLW0033","2020-11","38.927971","-86.529348","206.7","BEDFORD 5.1 NNW, IN US","","","","","","","","","106.7","2,a,,N"
"US1INLW0033","2020-12","38.927971","-86.529348","206.7","BEDFORD 5.1 NNW, IN US","9",",N","5",",N","0",",N","21.3",",,N,31,","49.3",",,,N"
"US1INLW0033","2021-01","38.927971","-86.529348","206.7","BEDFORD 5.1 NNW, IN US","10","1,N","7","1,N","0","1,N","18.0","1,,N,02,","79.6","1,,,N"
"US1INLW0033","2021-02","38.927971","-86.529348","206.7","BEDFORD 5.1 NNW, IN US","12","2,N","9","2,N","0","2,N","21.6","2,,N,28,","92.3",",a,,N"
"US1INLW0033","2021-03","38.927971","-86.529348","206.7","BEDFORD 5.1 NNW, IN US","10",",N","8",",N","2",",N","30.2",",,N,01,","143.0",",,,N"
"US1INLW0033","2021-04","38.927971","-86.529348","206.7","BEDFORD 5.1 NNW, IN US","13","2,N","8","2,N","1","2,N","39.1","2,,N,29,","99.9",",a,,N"
"US1INLW0033","2021-05","38.927971","-86.529348","206.7","BEDFORD 5.1 NNW, IN US","9","3,N","4","3,N","0","3,N","8.9","3,,N,10,","41.9","1,a,,N"
"US1INLW0033","2021-06","38.927971","-86.529348","206.7","BEDFORD 5.1 NNW, IN US","13",",N","10",",N","2",",N","55.9",",,N,19,","181.5",",,,N"
"US1INLW0033","2021-07","38.927971","-86.529348","206.7","BEDFORD 5.1 NNW, IN US","14",",N","7",",N","2",",N","72.4",",,N,17,","162.8",",,,N"
"US1INLW0033","2021-08","38.927971","-86.529348","206.7","BEDFORD 5.1 NNW, IN US","11",",N","6",",N","0",",N","15.0",",,N,10,","64.1",",,,N"
"US1INLW0033","2021-10","38.927971","-86.529348","206.7","BEDFORD 5.1 NNW, IN US","15",",N","10",",N","1",",N","25.9",",,N,04,","99.8",",,,N"
"US1INLW0033","2021-11","38.927971","-86.529348","206.7","BEDFORD 5.1 NNW, IN US","8",",N","7",",N","0",",N","14.7",",,N,21,","51.7",",,,N"
