"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INMR0029","2007-01","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","12","3,N","7","3,N","1","3,N","","","1","3,N","","","43","3,,N,21,","34.5","3,,N,13,","144.8",",a,,N","69","3,,,N"
"US1INMR0029","2007-02","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","7","1,N","6","1,N","0","1,N","20","2,N","4","1,N","279","2,,N,19,+","127","1,,N,07,","22.1","1,,N,25,","66.0","1,,,N","378","1,,,N"
"US1INMR0029","2007-03","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","9","3,N","7","3,N","1","3,N","","","0","2,N","","","0","2,,N,31,+","35.3","3,,N,15,","99.9","3,,,N","0","2,,,N"
"US1INMR0029","2007-04","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","12",",N","7",",N","2",",N","","","0",",N","","","0",",,N,30,+","26.9",",,N,01,","120.9",",,,N","0",",,,N"
"US1INMR0029","2007-05","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","6",",N","4",",N","1",",N","","","0",",N","","","0",",,N,31,+","26.4",",,N,10,","52.8",",,,N","0",",,,N"
"US1INMR0029","2007-07","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","8","3,N","5","3,N","0","3,N","","","0","3,N","","","0","3,,N,31,+","15.2","3,,N,18,","52.8","3,,,N","0","3,,,N"
"US1INMR0029","2007-08","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","8",",N","2",",N","1",",N","","","0",",N","","","0",",,N,31,+","55.4",",,N,21,","70.7",",,,N","0",",,,N"
"US1INMR0029","2007-09","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","6",",N","5",",N","0",",N","","","0",",N","","","0",",,N,30,+","24.1",",,N,09,","60.9",",,,N","0",",,,N"
"US1INMR0029","2007-10","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","11",",N","7",",N","2",",N","","","0",",N","","","0",",,N,31,+","30.0",",,N,19,","101.7",",,,N","0",",,,N"
"US1INMR0029","2007-11","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","","","","","","","","","","","","","","","","","46.1","1,a,,N","",""
"US1INMR0029","2008-04","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","11","5,N","6","5,N","1","5,N","","","0","5,N","","","0","5,,N,30,+","33.0","5,,N,11,","82.0",",a,,N","0","5,,,N"
"US1INMR0029","2008-05","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","","","","","","","","","","","","","","","","","137.9",",a,,N","",""
"US1INMR0029","2008-07","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","9",",N","8",",N","3",",N","","","0",",N","","","0",",,N,31,+","45.2",",,N,05,","169.7",",,,N","0",",,,N"
"US1INMR0029","2008-08","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","4","2,N","2","2,N","2","2,N","","","0","2,N","","","0","2,,N,31,+","29.2","2,,N,05,","56.9","2,,,N","0","2,,,N"
"US1INMR0029","2008-09","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","7","2,N","5","2,N","0","2,N","","","0","2,N","","","0","2,,N,30,+","18.8","2,,N,13,","69.1",",a,,N","0","2,,,N"
"US1INMR0029","2008-10","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","3","4,N","3","4,N","0","4,N","","","0","4,N","","","0","4,,N,31,+","18.3","4,,N,25,","56.1",",a,,N","0","4,,,N"
"US1INMR0029","2008-11","39.6857","-86.05548","260.9","BEECH GROVE 2.6 SE, IN US","4","3,N","3","3,N","0","3,N","","","0","3,N","","","0","3,,N,30,+","14.7","3,,N,15,","52.5","1,a,,N","0","3,,,N"
