"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INSJ0032","2009-04","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","11","3,N","8","3,N","0","3,N","","","","","23.1","3,,N,06,","86.9","3,,,N","",""
"US1INSJ0032","2009-05","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","10",",N","6",",N","1",",N","","","","","31.0",",,N,16,","94.2",",,,N","",""
"US1INSJ0032","2009-06","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","16",",N","10",",N","1",",N","","","","","36.8",",,N,20,","151.4",",,,N","",""
"US1INSJ0032","2009-07","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","10",",N","6",",N","1",",N","","","","","35.6",",,N,12,","83.3",",,,N","",""
"US1INSJ0032","2009-08","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","13",",N","11",",N","1",",N","","","","","42.7",",,N,18,","135.9",",,,N","",""
"US1INSJ0032","2009-09","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","9","2,N","3","2,N","0","2,N","","","","","10.7","2,,N,09,","25.4","2,,,N","",""
"US1INSJ0032","2009-10","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","19",",N","11",",N","2",",N","","","","","29.7",",,N,23,","165.5",",,,N","",""
"US1INSJ0032","2009-11","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","11","1,N","6","1,N","0","1,N","","","","","10.2","1,,N,25,","38.6","1,,,N","",""
"US1INSJ0032","2010-02","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","9",",N","2",",N","0",",N","","","","","15.0",",,N,22,","25.3",",,,N","",""
"US1INSJ0032","2010-03","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","13",",N","5",",N","1",",N","","","","","33.5",",,N,12,","59.0",",,,N","",""
"US1INSJ0032","2010-04","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","9",",N","6",",N","0",",N","","","","","18.3",",,N,08,","73.2",",,,N","",""
"US1INSJ0032","2010-05","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","15",",N","10",",N","0",",N","","","","","23.9",",,N,11,","113.8",",,,N","",""
"US1INSJ0032","2010-06","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","17",",N","11",",N","3",",N","","","","","37.3",",,N,19,","181.2",",,,N","",""
"US1INSJ0032","2010-07","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","12",",N","5",",N","1",",N","","","","","56.6",",,N,24,","85.9",",,,N","",""
"US1INSJ0032","2010-09","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","10",",N","5",",N","0",",N","","","","","16.8",",,N,03,","52.1",",,,N","",""
"US1INSJ0032","2010-10","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","7",",N","4",",N","0",",N","","","","","13.2",",,N,27,","36.1",",,,N","",""
"US1INSJ0032","2010-11","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","11","1,N","7","1,N","0","1,N","","","","","22.6","1,,N,23,","95.7","1,,,N","",""
"US1INSJ0032","2010-12","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","14","1,N","3","1,N","0","1,N","","","","","14.2","1,,N,12,","34.0","1,,,N","",""
"US1INSJ0032","2011-01","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","11",",N","5",",N","0",",N","","","","","7.9",",,N,01,","32.9",",,,N","",""
"US1INSJ0032","2011-02","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","11",",N","5",",N","0",",N","","","","","20.3",",,N,21,","54.4",",,,N","",""
"US1INSJ0032","2011-03","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","10","1,N","6","1,N","0","1,N","","","","","19.8","1,,N,05,","53.6","1,,,N","",""
"US1INSJ0032","2011-04","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","20",",N","13",",N","2",",N","","","","","39.1",",,N,28,","179.6",",,,N","",""
"US1INSJ0032","2011-05","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","19","1,N","10","1,N","2","1,N","","","","","40.4","1,,N,26,","144.3","1,,,N","",""
"US1INSJ0032","2011-06","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","14","1,N","9","1,N","0","1,N","","","","","19.1","1,,N,16,","119.5","1,,,N","",""
"US1INSJ0032","2011-07","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","12",",N","6",",N","0",",N","","","","","21.8",",,N,29,","79.8",",,,N","",""
"US1INSJ0032","2011-08","41.657684","-86.526204","251.8","NEW CARLISLE 3.3 SSW, IN US","9","1,N","5","1,N","0","1,N","","","","","20.3","1,,N,08,","60.8","1,,,N","",""
