"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INWS0020","2009-01","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","5","4,N","4","4,N","0","4,N","","","","","22.1","4,,N,27,","45.2","4,,,N","",""
"US1INWS0020","2009-02","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","4","5,N","4","5,N","0","5,N","","","","","23.4","5,,N,27,","60.2","5,,,N","",""
"US1INWS0020","2009-03","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","6","2,N","4","2,N","0","2,N","","","","","14.2","2,,N,19,","51.7","2,,,N","",""
"US1INWS0020","2009-04","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","9","3,N","8","3,N","0","3,N","","","","","21.1","3,,N,03,","86.9","3,,,N","",""
"US1INWS0020","2009-05","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","18",",N","12",",N","0",",N","","","","","19.1",",,N,08,","130.3",",,,N","",""
"US1INWS0020","2009-06","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","11","2,N","9","2,N","2","2,N","","","","","33.5","2,,N,10,","167.8",",a,,N","",""
"US1INWS0020","2009-07","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","12","2,N","11","2,N","3","2,N","","","","","58.9","2,,N,31,","208.9",",a,,N","",""
"US1INWS0020","2009-08","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","8",",N","5",",N","1",",N","","","","","33.5",",,N,04,","72.9",",,,N","",""
"US1INWS0020","2009-09","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","9","2,N","8","2,N","1","2,N","","","","","29.2","2,,N,21,","154.6",",a,,N","",""
"US1INWS0020","2009-10","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","10","5,N","8","5,N","2","5,N","","","","","32.8","5,,N,23,","223.6","1,a,,N","",""
"US1INWS0020","2009-11","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","4",",N","3",",N","0",",N","0","4,N","0","4,,N,30,+","5.3",",,N,17,","12.7",",,,N","0","4,,,N"
"US1INWS0020","2009-12","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","15","1,N","8","1,N","0","1,N","","","","","14.7","1,,N,09,","66.1","1,,,N","",""
"US1INWS0020","2010-01","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","10",",N","3",",N","0",",N","","","","","16.5",",,N,21,","51.3",",,,N","",""
"US1INWS0020","2010-03","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","9","2,N","7","2,N","0","2,N","","","","","15.2","2,,N,22,","59.7","2,,,N","",""
"US1INWS0020","2010-04","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","9","4,N","7","4,N","1","4,N","","","","","35.1","4,,N,08,","87.3","4,,,N","",""
"US1INWS0020","2010-05","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","13","4,N","11","4,N","2","4,N","","","","","28.2","4,,N,12,","217.3","2,a,,N","",""
"US1INWS0020","2010-06","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","10",",N","7",",N","2",",N","","","","","25.4",",,N,19,+","98.9",",,,N","",""
"US1INWS0020","2010-07","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","11",",N","7",",N","0",",N","","","","","23.1",",,N,21,","68.1",",,,N","",""
"US1INWS0020","2010-08","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","7",",N","5",",N","0",",N","","","","","14.0",",,N,05,","43.8",",,,N","",""
"US1INWS0020","2010-09","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","3","3,N","1","3,N","0","3,N","","","","","4.1","3,,N,10,","7.4","3,,,N","",""
"US1INWS0020","2010-10","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","4",",N","3",",N","0",",N","0","4,N","0","4,,N,31,+","22.6",",,N,26,","49.8",",,,N","0","4,,,N"
"US1INWS0020","2010-11","38.478267","-86.070598","206.3","NEW PEKIN 3.4 WSW, IN US","11","1,N","8","1,N","3","1,N","","","","","59.9","1,,N,25,","181.0","1,,,N","",""
