"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSJO0053","2016-07","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","10",",N","9",",N","1",",N","","","","","","","","","58.9",",,N,03,","144.9",",,,N","",""
"US1KSJO0053","2016-08","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","11",",N","8",",N","3",",N","","","","","","","","","78.2",",,N,25,","214.3",",,,N","",""
"US1KSJO0053","2016-09","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","10",",N","8",",N","0",",N","","","","","","","","","24.9",",,N,10,","100.5",",,,N","",""
"US1KSJO0053","2016-10","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","9",",N","5",",N","0",",N","","","","","","","","","16.8",",,N,07,","48.1",",,,N","",""
"US1KSJO0053","2016-11","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","6",",N","3",",N","1",",N","","","","","","","","","25.7",",,N,03,","33.9",",,,N","",""
"US1KSJO0053","2016-12","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","9",",N","2",",N","0",",N","","","1","2,N","","","25","2,,N,18,","14.0",",,N,04,","27.8",",,,N","33","2,,,N"
"US1KSJO0053","2017-01","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","11",",N","1",",N","0",",N","5",",N","1",",N","51",",,N,06,","41",",,N,05,","15.7",",,N,16,","24.9",",,,N","51",",,,N"
"US1KSJO0053","2017-02","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","3",",N","0",",N","0",",N","0",",N","0",",N","0",",,N,28,+","0",",T,N,27,","0.5",",,N,24,+","1.3",",,,N","0",",T,,N"
"US1KSJO0053","2017-03","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","13",",N","6",",N","0",",N","","","","","","","","","20.6",",,N,29,","62.0",",,,N","",""
"US1KSJO0053","2017-04","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","17",",N","7",",N","3",",N","","","","","","","","","73.7",",,N,30,","167.8",",,,N","",""
"US1KSJO0053","2017-05","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","16",",N","9",",N","1",",N","","","","","","","","","43.7",",,N,19,","113.6",",,,N","",""
"US1KSJO0053","2017-06","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","14","1,N","6","1,N","2","1,N","","","","","","","","","88.1","1,,N,30,","163.9","1,,,N","",""
"US1KSJO0053","2017-07","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","5",",N","4",",N","4",",N","","","","","","","","","128.5",",,N,27,","296.9",",,,N","",""
"US1KSJO0053","2017-08","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","7","2,N","4","2,N","2","2,N","","","","","","","","","158.2","2,,N,22,","263.3","2,,,N","",""
"US1KSJO0053","2017-09","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","6",",N","4",",N","1",",N","","","","","","","","","41.4",",,N,17,","58.1",",,,N","",""
"US1KSJO0053","2017-10","38.86693","-94.692337","299.9","OVERLAND PARK 3.3 S, KS US","11",",N","7",",N","1",",N","","","","","","","","","53.8",",,N,22,","102.5",",,,N","",""
