"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSMG0008","2011-10","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","3",",N","1",",N","0",",N","0","4,N","0","4,,N,31,+","7.4",",,N,10,","9.4",",,,N","0","4,,,N"
"US1KSMG0008","2011-11","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","5",",N","5",",N","1",",N","","","","","134.6",",,N,08,","181.6",",,,N","",""
"US1KSMG0008","2011-12","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","6",",N","4",",N","1",",N","","","","","38.1",",,N,20,","50.7",",,,N","",""
"US1KSMG0008","2012-01","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","0",",N","0",",N","0",",N","0","2,N","8","2,,N,12,","0.0",",T,N,25,+","0.0",",T,,N","8","2,,,N"
"US1KSMG0008","2012-02","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","9",",N","7",",N","1",",N","","","","","45.5",",,N,04,","76.0",",,,N","",""
"US1KSMG0008","2012-03","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","8",",N","8",",N","1",",N","","","","","70.4",",,N,20,","146.1",",,,N","",""
"US1KSMG0008","2012-04","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","7",",N","6",",N","2",",N","","","","","92.2",",,N,30,","163.1",",,,N","",""
"US1KSMG0008","2012-05","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","4",",N","3",",N","2",",N","","","","","57.9",",,N,01,","104.1",",,,N","",""
"US1KSMG0008","2012-06","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","6","3,N","3","3,N","3","3,N","","","","","34.3","3,,N,21,","98.8",",a,,N","",""
"US1KSMG0008","2012-07","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","1",",N","1",",N","0",",N","0","2,N","0","2,,N,31,+","8.6",",,N,14,","8.6",",,,N","0","2,,,N"
"US1KSMG0008","2012-08","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","3",",N","3",",N","2",",N","","","","","71.1",",,N,26,","113.8",",,,N","",""
"US1KSMG0008","2012-09","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","9",",N","6",",N","0",",N","","","","","17.5",",,N,27,","69.1",",,,N","",""
"US1KSMG0008","2012-10","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","6",",N","3",",N","0",",N","","","","","24.9",",,N,12,","54.1",",,,N","",""
"US1KSMG0008","2012-11","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","3",",N","3",",N","0",",N","0","4,N","0","4,,N,30,+","15.2",",,N,11,","30.0",",,,N","0","4,,,N"
"US1KSMG0008","2012-12","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","2",",N","1",",N","0",",N","0","5,N","0","5,,N,31,+","3.3",",,N,15,","4.1",",,,N","0","5,,,N"
"US1KSMG0008","2013-01","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","5",",N","5",",N","1",",N","","","","","31.8",",,N,30,","57.4",",,,N","",""
"US1KSMG0008","2013-02","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","6",",N","6",",N","1",",N","1","4,N","25","4,,N,21,","43.2",",,N,26,","105.2",",,,N","25","4,,,N"
"US1KSMG0008","2013-03","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","6",",N","3",",N","0",",N","","","","","14.2",",,N,10,","39.4",",,,N","",""
"US1KSMG0008","2013-04","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","13",",N","12",",N","1",",N","","","","","37.1",",,N,23,","128.3",",,,N","",""
"US1KSMG0008","2013-05","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","12",",N","10",",N","3",",N","","","","","80.3",",,N,20,","217.5",",,,N","",""
"US1KSMG0008","2013-06","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","7",",N","6",",N","3",",N","","","","","45.5",",,N,17,","140.3",",,,N","",""
"US1KSMG0008","2013-07","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","12",",N","11",",N","4",",N","","","","","99.3",",,N,21,","289.4",",,,N","",""
"US1KSMG0008","2013-08","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","11",",N","10",",N","4",",N","","","","","66.0",",,N,08,","252.6",",,,N","",""
"US1KSMG0008","2013-09","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","6",",N","5",",N","1",",N","","","","","25.7",",,N,29,","55.7",",,,N","",""
"US1KSMG0008","2013-10","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","8",",N","7",",N","4",",N","","","","","35.1",",,N,05,","147.1",",,,N","",""
"US1KSMG0008","2013-11","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","6",",N","4",",N","1",",N","","","","","33.3",",,N,06,","62.8",",,,N","",""
"US1KSMG0008","2013-12","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","5",",N","2",",N","0",",N","0","5,N","18","5,,N,10,","16.3",",,N,22,","27.5",",,,N","23","5,,,N"
"US1KSMG0008","2014-01","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","3",",N","1",",N","0",",N","1",",N","56",",,N,05,","7.4",",,N,05,","9.4",",,,N","81",",,,N"
"US1KSMG0008","2014-02","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","3","1,N","1","1,N","0","1,N","2","3,N","76","3,,N,05,","8.1","1,,N,05,","11.4","1,,,N","119","3,,,N"
"US1KSMG0008","2014-03","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","4","3,N","3","3,N","1","3,N","","","","","31.8","3,,N,16,","41.5","3,,,N","",""
"US1KSMG0008","2014-04","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","5",",N","5",",N","0",",N","","","","","12.2",",,N,22,","33.3",",,,N","",""
"US1KSMG0008","2014-05","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","10","2,N","8","2,N","0","2,N","","","","","19.6","2,,N,26,","67.7",",a,,N","",""
"US1KSMG0008","2014-06","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","12",",N","7",",N","4",",N","","","","","133.4",",,N,29,","274.4",",,,N","",""
"US1KSMG0008","2014-07","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","8",",N","4",",N","0",",N","","","","","22.9",",,N,24,","51.8",",,,N","",""
"US1KSMG0008","2014-08","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","3","2,N","2","2,N","0","2,N","","","","","12.2","2,,N,07,","58.2",",a,,N","",""
"US1KSMG0008","2014-09","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","9",",N","5",",N","2",",N","","","","","81.3",",,N,02,","175.4",",,,N","",""
"US1KSMG0008","2014-11","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","4",",N","2",",N","0",",N","1","4,N","33","4,,N,17,","24.4",",,N,04,","28.8",",,,N","33","4,,,N"
"US1KSMG0008","2014-12","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","6",",N","4",",N","0",",N","","","","","21.1",",,N,15,","42.6",",,,N","",""
"US1KSMG0008","2015-01","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","5",",N","2",",N","0",",N","","","","","5.1",",,N,21,","11.4",",,,N","",""
"US1KSMG0008","2015-02","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","3",",N","2",",N","0",",N","1","3,N","25","3,,N,16,","11.4",",,N,01,","17.3",",,,N","33","3,,,N"
"US1KSMG0008","2015-03","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","8",",N","5",",N","0",",N","","","","","9.7",",,N,19,","37.0",",,,N","",""
"US1KSMG0008","2015-04","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","10",",N","8",",N","0",",N","","","","","16.3",",,N,18,","94.6",",,,N","",""
"US1KSMG0008","2015-05","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","15",",N","13",",N","3",",N","","","","","45.2",",,N,17,","219.9",",,,N","",""
"US1KSMG0008","2015-06","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","8","1,N","6","1,N","1","1,N","","","","","26.7","1,,N,13,","59.3","1,,,N","",""
"US1KSMG0008","2015-07","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","8",",N","6",",N","2",",N","","","","","57.9",",,N,08,+","171.5",",,,N","",""
"US1KSMG0008","2015-08","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","8",",N","6",",N","2",",N","","","","","91.4",",,N,19,","178.8",",,,N","",""
"US1KSMG0008","2015-09","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","4",",N","3",",N","0",",N","","","","","21.3",",,N,09,","59.4",",,,N","",""
"US1KSMG0008","2015-11","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","11",",N","8",",N","2",",N","","","","","71.1",",,N,27,","168.5",",,,N","",""
"US1KSMG0008","2015-12","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","5",",N","5",",N","1",",N","1","4,N","25","4,,N,29,","46.2",",,N,27,","96.2",",,,N","25","4,,,N"
"US1KSMG0008","2016-01","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","2",",N","2",",N","0",",N","","","","","11.2",",,N,07,","15.5",",,,N","",""
"US1KSMG0008","2016-02","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","1",",N","1",",N","0",",N","0","5,N","0","5,,N,29,+","8.9",",,N,02,","8.9",",,,N","0","5,,,N"
"US1KSMG0008","2016-03","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","6",",N","3",",N","1",",N","","","","","29.2",",,N,09,","52.4",",,,N","",""
"US1KSMG0008","2016-04","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","8",",N","5",",N","2",",N","","","","","57.7",",,N,11,","137.3",",,,N","",""
"US1KSMG0008","2016-05","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","9",",N","7",",N","1",",N","","","","","65.0",",,N,17,","102.7",",,,N","",""
"US1KSMG0008","2016-06","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","6",",N","6",",N","1",",N","","","","","26.9",",,N,24,","65.2",",,,N","",""
"US1KSMG0008","2016-07","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","9",",N","7",",N","1",",N","","","","","54.4",",,N,03,","136.9",",,,N","",""
"US1KSMG0008","2016-08","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","10",",N","8",",N","1",",N","","","","","25.4",",,N,20,","80.1",",,,N","",""
"US1KSMG0008","2016-09","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","6",",N","5",",N","3",",N","","","","","41.7",",,N,09,","124.5",",,,N","",""
"US1KSMG0008","2016-10","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","7",",N","5",",N","2",",N","","","","","101.3",",,N,07,","230.5",",,,N","",""
"US1KSMG0008","2016-11","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","4","1,N","2","1,N","0","1,N","","","","","10.7","1,,N,03,","14.5","1,,,N","",""
"US1KSMG0008","2016-12","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","4",",N","2",",N","0",",N","","","","","7.1",",,N,04,","15.2",",,,N","",""
"US1KSMG0008","2017-01","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","4",",N","4",",N","1",",N","","","","","28.2",",,N,15,","59.4",",,,N","",""
"US1KSMG0008","2017-02","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","2",",N","0",",N","0",",N","","","","","1.5",",,N,20,","2.5",",,,N","",""
"US1KSMG0008","2017-03","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","6",",N","4",",N","0",",N","","","","","22.1",",,N,29,","52.1",",,,N","",""
"US1KSMG0008","2017-04","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","17",",N","13",",N","2",",N","","","","","101.6",",,N,30,","260.0",",,,N","",""
"US1KSMG0008","2017-05","37.233397","-95.71806","242.3","INDEPENDENCE 0.3 NW, KS US","9",",N","8",",N","3",",N","","","","","72.4",",,N,12,","181.4",",,,N","",""
