"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSMN0029","2019-09","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","6",",N","4",",N","0",",N","","","","","10.9",",,N,08,","24.5",",,,N","",""
"US1KSMN0029","2019-10","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","9",",N","3",",N","0",",N","","","","","14.7",",,N,05,","31.9",",,,N","",""
"US1KSMN0029","2019-11","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","6",",N","3",",N","0",",N","","","","","9.9",",,N,21,","21.7",",,,N","",""
"US1KSMN0029","2019-12","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","5",",N","3",",N","1",",N","1","2,N","30","2,,N,30,","25.4",",,N,29,","34.5",",,,N","38","2,,,N"
"US1KSMN0029","2020-01","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","7","2,N","4","2,N","0","2,N","","","","","8.1","2,,N,22,","33.1",",a,,N","",""
"US1KSMN0029","2020-02","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","6","2,N","1","2,N","0","2,N","1","4,N","66","4,,N,12,","7.1","2,,N,12,","15.4",",a,,N","94","4,,,N"
"US1KSMN0029","2020-03","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","12",",N","8",",N","0",",N","","","","","19.8",",,N,11,","80.2",",,,N","",""
"US1KSMN0029","2020-04","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","7",",N","5",",N","0",",N","","","","","12.7",",,N,17,","39.5",",,,N","",""
"US1KSMN0029","2020-05","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","15",",N","8",",N","1",",N","","","","","33.8",",,N,22,","117.2",",,,N","",""
"US1KSMN0029","2020-06","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","7",",N","4",",N","0",",N","","","","","21.6",",,N,19,","50.6",",,,N","",""
"US1KSMN0029","2020-07","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","13","1,N","9","1,N","3","1,N","","","","","35.8","1,,N,15,","137.7","1,,,N","",""
"US1KSMN0029","2020-08","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","7",",N","3",",N","0",",N","","","","","6.9",",,N,29,","15.4",",,,N","",""
"US1KSMN0029","2020-09","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","8",",N","3",",N","1",",N","","","","","32.0",",,N,10,","53.7",",,,N","",""
"US1KSMN0029","2020-10","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","7","2,N","2","2,N","0","2,N","0","5,N","3","5,,N,27,+","22.6","2,,N,29,","29.9","2,,,N","6","5,,,N"
"US1KSMN0029","2020-11","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","3","1,N","2","1,N","0","1,N","0","4,N","0","4,,N,30,+","11.2","1,,N,22,","19.1","1,,,N","0","4,,,N"
"US1KSMN0029","2020-12","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","7",",N","2",",N","0",",N","0","5,N","20","5,,N,16,","20.8",",,N,30,","36.8",",,,N","33","5,,,N"
"US1KSMN0029","2021-01","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","8",",N","5",",N","1",",N","","","","","30.7",",,N,31,","68.7",",,,N","",""
"US1KSMN0029","2021-02","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","4",",N","0",",N","0",",N","1","3,N","25","3,,N,07,","0.5",",,N,16,+","1.6",",,,N","41","3,,,N"
"US1KSMN0029","2021-03","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","9","1,N","6","1,N","1","1,N","","","","","31.0","1,,N,23,","92.4","1,,,N","",""
"US1KSMN0029","2021-04","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","6","1,N","1","1,N","0","1,N","1","5,N","38","5,,N,20,","15.7","1,,N,17,","21.3","1,,,N","38","5,,,N"
"US1KSMN0029","2021-05","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","15",",N","9",",N","2",",N","","","","","105.2",",,N,27,","210.0",",,,N","",""
"US1KSMN0029","2021-06","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","11",",N","3",",N","1",",N","","","","","146.1",",,N,26,","183.1",",,,N","",""
"US1KSMN0029","2021-08","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","7","4,N","4","4,N","2","4,N","","","","","73.7","4,,N,13,","122.0","4,,,N","",""
"US1KSMN0029","2021-09","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","","","","","","","","","","","","","67.3",",a,,N","",""
"US1KSMN0029","2021-10","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","9",",N","6",",N","3",",N","","","","","46.5",",,N,27,","156.9",",,,N","",""
"US1KSMN0029","2021-11","38.2263","-97.3531","466.3","NEWTON 12.6 N, KS US","3",",N","2",",N","0",",N","0","3,N","0","3,,N,30,+","11.7",",,N,11,","14.5",",,,N","0","3,,,N"
