"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSRL0006","2007-07","39.2094","-96.6164","349.9","MANHATTAN 1.9 NW, KS US","9","5,N","5","5,N","1","5,N","0","5,N","0","5,,N,31,+","28.7","5,,N,30,","65.3","5,,,N","0","5,,,N"
"US1KSRL0006","2007-09","39.2094","-96.6164","349.9","MANHATTAN 1.9 NW, KS US","7","3,N","5","3,N","0","3,N","0","3,N","0","3,,N,30,+","24.4","3,,N,07,","48.7","3,,,N","0","3,,,N"
"US1KSRL0006","2007-10","39.2094","-96.6164","349.9","MANHATTAN 1.9 NW, KS US","10",",N","6",",N","2",",N","0",",N","0",",,N,31,+","44.7",",,N,15,","102.3",",,,N","0",",,,N"
"US1KSRL0006","2007-11","39.2094","-96.6164","349.9","MANHATTAN 1.9 NW, KS US","4",",N","1",",N","0",",N","1",",N","25",",,N,24,","3.3",",,N,24,","4.4",",,,N","25",",,,N"
"US1KSRL0006","2007-12","39.2094","-96.6164","349.9","MANHATTAN 1.9 NW, KS US","9",",N","7",",N","1",",N","4",",N","102",",,N,15,","67.1",",,N,11,","102.7",",,,N","233",",,,N"
"US1KSRL0006","2008-01","39.2094","-96.6164","349.9","MANHATTAN 1.9 NW, KS US","5",",N","1",",N","0",",N","1",",N","76",",,N,17,","5.3",",,N,17,","8.5",",,,N","81",",,,N"
"US1KSRL0006","2008-02","39.2094","-96.6164","349.9","MANHATTAN 1.9 NW, KS US","3",",N","2",",N","0",",N","1",",N","178",",,N,06,","24.9",",,N,17,","38.9",",,,N","191",",,,N"
"US1KSRL0006","2008-03","39.2094","-96.6164","349.9","MANHATTAN 1.9 NW, KS US","4",",N","4",",N","1",",N","0",",N","0",",T,N,08,+","49.8",",,N,03,","83.4",",,,N","0",",T,,N"
"US1KSRL0006","2008-04","39.2094","-96.6164","349.9","MANHATTAN 1.9 NW, KS US","13",",N","7",",N","0",",N","0",",N","0",",,N,30,+","21.8",",,N,08,","57.2",",,,N","0",",,,N"
"US1KSRL0006","2008-05","39.2094","-96.6164","349.9","MANHATTAN 1.9 NW, KS US","10",",N","7",",N","3",",N","0",",N","0",",,N,31,+","48.3",",,N,27,","133.5",",,,N","0",",,,N"
"US1KSRL0006","2008-06","39.2094","-96.6164","349.9","MANHATTAN 1.9 NW, KS US","14",",N","7",",N","4",",N","0",",N","0",",,N,30,+","81.5",",,N,06,","250.4",",,,N","0",",,,N"
"US1KSRL0006","2008-07","39.2094","-96.6164","349.9","MANHATTAN 1.9 NW, KS US","12",",N","9",",N","1",",N","0",",N","0",",,N,31,+","44.5",",,N,18,","107.1",",,,N","0",",,,N"
"US1KSRL0006","2008-08","39.2094","-96.6164","349.9","MANHATTAN 1.9 NW, KS US","5","2,N","1","2,N","1","2,N","0","2,N","0","2,,N,31,+","30.2","2,,N,23,","160.1",",a,,N","0","2,,,N"
