"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSSH0014","2005-05","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","7","5,N","4","5,N","0","5,N","","","0","5,N","","","0","5,,N,31,+","24.9","5,,N,30,","61.5","5,,,N","0","5,,,N"
"US1KSSH0014","2005-06","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","11",",N","9",",N","0",",N","","","0",",N","","","0",",,N,30,+","12.4",",,N,11,","80.2",",,,N","0",",,,N"
"US1KSSH0014","2005-07","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","9","2,N","2","2,N","1","2,N","","","0","2,N","","","0","2,,N,31,+","35.6","2,,N,26,","45.0","2,,,N","0","2,,,N"
"US1KSSH0014","2005-08","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","","","","","","","","","","","","","","","","","103.0","1,a,,N","",""
"US1KSSH0014","2005-09","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","6",",N","1",",N","1",",N","","","0",",N","","","0",",,N,30,+","48.3",",,N,06,","52.2",",,,N","0",",,,N"
"US1KSSH0014","2005-10","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","7",",N","3",",N","1",",N","","","0",",N","","","0",",,N,31,+","50.8",",,N,11,","78.6",",,,N","0",",,,N"
"US1KSSH0014","2005-11","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","2","3,N","0","3,N","0","3,N","","","0","3,N","","","0","3,,N,30,+","2.0","3,,N,15,","18.0","1,a,,N","0","3,,,N"
"US1KSSH0014","2005-12","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","5",",N","0",",N","0",",N","","","1",",N","","","25",",,N,07,","2.3",",,N,07,","4.7",",,,N","69",",,,N"
"US1KSSH0014","2006-01","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","5",",N","2",",N","0",",N","","","1",",N","","","130",",,N,20,","12.2",",,N,20,","20.4",",,,N","150",",,,N"
"US1KSSH0014","2006-02","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","3","1,N","0","1,N","0","1,N","","","0","1,N","","","13","1,,N,06,","2.3","1,,N,06,","2.9","1,,,N","19","1,,,N"
"US1KSSH0014","2006-03","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","7","2,N","2","2,N","0","2,N","","","2","2,N","","","178","2,,N,21,","18.5","2,,N,21,","31.6","2,,,N","267","2,,,N"
"US1KSSH0014","2006-04","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","6","3,N","3","3,N","0","3,N","","","0","3,N","","","0","3,T,N,07,","6.6","3,,N,07,","16.5","3,,,N","0","3,T,,N"
"US1KSSH0014","2006-05","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","9","1,N","3","1,N","0","1,N","","","0","1,N","","","0","1,,N,31,+","15.2","1,,N,30,","31.9","1,,,N","0","1,,,N"
"US1KSSH0014","2006-07","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","7","2,N","4","2,N","0","2,N","","","0","2,N","","","0","2,,N,31,+","14.0","2,,N,27,","33.0","2,,,N","0","2,,,N"
"US1KSSH0014","2006-08","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","11",",N","4",",N","2",",N","","","0",",N","","","0",",,N,31,+","35.8",",,N,26,","83.2",",,,N","0",",,,N"
"US1KSSH0014","2006-09","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","4","1,N","2","1,N","0","1,N","","","0","1,N","","","0","1,,N,30,+","19.6","1,,N,22,","39.2","1,,,N","0","1,,,N"
"US1KSSH0014","2006-10","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","10","2,N","5","2,N","1","2,N","","","0","2,N","","","8","2,,N,21,","32.3","2,,N,27,","74.6","2,,,N","8","2,,,N"
"US1KSSH0014","2006-11","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","1","2,N","1","2,N","0","2,N","","","1","2,N","","","51","2,,N,30,","3.6","2,,N,30,","3.6","2,,,N","51","2,,,N"
"US1KSSH0014","2006-12","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","5","3,N","5","3,N","2","3,N","","","5","3,N","","","305","3,,N,30,","33.0","3,,N,20,","84.6","3,,,N","597","3,,,N"
"US1KSSH0014","2007-01","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","5","1,N","1","1,N","0","1,N","29","2,N","4","1,N","406","2,,N,02,","152","1,,N,21,","5.3","1,,N,21,","9.2","1,,,N","292","1,,,N"
"US1KSSH0014","2007-02","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","","","","","","","","","","","","","","","","","20.1","4,a,,N","",""
"US1KSSH0014","2007-03","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","6","4,N","2","4,N","1","4,N","","","0","4,N","","","20","4,,N,01,","25.9","4,,N,29,","35.6","4,,,N","20","4,,,N"
"US1KSSH0014","2007-04","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","11","2,N","7","2,N","1","2,N","","","2","2,N","","","97","2,,N,14,","50.8","2,,N,23,","100.6","2,,,N","201","2,,,N"
"US1KSSH0014","2007-05","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","8",",N","5",",N","0",",N","","","0",",N","","","0",",,N,31,+","11.7",",,N,24,","39.8",",,,N","0",",,,N"
"US1KSSH0014","2007-06","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","3","4,N","2","4,N","0","4,N","","","0","4,N","","","0","4,,N,30,+","15.0","4,,N,15,","27.0","4,,,N","0","4,,,N"
"US1KSSH0014","2007-07","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","5","1,N","1","1,N","0","1,N","","","0","1,N","","","0","1,,N,31,+","12.7","1,,N,29,","16.0","1,,,N","0","1,,,N"
"US1KSSH0014","2007-08","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","9",",N","6",",N","2",",N","","","0",",N","","","0",",,N,31,+","37.8",",,N,07,","123.4",",,,N","0",",,,N"
"US1KSSH0014","2007-09","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","7",",N","3",",N","0",",N","","","0",",N","","","0",",,N,30,+","6.6",",,N,10,","17.5",",,,N","0",",,,N"
"US1KSSH0014","2007-10","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","5",",N","2",",N","0",",N","","","0",",N","","","0",",,N,31,+","5.3",",,N,15,","12.7",",,,N","0",",,,N"
"US1KSSH0014","2007-11","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","2","4,N","1","4,N","0","4,N","","","2","4,N","","","64","4,,N,24,","3.3","4,,N,24,","4.6","4,,,N","89","4,,,N"
"US1KSSH0014","2007-12","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","9","1,N","4","1,N","0","1,N","","","6","1,N","","","102","1,,N,28,","11.7","1,,N,11,","31.1","1,,,N","353","1,,,N"
"US1KSSH0014","2008-01","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","5",",N","0",",N","0",",N","5","4,N","1",",N","102","4,,N,04,+","25",",,N,10,","2.0",",,N,10,","3.4",",,,N","46",",,,N"
"US1KSSH0014","2008-02","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","2","2,N","2","2,N","0","2,N","","","2","2,N","","","191","2,,N,05,","8.6","2,,N,05,","11.1","2,,,N","229","2,,,N"
"US1KSSH0014","2008-03","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","5","4,N","1","4,N","0","4,N","","","2","4,N","","","51","4,,N,17,","5.6","4,,N,17,","9.5","4,,,N","76","4,,,N"
"US1KSSH0014","2008-05","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","","","","","","","","","","","","","","","","","15.8","4,a,,N","",""
"US1KSSH0014","2008-06","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","7","3,N","3","3,N","0","3,N","","","0","3,N","","","0","3,,N,30,+","20.8","3,,N,04,","40.5","3,,,N","0","3,,,N"
"US1KSSH0014","2008-07","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","8","1,N","5","1,N","1","1,N","","","0","1,N","","","0","1,,N,31,+","33.0","1,,N,03,","83.9","1,,,N","0","1,,,N"
"US1KSSH0014","2008-08","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","12",",N","10",",N","3",",N","","","0",",N","","","0",",,N,31,+","43.2",",,N,07,","173.8",",,,N","0",",,,N"
