"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KYWF0006","2010-09","38.15484","-84.6814","250.5","MIDWAY 0.4 NNE, KY US","","","","","","","","","","","","","9.1","2,a,,N","",""
"US1KYWF0006","2010-10","38.15484","-84.6814","250.5","MIDWAY 0.4 NNE, KY US","5",",N","2",",N","1",",N","0","5,N","0","5,,N,31,+","31.5",",,N,27,","48.8",",,,N","0","5,,,N"
"US1KYWF0006","2010-11","38.15484","-84.6814","250.5","MIDWAY 0.4 NNE, KY US","11",",N","5",",N","1",",N","","","","","36.6",",,N,26,","94.4",",,,N","",""
"US1KYWF0006","2010-12","38.15484","-84.6814","250.5","MIDWAY 0.4 NNE, KY US","13","1,N","9","1,N","0","1,N","5","5,N","79","5,,N,13,","15.0","1,,N,01,","65.7","1,,,N","323","5,,,N"
"US1KYWF0006","2011-01","38.15484","-84.6814","250.5","MIDWAY 0.4 NNE, KY US","11",",N","4",",N","0",",N","","","","","9.9",",,N,26,","40.3",",,,N","",""
"US1KYWF0006","2011-02","38.15484","-84.6814","250.5","MIDWAY 0.4 NNE, KY US","14",",N","6",",N","2",",N","","","","","56.4",",,N,25,","130.2",",,,N","",""
"US1KYWF0006","2011-03","38.15484","-84.6814","250.5","MIDWAY 0.4 NNE, KY US","14",",N","11",",N","1",",N","","","","","28.4",",,N,09,","117.4",",,,N","",""
"US1KYWF0006","2011-04","38.15484","-84.6814","250.5","MIDWAY 0.4 NNE, KY US","17",",N","15",",N","3",",N","","","","","66.8",",,N,12,","297.1",",,,N","",""
"US1KYWF0006","2011-05","38.15484","-84.6814","250.5","MIDWAY 0.4 NNE, KY US","18",",N","12",",N","2",",N","","","","","57.9",",,N,03,","201.1",",,,N","",""
"US1KYWF0006","2011-06","38.15484","-84.6814","250.5","MIDWAY 0.4 NNE, KY US","8",",N","7",",N","1",",N","","","","","27.2",",,N,20,","95.6",",,,N","",""
"US1KYWF0006","2011-07","38.15484","-84.6814","250.5","MIDWAY 0.4 NNE, KY US","9","1,N","6","1,N","1","1,N","","","","","49.8","1,,N,09,","106.4","1,,,N","",""
