"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1MABA0033","2012-08","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","9",",N","8",",N","2",",N","26.2",",,N,11,","90.7",",,,N"
"US1MABA0033","2012-10","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","13","5,N","5","5,N","0","5,N","10.2","5,,N,30,","36.6","5,,,N"
"US1MABA0033","2012-11","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","8",",N","4",",N","1",",N","25.9",",,N,08,","59.5",",,,N"
"US1MABA0033","2012-12","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","18",",N","11",",N","2",",N","42.9",",,N,30,","191.4",",,,N"
"US1MABA0033","2013-01","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","14",",N","7",",N","0",",N","11.4",",,N,17,","51.3",",,,N"
"US1MABA0033","2013-02","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","13","4,N","9","4,N","2","4,N","31.2","4,,N,25,","143.9","4,,,N"
"US1MABA0033","2013-03","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","13",",N","7",",N","2",",N","32.3",",,N,08,","119.2",",,,N"
"US1MABA0033","2013-04","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","14","4,N","6","4,N","1","4,N","36.6","4,,N,24,","94.9","4,,,N"
"US1MABA0033","2013-05","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","14","3,N","9","3,N","1","3,N","61.2","3,,N,24,","151.5","1,a,,N"
"US1MABA0033","2013-06","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","14","3,N","10","3,N","6","3,N","49.3","3,,N,04,","263.7","1,a,,N"
"US1MABA0033","2013-07","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","10","4,N","5","4,N","2","4,N","33.0","4,,N,26,","105.4","2,a,,N"
"US1MABA0033","2013-08","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","9","4,N","6","4,N","0","4,N","9.7","4,,N,10,","33.4","4,,,N"
"US1MABA0033","2013-09","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","","","","","","","","","87.5","4,a,,N"
"US1MABA0033","2013-10","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","9",",N","4",",N","0",",N","8.9",",,N,05,","25.7",",,,N"
"US1MABA0033","2013-11","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","14","4,N","7","4,N","2","4,N","43.7","4,,N,28,","120.0",",a,,N"
"US1MABA0033","2014-03","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","","","","","","","","","90.1",",a,,N"
"US1MABA0033","2014-04","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","8","2,N","6","2,N","2","2,N","30.5","2,,N,24,","87.1","2,,,N"
"US1MABA0033","2014-05","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","","","","","","","","","52.3","3,a,,N"
"US1MABA0033","2014-07","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","7","1,N","5","1,N","1","1,N","49.0","1,,N,05,","99.9","1,,,N"
"US1MABA0033","2014-08","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","","","","","","","","","54.7","1,a,,N"
"US1MABA0033","2014-09","41.7464904785156","-70.052001953125","31.7","BREWSTER 1.5 ESE, MA US","","","","","","","","","40.2","1,a,,N"
