"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MAES0061","2020-04","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","17","2,N","10","2,N","1","2,N","","","","","","","","","27.7","2,,N,03,","132.3","2,,,N","",""
"US1MAES0061","2020-05","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","8","2,N","4","2,N","0","2,N","","","","","","","","","11.7","2,,N,02,","45.6","2,,,N","",""
"US1MAES0061","2020-06","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","9",",N","5",",N","1",",N","","","","","","","","","30.5",",,N,29,","70.2",",,,N","",""
"US1MAES0061","2020-07","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","11","1,N","7","1,N","0","1,N","","","","","","","","","22.9","1,,N,24,","93.2","1,,,N","",""
"US1MAES0061","2020-08","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","13",",N","4",",N","0",",N","","","","","","","","","15.0",",,N,30,","41.5",",,,N","",""
"US1MAES0061","2020-09","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","5",",N","2",",N","1",",N","","","","","","","","","32.0",",,N,11,","44.3",",,,N","",""
"US1MAES0061","2020-10","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","16",",N","7",",N","2",",N","","","","","","","","","41.1",",,N,14,","124.9",",,,N","",""
"US1MAES0061","2020-11","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","10",",N","7",",N","1",",N","","","","","","","","","42.7",",,N,24,","89.2",",,,N","",""
"US1MAES0061","2020-12","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","11",",N","8",",N","2",",N","","","","","","","","","59.2",",,N,01,","181.6",",,,N","",""
"US1MAES0061","2021-01","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","9",",N","6",",N","1",",N","","","","","","","","","27.2",",,N,17,","61.7",",,,N","",""
"US1MAES0061","2021-02","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","10",",N","8",",N","1",",N","28",",N","5",",N","432",",,N,02,","356",",,N,02,","25.9",",,N,02,","81.5",",,,N","617",",,,N"
"US1MAES0061","2021-03","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","6",",N","4",",N","0",",N","12",",N","0",",N","127",",,N,01,","0",",,N,31,+","21.6",",,N,29,","50.8",",,,N","0",",,,N"
"US1MAES0061","2021-04","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","10",",N","7",",N","2",",N","0",",N","0",",N","19",",,N,17,","19",",,N,17,","32.3",",,N,17,","108.9",",,,N","19",",,,N"
"US1MAES0061","2021-05","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","12",",N","8",",N","1",",N","","","","","","","","","29.0",",,N,31,","105.7",",,,N","",""
"US1MAES0061","2021-06","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","10",",N","6",",N","0",",N","","","","","","","","","17.3",",,N,15,","60.7",",,,N","",""
"US1MAES0061","2021-07","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","27",",N","18",",N","2",",N","","","","","","","","","59.4",",,N,10,","297.3",",,,N","",""
"US1MAES0061","2021-08","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","9",",N","5",",N","1",",N","","","","","","","","","33.3",",,N,20,","91.6",",,,N","",""
"US1MAES0061","2021-09","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","14","1,N","7","1,N","2","1,N","","","","","","","","","81.5","1,,N,02,","169.7","1,,,N","",""
"US1MAES0061","2021-10","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","10",",N","7",",N","2",",N","","","","","","","","","86.1",",,N,31,","182.9",",,,N","",""
"US1MAES0061","2021-11","42.8401604","-70.9747706","57.3","AMESBURY 2.6 WSW, MA US","8",",N","6",",N","1",",N","","","","","","","","","42.2",",,N,13,","70.7",",,,N","",""
