"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MDTB0004","2007-08","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","8",",N","6",",N","1",",N","","","0",",N","","","0",",,N,31,+","32.0",",,N,06,","111.3",",,,N","0",",,,N"
"US1MDTB0004","2007-09","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","2",",N","2",",N","1",",N","","","0",",N","","","0",",,N,30,+","40.6",",,N,11,","62.2",",,,N","0",",,,N"
"US1MDTB0004","2007-10","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","10","5,N","7","5,N","1","5,N","","","0","4,N","","","0","4,,N,31,+","49.3","5,,N,27,","115.7","5,,,N","0","4,,,N"
"US1MDTB0004","2007-11","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","11",",N","5",",N","0",",N","","","0",",N","","","0",",,N,30,+","9.4",",,N,16,","35.1",",,,N","0",",,,N"
"US1MDTB0004","2007-12","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","13",",N","8",",N","1",",N","","","1",",N","","","38",",,N,06,","26.9",",,N,16,","82.4",",,,N","38",",,,N"
"US1MDTB0004","2008-01","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","7","1,N","3","1,N","0","1,N","","","0","1,N","","","0","1,,N,31,+","18.5","1,,N,18,","35.8","1,,,N","0","1,,,N"
"US1MDTB0004","2008-02","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","13","2,N","7","2,N","0","2,N","","","1","2,N","","","36","2,,N,21,","24.1","2,,N,02,","78.4",",a,,N","36","2,,,N"
"US1MDTB0004","2008-03","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","8",",N","5",",N","0",",N","","","0",",N","","","0",",,N,31,+","23.4",",,N,08,","55.4",",,,N","0",",,,N"
"US1MDTB0004","2008-04","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","12",",N","6",",N","0",",N","","","0",",N","","","0",",,N,30,+","23.9",",,N,21,","90.2",",,,N","0",",,,N"
"US1MDTB0004","2008-05","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","14",",N","9",",N","1",",N","","","0",",N","","","0",",,N,31,+","75.4",",,N,12,","135.1",",,,N","0",",,,N"
"US1MDTB0004","2008-06","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","12",",N","7",",N","2",",N","","","0",",N","","","0",",,N,30,+","30.5",",,N,05,","115.4",",,,N","0",",,,N"
"US1MDTB0004","2008-07","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","8","1,N","5","1,N","0","1,N","","","0","1,N","","","0","1,,N,31,+","19.3","1,,N,24,","43.8","1,,,N","0","1,,,N"
"US1MDTB0004","2008-08","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","6","2,N","2","2,N","0","2,N","","","0","2,N","","","0","2,,N,31,+","10.7","2,,N,29,","16.8",",a,,N","0","2,,,N"
"US1MDTB0004","2008-09","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","9",",N","4",",N","1",",N","","","0",",N","","","0",",,N,30,+","29.2",",,N,07,","72.9",",,,N","0",",,,N"
"US1MDTB0004","2008-10","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","8",",N","3",",N","0",",N","","","0",",N","","","0",",,N,31,+","25.1",",,N,01,","60.7",",,,N","0",",,,N"
"US1MDTB0004","2008-11","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","13","1,N","7","1,N","0","1,N","","","0","1,N","","","0","1,,N,30,+","24.1","1,,N,14,","98.2","1,,,N","0","1,,,N"
"US1MDTB0004","2008-12","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","13",",N","8",",N","1",",N","","","","","","","","","43.2",",,N,12,","125.2",",,,N","",""
"US1MDTB0004","2009-01","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","6",",N","5",",N","0",",N","","","1","5,N","","","43","5,,N,28,","21.8",",,N,08,","60.5",",,,N","43","5,,,N"
"US1MDTB0004","2009-02","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","7",",N","2",",N","0",",N","","","","","","","","","4.3",",,N,19,","11.2",",,,N","",""
"US1MDTB0004","2009-03","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","12","2,N","7","2,N","0","2,N","","","","","","","","","16.8","2,,N,28,","52.0","2,,,N","",""
"US1MDTB0004","2009-04","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","14",",N","13",",N","2",",N","","","","","","","","","28.2",",,N,16,","133.0",",,,N","",""
"US1MDTB0004","2009-05","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","18",",N","11",",N","2",",N","","","","","","","","","35.3",",,N,30,","157.0",",,,N","",""
"US1MDTB0004","2009-06","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","12",",N","10",",N","3",",N","","","","","","","","","48.3",",,N,10,","179.8",",,,N","",""
"US1MDTB0004","2009-07","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","9",",N","5",",N","1",",N","","","","","","","","","25.4",",,N,30,","52.0",",,,N","",""
"US1MDTB0004","2009-08","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","12","2,N","8","2,N","4","2,N","","","","","","","","","51.1","2,,N,06,","190.4",",a,,N","",""
"US1MDTB0004","2009-09","38.782","-76.2115",,"ST. MICHAELS 0.7 SE, MD US","7",",N","4",",N","2",",N","","","","","","","","","48.3",",,N,11,","107.4",",,,N","",""
