"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1MIGT0016","2013-05","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","13","4,N","9","4,N","0","4,N","21.3","4,,N,23,","84.9","4,,,N"
"US1MIGT0016","2013-09","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","","","","","","","","","64.9","4,a,,N"
"US1MIGT0016","2014-05","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","14","5,N","6","5,N","0","5,N","14.7","5,,N,08,","81.3","2,a,,N"
"US1MIGT0016","2014-06","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","15","5,N","6","5,N","0","5,N","14.7","5,,N,17,","58.5","5,,,N"
"US1MIGT0016","2014-10","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","","","","","","","","","182.1","2,a,,N"
"US1MIGT0016","2015-04","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","15","4,N","5","4,N","0","4,N","19.8","4,,N,10,","52.8","4,,,N"
"US1MIGT0016","2015-06","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","10","2,N","4","2,N","0","2,N","17.8","2,,N,12,","49.2","2,,,N"
"US1MIGT0016","2015-07","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","7","4,N","3","4,N","0","4,N","15.7","4,,N,07,","33.2","4,,,N"
"US1MIGT0016","2015-08","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","","","","","","","","","77.5","3,a,,N"
"US1MIGT0016","2015-09","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","","","","","","","","","120.6","3,a,,N"
"US1MIGT0016","2015-10","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","","","","","","","","","62.0","5,a,,N"
"US1MIGT0016","2016-05","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","","","","","","","","","33.7","2,a,,N"
"US1MIGT0016","2016-07","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","","","","","","","","","51.3","5,a,,N"
"US1MIGT0016","2016-08","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","12","5,N","9","5,N","1","5,N","38.6","5,,N,17,","92.7","5,,,N"
"US1MIGT0016","2017-02","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","13","5,N","6","5,N","0","5,N","16.5","5,,N,24,","44.8","5,,,N"
"US1MIGT0016","2017-04","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","17","4,N","9","4,N","0","4,N","20.8","4,,N,16,","77.3","4,,,N"
"US1MIGT0016","2017-05","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","","","","","","","","","60.3","5,a,,N"
"US1MIGT0016","2019-01","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","","","","","","","","","56.8","5,a,,N"
"US1MIGT0016","2019-02","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","15","2,N","7","2,N","0","2,N","13.5","2,,N,24,","62.1","2,,,N"
"US1MIGT0016","2019-03","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","13","5,N","7","5,N","0","5,N","8.9","5,,N,10,","44.7","5,,,N"
"US1MIGT0016","2019-05","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","15","5,N","7","5,N","1","5,N","41.4","5,,N,28,","103.2","5,,,N"
"US1MIGT0016","2019-09","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","15","5,N","7","5,N","2","5,N","54.4","5,,N,12,","146.9","5,,,N"
"US1MIGT0016","2020-10","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","23","3,N","14","3,N","1","3,N","112.5","3,,N,23,","203.8","3,,,N"
"US1MIGT0016","2020-11","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","12","3,N","8","3,N","0","3,N","15.7","3,,N,16,","43.7","3,,,N"
"US1MIGT0016","2020-12","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","13","4,N","4","4,N","0","4,N","4.8","4,,N,22,","24.1","4,,,N"
"US1MIGT0016","2021-01","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","11","2,N","2","2,N","0","2,N","8.4","2,,N,16,","23.0","2,,,N"
"US1MIGT0016","2021-02","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","15","1,N","3","1,N","0","1,N","6.4","1,,N,05,","23.9","1,,,N"
"US1MIGT0016","2021-05","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","18","2,N","5","2,N","1","2,N","32.5","2,,N,03,","76.4","2,,,N"
"US1MIGT0016","2021-06","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","11","1,N","7","1,N","1","1,N","29.0","1,,N,27,","62.1","1,,,N"
"US1MIGT0016","2021-07","44.7662018","-85.5949477","181.1","TRAVERSE CITY 0.9 NNE, MI US","13",",N","9",",N","3",",N","62.0",",,N,24,","196.6",",,,N"
