"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MIMG0015","2010-12","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","11",",N","4",",N","0",",N","29",",N","8",",N","127",",,N,09,+","91",",,N,02,","15.2",",,N,12,","31.4",",,,N","348",",,,N"
"US1MIMG0015","2011-01","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","","","","","","","","","","","","","","","","","136.4","3,a,,N","",""
"US1MIMG0015","2011-02","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","","","","","","","","","","","","","","","","","157.7","2,a,,N","",""
"US1MIMG0015","2011-04","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","17","4,N","8","4,N","0","4,N","","","","","","","","","24.1","4,,N,20,+","139.7","4,,,N","",""
"US1MIMG0015","2011-06","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","11","2,N","8","2,N","2","2,N","","","","","","","","","32.5","2,,N,22,","113.8",",a,,N","",""
"US1MIMG0015","2011-07","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","10","3,N","5","3,N","2","3,N","","","","","","","","","38.1","3,,N,28,","103.3",",a,,N","",""
"US1MIMG0015","2011-08","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","","","","","","","","","","","","","","","","","120.9","4,a,,N","",""
"US1MIMG0015","2011-10","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","11","5,N","6","5,N","1","5,N","","","","","","","","","30.5","5,,N,20,","99.6",",a,,N","",""
"US1MIMG0015","2011-11","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","7","2,N","5","2,N","1","2,N","","","","","","","","","37.1","2,,N,27,","78.8",",a,,N","",""
"US1MIMG0015","2011-12","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","14",",N","6",",N","0",",N","","","","","","","","","16.5",",,N,15,","68.6",",,,N","",""
"US1MIMG0015","2012-01","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","14","3,N","10","3,N","1","3,N","","","10","4,N","","","191","4,,N,15,","25.4","3,,N,13,","97.4","3,,,N","758","4,,,N"
"US1MIMG0015","2012-02","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","","","","","","","","","","","","","","","","","46.4",",a,,N","",""
"US1MIMG0015","2012-04","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","11",",N","5",",N","0",",N","","","","","","","","","18.0",",,N,16,","70.8",",,,N","",""
"US1MIMG0015","2012-05","43.2262","-86.047914","205.7","WOLF LAKE 3.2 ESE, MI US","12","1,N","8","1,N","0","1,N","","","","","","","","","17.3","1,,N,07,","75.0","1,,,N","",""
