"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MNAA0029","2012-01","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","7","3,N","1","3,N","0","3,N","1","4,N","53","4,,N,01,","8.1","3,,N,01,","16.2","1,a,,N","102","4,,,N"
"US1MNAA0029","2012-02","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","3","3,N","2","3,N","1","3,N","2","3,N","81","3,,N,29,","27.9","3,,N,29,","34.8","3,,,N","145","3,,,N"
"US1MNAA0029","2012-03","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","13","1,N","6","1,N","0","1,N","","","","","11.7","1,,N,20,","39.7","1,,,N","",""
"US1MNAA0029","2012-04","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","9","4,N","6","4,N","0","4,N","","","","","18.8","4,,N,15,","66.5","4,,,N","",""
"US1MNAA0029","2012-05","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","13","1,N","10","1,N","5","1,N","","","","","56.9","1,,N,24,","256.8","1,,,N","",""
"US1MNAA0029","2012-06","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","7","2,N","4","2,N","0","2,N","","","","","21.6","2,,N,11,","60.7","2,,,N","",""
"US1MNAA0029","2012-07","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","12","2,N","9","2,N","2","2,N","","","","","37.3","2,,N,19,","132.6","2,,,N","",""
"US1MNAA0029","2012-08","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","5","3,N","2","3,N","0","3,N","","","","","3.0","3,,N,09,","9.3","3,,,N","",""
"US1MNAA0029","2012-09","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","6","2,N","2","2,N","0","2,N","","","","","4.6","2,,N,07,","12.1","2,,,N","",""
"US1MNAA0029","2012-10","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","8",",N","5",",N","0",",N","","","","","15.2",",,N,26,","35.5",",,,N","",""
"US1MNAA0029","2012-11","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","7",",N","4",",N","0",",N","","","","","9.4",",,N,10,","33.8",",,,N","",""
"US1MNAA0029","2012-12","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","10",",N","4",",N","0",",N","3","4,N","330","4,,N,10,","23.6",",,N,10,","39.7",",,,N","445","4,,,N"
"US1MNAA0029","2013-02","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","7","2,N","2","2,N","0","2,N","4","2,N","79","2,,N,11,","7.4","2,,N,14,","23.2",",a,,N","265","2,,,N"
"US1MNAA0029","2013-03","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","11","2,N","8","2,N","0","2,N","","","","","10.9","2,,N,30,","55.1",",a,,N","",""
"US1MNAA0029","2013-04","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","12","3,N","7","3,N","1","3,N","","","","","25.7","3,,N,19,","85.1","3,,,N","",""
"US1MNAA0029","2013-05","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","15",",N","9",",N","1",",N","","","","","30.0",",,N,20,","117.3",",,,N","",""
"US1MNAA0029","2013-06","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","14",",N","12",",N","1",",N","","","","","46.7",",,N,21,","148.3",",,,N","",""
"US1MNAA0029","2013-07","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","10",",N","5",",N","0",",N","","","","","24.4",",,N,13,","67.5",",,,N","",""
"US1MNAA0029","2013-08","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","2",",N","1",",N","0",",N","0","2,N","0","2,,N,31,+","14.2",",,N,05,","15.7",",,,N","0","2,,,N"
"US1MNAA0029","2013-09","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","11",",N","4",",N","0",",N","","","","","18.3",",,N,15,","39.0",",,,N","",""
"US1MNAA0029","2013-10","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","10","4,N","9","4,N","1","4,N","","","","","25.9","4,,N,15,","96.7","4,,,N","",""
"US1MNAA0029","2013-11","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","4","1,N","3","1,N","0","1,N","","","","","7.9","1,,N,06,","15.3","1,,,N","",""
"US1MNAA0029","2013-12","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","11","2,N","5","2,N","0","2,N","8","4,N","114","4,,N,05,","15.0","2,,N,05,","38.8","2,,,N","408","4,,,N"
"US1MNAA0029","2014-01","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","8","2,N","5","2,N","0","2,N","7","2,N","142","2,,N,31,","10.7","2,,N,31,","29.3","2,,,N","460","2,,,N"
"US1MNAA0029","2014-02","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","4","4,N","2","4,N","0","4,N","2","4,N","183","4,,N,21,","18.8","4,,N,21,","26.1","4,,,N","303","4,,,N"
"US1MNAA0029","2014-03","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","4","5,N","2","5,N","0","5,N","","","","","14.5","5,,N,28,","22.5","5,,,N","",""
"US1MNAA0029","2014-04","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","9",",N","8",",N","2",",N","","","","","56.6",",,N,28,","174.2",",,,N","",""
"US1MNAA0029","2014-07","45.215837","-93.1691","274.9","HAM LAKE 3.2 SSE, MN US","","","","","","","","","","","","","54.4","4,a,,N","",""
