"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1MNBU0034","2020-06","44.02684","-94.209849","303.0","GARDEN CITY 2.7 WSW, MN US","10","1,N","7","1,N","2","1,N","36.1","1,,N,30,","120.5","1,,,N"
"US1MNBU0034","2020-07","44.02684","-94.209849","303.0","GARDEN CITY 2.7 WSW, MN US","11","4,N","3","4,N","1","4,N","149.1","4,,N,26,","184.2","1,a,,N"
"US1MNBU0034","2020-08","44.02684","-94.209849","303.0","GARDEN CITY 2.7 WSW, MN US","8","1,N","6","1,N","3","1,N","56.6","1,,N,13,","177.5","1,,,N"
"US1MNBU0034","2020-09","44.02684","-94.209849","303.0","GARDEN CITY 2.7 WSW, MN US","8","2,N","4","2,N","0","2,N","24.1","2,,N,06,","44.2","2,,,N"
"US1MNBU0034","2020-10","44.02684","-94.209849","303.0","GARDEN CITY 2.7 WSW, MN US","9","4,N","5","4,N","1","4,N","40.6","4,,N,12,","68.4","4,,,N"
"US1MNBU0034","2020-11","44.02684","-94.209849","303.0","GARDEN CITY 2.7 WSW, MN US","1","5,N","1","5,N","0","5,N","8.9","5,,N,10,","8.9","5,,,N"
"US1MNBU0034","2020-12","44.02684","-94.209849","303.0","GARDEN CITY 2.7 WSW, MN US","1","3,N","1","3,N","0","3,N","5.8","3,,N,30,","5.8","3,,,N"
"US1MNBU0034","2021-04","44.02684","-94.209849","303.0","GARDEN CITY 2.7 WSW, MN US","10",",N","3",",N","0",",N","8.1",",,N,28,","24.7",",,,N"
"US1MNBU0034","2021-06","44.02684","-94.209849","303.0","GARDEN CITY 2.7 WSW, MN US","4","2,N","4","2,N","1","2,N","42.2","2,,N,27,","58.7","2,,,N"
"US1MNBU0034","2021-08","44.02684","-94.209849","303.0","GARDEN CITY 2.7 WSW, MN US","9",",N","6",",N","0",",N","24.6",",,N,29,","78.3",",,,N"
"US1MNBU0034","2021-09","44.02684","-94.209849","303.0","GARDEN CITY 2.7 WSW, MN US","4","4,N","2","4,N","0","4,N","11.7","4,,N,03,","24.4","1,a,,N"
"US1MNBU0034","2021-10","44.02684","-94.209849","303.0","GARDEN CITY 2.7 WSW, MN US","10",",N","7",",N","2",",N","36.1",",,N,21,","100.4",",,,N"
