"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MNLS0012","2015-07","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","10","4,N","6","4,N","2","4,N","","","","","91.4","4,,N,06,","231.2","4,,,N","",""
"US1MNLS0012","2015-12","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","10","5,N","7","5,N","0","5,N","","","","","16.8","5,,N,14,","61.9","5,,,N","",""
"US1MNLS0012","2016-01","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","6","5,N","1","5,N","0","5,N","1","5,N","51","5,,N,08,","5.1","5,,N,08,","9.8","5,,,N","108","5,,,N"
"US1MNLS0012","2016-02","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","4","3,N","2","3,N","0","3,N","1","5,N","254","5,,N,03,","16.5","3,,N,03,","25.9","3,,,N","282","5,,,N"
"US1MNLS0012","2016-03","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","9","3,N","5","3,N","0","3,N","","","","","12.7","3,,N,30,","41.0","3,,,N","",""
"US1MNLS0012","2016-04","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","11",",N","4",",N","0",",N","","","","","20.3",",,N,25,","52.7",",,,N","",""
"US1MNLS0012","2016-05","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","11",",N","6",",N","2",",N","","","","","53.3",",,N,26,","116.3",",,,N","",""
"US1MNLS0012","2016-06","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","9","4,N","6","4,N","2","4,N","","","","","61.0","4,,N,15,","127.8","4,,,N","",""
"US1MNLS0012","2016-07","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","11","1,N","7","1,N","2","1,N","","","","","48.3","1,,N,06,","144.8","1,,,N","",""
"US1MNLS0012","2016-08","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","13","3,N","10","3,N","1","3,N","","","","","86.4","3,,N,11,","176.0","3,,,N","",""
"US1MNLS0012","2016-09","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","12","2,N","9","2,N","2","2,N","","","","","40.6","2,,N,22,","140.2","2,,,N","",""
"US1MNLS0012","2016-10","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","9","1,N","5","1,N","1","1,N","","","","","27.9","1,,N,07,","79.4","1,,,N","",""
"US1MNLS0012","2016-11","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","7","5,N","3","5,N","0","5,N","","","","","19.3","5,,N,23,","45.8","5,,,N","",""
"US1MNLS0012","2016-12","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","8",",N","6",",N","0",",N","","","","","17.8",",,N,26,","47.2",",,,N","",""
"US1MNLS0012","2017-01","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","7","1,N","3","1,N","0","1,N","4","5,N","51","5,,N,11,","3.8","1,,N,26,","14.4","1,,,N","177","5,,,N"
"US1MNLS0012","2017-02","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","2","4,N","2","4,N","0","4,N","","","","","14.5","4,,N,21,","17.0","4,,,N","",""
"US1MNLS0012","2017-03","44.4655265808105","-93.7734222412109","304.2","LE CENTER 5.8 NNW, MN US","5","2,N","2","2,N","0","2,N","","","","","6.6","2,,N,13,","16.2","2,,,N","",""
