"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1MNNB0007","2020-04","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","10",",N","5",",N","0",",N","16.5",",,N,26,","38.9",",,,N"
"US1MNNB0007","2020-05","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","11",",N","8",",N","1",",N","49.0",",,N,17,","110.3",",,,N"
"US1MNNB0007","2020-06","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","10",",N","5",",N","3",",N","78.2",",,N,19,","187.0",",,,N"
"US1MNNB0007","2020-07","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","12",",N","7",",N","1",",N","43.9",",,N,06,","83.0",",,,N"
"US1MNNB0007","2020-08","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","8",",N","5",",N","0",",N","9.4",",,N,06,","31.8",",,,N"
"US1MNNB0007","2020-09","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","9",",N","3",",N","0",",N","7.9",",,N,12,","22.2",",,,N"
"US1MNNB0007","2020-10","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","10","1,N","5","1,N","1","1,N","30.7","1,,N,12,","52.5","1,,,N"
"US1MNNB0007","2020-11","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","6",",N","3",",N","0",",N","14.7",",,N,11,+","35.6",",,,N"
"US1MNNB0007","2020-12","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","3","1,N","2","1,N","0","1,N","10.7","1,,N,24,","15.3","1,,,N"
"US1MNNB0007","2021-01","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","6","3,N","4","3,N","0","3,N","8.4","3,,N,15,","23.9","3,,,N"
"US1MNNB0007","2021-02","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","9",",N","1",",N","0",",N","2.8",",,N,22,","9.5",",,,N"
"US1MNNB0007","2021-03","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","10",",N","6",",N","0",",N","18.0",",,N,24,","59.2",",,,N"
"US1MNNB0007","2021-04","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","10","1,N","7","1,N","1","1,N","35.1","1,,N,08,","90.5","1,,,N"
"US1MNNB0007","2021-05","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","11","1,N","6","1,N","0","1,N","23.6","1,,N,27,","57.8","1,,,N"
"US1MNNB0007","2021-06","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","6",",N","5",",N","1",",N","48.8",",,N,27,","85.2",",,,N"
"US1MNNB0007","2021-07","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","8","1,N","4","1,N","1","1,N","37.6","1,,N,07,","83.0","1,,,N"
"US1MNNB0007","2021-08","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","13","1,N","8","1,N","4","1,N","45.0","1,,N,29,","178.4","1,,,N"
"US1MNNB0007","2021-09","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","9",",N","5",",N","1",",N","65.5",",,N,03,","112.0",",,,N"
"US1MNNB0007","2021-10","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","10",",N","6",",N","2",",N","29.5",",,N,28,","100.9",",,,N"
"US1MNNB0007","2021-11","43.608144","-95.625044","487.1","WORTHINGTON 1.9 SW, MN US","2","4,N","1","4,N","0","4,N","5.3","4,,N,11,","6.6","1,a,,N"
