"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MNRM0005","2010-01","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","6","2,N","1","2,N","0","2,N","","","2","2,N","","","36","2,,N,07,","8.6","2,,N,24,","15.0",",a,,N","92","2,,,N"
"US1MNRM0005","2010-02","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","5","1,N","4","1,N","0","1,N","","","4","1,N","","","71","1,,N,08,","4.3","1,,N,15,","15.9","1,,,N","249","1,,,N"
"US1MNRM0005","2010-03","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","6",",N","4",",N","0",",N","","","","","","","","","5.3",",,N,12,","15.8",",,,N","",""
"US1MNRM0005","2010-04","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","10",",N","6",",N","0",",N","","","","","","","","","15.7",",,N,15,","50.2",",,,N","",""
"US1MNRM0005","2010-05","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","15",",N","7",",N","0",",N","","","","","","","","","13.0",",,N,08,","66.8",",,,N","",""
"US1MNRM0005","2010-07","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","13",",N","11",",N","1",",N","","","","","","","","","35.8",",,N,18,","134.3",",,,N","",""
"US1MNRM0005","2010-08","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","12",",N","8",",N","1",",N","","","","","","","","","109.7",",,N,11,","186.5",",,,N","",""
"US1MNRM0005","2010-09","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","8","4,N","6","4,N","0","4,N","","","","","","","","","17.0","4,,N,16,","129.4",",a,,N","",""
"US1MNRM0005","2010-10","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","7",",N","3",",N","0",",N","","","","","","","","","18.8",",,N,26,","45.0",",,,N","",""
"US1MNRM0005","2011-08","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","9","1,N","4","1,N","2","1,N","","","","","","","","","49.5","1,,N,02,","128.1","1,,,N","",""
"US1MNRM0005","2011-09","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","9",",N","2",",N","0",",N","","","","","","","","","3.0",",,N,19,","11.3",",,,N","",""
"US1MNRM0005","2011-10","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","6",",N","2",",N","0",",N","","","","","","","","","21.3",",,N,13,","29.3",",,,N","",""
"US1MNRM0005","2011-11","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","4",",N","1",",N","0",",N","","","1","3,N","","","64","3,,N,20,","6.9",",,N,20,","9.0",",,,N","64","3,,,N"
"US1MNRM0005","2011-12","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","6","2,N","2","2,N","0","2,N","","","1","4,N","","","104","4,,N,04,","9.9","2,,N,15,","20.2","2,,,N","125","4,,,N"
"US1MNRM0005","2012-01","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","7",",N","1",",N","0",",N","","","2",",N","","","53",",,N,01,","7.9",",,N,01,","13.8",",,,N","145",",,,N"
"US1MNRM0005","2012-02","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","4","1,N","2","1,N","1","1,N","8","2,N","2","1,N","89","2,,N,29,","81","1,,N,29,","37.8","1,,N,29,","46.8","1,,,N","171","1,,,N"
"US1MNRM0005","2012-03","44.997981","-93.139967","296.9","ROSEVILLE 1.4 SSE, MN US","13",",N","4",",N","0",",N","","","","","","","","","8.4",",,N,20,","28.5",",,,N","",""
