"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MNRS0002","2011-07","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","7",",N","4",",N","1",",N","","","","","36.1",",,N,27,","79.8",",,,N","",""
"US1MNRS0002","2011-08","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","13","1,N","3","1,N","0","1,N","","","","","9.4","1,,N,31,","29.4","1,,,N","",""
"US1MNRS0002","2011-09","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","11","1,N","5","1,N","0","1,N","","","","","8.9","1,,N,01,","32.4","1,,,N","",""
"US1MNRS0002","2011-11","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","3",",N","0",",N","0",",N","0","3,N","20","3,,N,16,","2.0",",,N,16,","4.8",",,,N","33","3,,,N"
"US1MNRS0002","2011-12","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","2","4,N","0","4,N","0","4,N","","","","","0.5","4,,N,23,+","1.0","4,,,N","",""
"US1MNRS0002","2012-01","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","8","1,N","2","1,N","0","1,N","","","","","4.1","1,,N,31,","10.6","1,,,N","",""
"US1MNRS0002","2012-02","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","6",",N","1",",N","0",",N","1","5,N","38","5,,N,16,","10.7",",,N,21,","14.1",",,,N","38","5,,,N"
"US1MNRS0002","2012-03","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","8","2,N","2","2,N","0","2,N","","","","","16.5","2,,N,13,","29.5","2,,,N","",""
"US1MNRS0002","2012-04","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","7","2,N","4","2,N","0","2,N","","","","","9.1","2,,N,14,","26.3","2,,,N","",""
"US1MNRS0002","2012-05","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","8","2,N","4","2,N","0","2,N","","","","","10.4","2,,N,29,","30.0","2,,,N","",""
"US1MNRS0002","2012-06","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","8","2,N","5","2,N","0","2,N","","","","","16.8","2,,N,16,","101.6",",a,,N","",""
"US1MNRS0002","2012-08","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","7","1,N","4","1,N","0","1,N","","","","","16.5","1,,N,26,","33.3","1,,,N","",""
"US1MNRS0002","2012-09","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","4","2,N","1","2,N","0","2,N","","","","","3.8","2,,N,06,","7.3","2,,,N","",""
"US1MNRS0002","2012-10","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","10","3,N","6","3,N","0","3,N","","","","","17.0","3,,N,05,","79.3","3,,,N","",""
"US1MNRS0002","2012-12","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","12","5,N","1","5,N","0","5,N","","","","","3.8","5,,N,09,","10.9","5,,,N","",""
"US1MNRS0002","2013-01","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","12","2,N","3","2,N","0","2,N","","","","","10.7","2,,N,12,","30.5","2,,,N","",""
"US1MNRS0002","2013-04","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","8","5,N","3","5,N","0","5,N","","","","","24.1","5,,N,30,","36.1","5,,,N","",""
"US1MNRS0002","2013-05","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","11","5,N","5","5,N","2","5,N","","","","","43.7","5,,N,20,","111.7","5,,,N","",""
"US1MNRS0002","2013-07","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","10","4,N","4","4,N","0","4,N","","","","","21.3","4,,N,18,","80.9",",a,,N","",""
"US1MNRS0002","2013-08","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","6","5,N","3","5,N","1","5,N","","","","","28.2","5,,N,25,","56.4","5,,,N","",""
"US1MNRS0002","2013-11","48.848604","-95.757375","318.8","ROSEAU 0.4 NE, MN US","8","3,N","2","3,N","0","3,N","","","","","11.4","3,,N,17,","21.4","3,,,N","",""
