"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MNWR0035","2017-03","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","9","3,N","2","3,N","0","3,N","4","2,N","2","2,N","64","2,,N,13,","71","2,,N,13,","4.6","3,,N,13,","16.4","3,,,N","118","2,,,N"
"US1MNWR0035","2017-04","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","12",",N","9",",N","0",",N","1",",N","1",",N","25",",,N,11,","56",",,N,11,","20.3",",,N,26,","92.6",",,,N","64",",,,N"
"US1MNWR0035","2017-05","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","11",",N","7",",N","2",",N","0",",N","0",",N","0",",,N,31,+","0",",T,N,02,+","36.8",",,N,21,","137.8",",,,N","0",",T,,N"
"US1MNWR0035","2017-06","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","12",",N","8",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",T,N,14,","18.5",",,N,29,","73.0",",,,N","0",",T,,N"
"US1MNWR0035","2017-07","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","10",",N","6",",N","0",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","17.5",",,N,18,","60.2",",,,N","0",",,,N"
"US1MNWR0035","2017-08","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","15",",N","8",",N","1",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","25.7",",,N,26,","124.7",",,,N","0",",,,N"
"US1MNWR0035","2017-09","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","11",",N","5",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","16.5",",,N,25,","43.9",",,,N","0",",,,N"
"US1MNWR0035","2017-10","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","8","5,N","7","5,N","1","5,N","0","5,N","0","5,N","0","5,,N,31,+","0","5,,N,31,+","88.9","5,,N,03,","152.4","5,,,N","0","5,,,N"
"US1MNWR0035","2018-05","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","12","2,N","5","2,N","0","2,N","0","3,N","0","3,N","0","3,,N,31,+","0","3,,N,31,+","22.1","2,,N,30,","47.9","2,,,N","0","3,,,N"
"US1MNWR0035","2018-06","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","11",",N","7",",N","0",",N","0","2,N","0","2,N","0","2,,N,30,+","0","2,,N,30,+","19.3",",,N,17,","82.8",",,,N","0","2,,,N"
"US1MNWR0035","2018-07","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","14",",N","5",",N","1",",N","0","5,N","0","3,N","0","5,,N,31,+","0","3,,N,31,+","35.8",",,N,02,","73.3",",,,N","0","3,,,N"
"US1MNWR0035","2018-08","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","11",",N","6",",N","2",",N","0","5,N","0","2,N","0","5,,N,31,+","0","2,,N,31,+","34.0",",,N,25,","92.8",",,,N","0","2,,,N"
"US1MNWR0035","2018-09","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","11",",N","6",",N","2",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","61.2",",,N,21,","125.3",",,,N","0",",,,N"
"US1MNWR0035","2019-04","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","13",",N","8",",N","0",",N","3",",N","2","1,N","127",",,N,12,","97","1,,N,11,","25.1",",,N,18,","85.7",",,,N","151","1,,,N"
"US1MNWR0035","2019-05","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","15",",N","10",",N","2",",N","0","1,N","0","2,N","0","1,,N,31,+","0","2,T,N,10,","32.5",",,N,09,","175.9",",,,N","0","2,T,,N"
"US1MNWR0035","2019-06","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","13",",N","6",",N","0",",N","0",",N","0",",N","0",",,N,30,+","0",",,N,30,+","20.3",",,N,24,","70.0",",,,N","0",",,,N"
"US1MNWR0035","2019-07","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","10",",N","9",",N","2",",N","0",",N","0",",N","0",",,N,31,+","0",",,N,31,+","69.9",",,N,16,","148.1",",,,N","0",",,,N"
"US1MNWR0035","2019-08","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","10",",N","7",",N","1",",N","0","1,N","0",",N","0","1,,N,31,+","0",",,N,31,+","28.2",",,N,18,","96.9",",,,N","0",",,,N"
"US1MNWR0035","2019-09","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","16",",N","10",",N","1",",N","0",",N","0",",N","0",",,N,30,+","0",",T,N,03,","39.1",",,N,30,","137.5",",,,N","0",",T,,N"
"US1MNWR0035","2019-10","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","15",",N","10",",N","2",",N","0","3,N","0","3,N","0","3,,N,31,+","0","3,T,N,29,","33.8",",,N,22,","110.0",",,,N","0","3,T,,N"
"US1MNWR0035","2020-05","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","9","1,N","5","1,N","1","1,N","","","","","","","","","27.4","1,,N,17,","68.4","1,,,N","",""
"US1MNWR0035","2020-06","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","8","2,N","5","2,N","1","2,N","","","","","","","","","37.6","2,,N,29,","95.9","2,,,N","",""
"US1MNWR0035","2020-07","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","8",",N","5",",N","1",",N","","","","","","","","","36.1",",,N,22,","80.1",",,,N","",""
"US1MNWR0035","2020-08","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","12",",N","7",",N","2",",N","","","","","","","","","56.1",",,N,10,","156.2",",,,N","",""
"US1MNWR0035","2020-09","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","11",",N","4",",N","0",",N","0","1,N","0","1,N","0","1,,N,30,+","0","1,,N,30,+","11.4",",,N,12,","30.8",",,,N","0","1,,,N"
"US1MNWR0035","2021-06","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","7",",N","3",",N","0",",N","","","0","3,N","","","0","3,,N,30,+","20.3",",,N,09,","38.8",",,,N","0","3,,,N"
"US1MNWR0035","2021-07","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","6",",N","3",",N","0",",N","0","3,N","0","1,N","0","3,,N,31,+","0","1,,N,31,+","10.4",",,N,15,","21.8",",,,N","0","1,,,N"
"US1MNWR0035","2021-08","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","12",",N","8",",N","1",",N","0","4,N","0","4,N","0","4,,N,31,+","0","4,,N,31,+","41.1",",,N,27,","111.0",",,,N","0","4,,,N"
"US1MNWR0035","2021-09","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","8",",N","4",",N","2",",N","0","3,N","0","1,N","0","3,,N,30,+","0","1,,N,30,+","34.3",",,N,21,","90.3",",,,N","0","1,,,N"
"US1MNWR0035","2021-10","45.253598","-93.659205","294.4","OTSEGO 2.1 WSW, MN US","10",",N","6",",N","0",",N","0","3,N","0","2,N","0","3,,N,31,+","0","2,,N,31,+","19.8",",,N,21,","67.9",",,,N","0","2,,,N"
