"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOAW0007","2014-11","40.059","-94.66","324.0","REA 5.5 E, MO US","7",",N","1",",N","0",",N","","","0",",N","","","18",",,N,26,","5.6",",,N,24,","10.7",",,,N","33",",,,N"
"US1MOAW0007","2014-12","40.059","-94.66","324.0","REA 5.5 E, MO US","9",",N","4",",N","0",",N","3",",N","1",",N","64",",,N,18,","64",",,N,18,","7.9",",,N,23,+","27.1",",,,N","64",",,,N"
"US1MOAW0007","2015-01","40.059","-94.66","324.0","REA 5.5 E, MO US","5",",N","0",",N","0",",N","1",",N","0",",N","25",",,N,07,","18",",,N,04,","1.5",",,N,25,","5.1",",,,N","31",",,,N"
"US1MOAW0007","2015-02","40.059","-94.66","324.0","REA 5.5 E, MO US","6",",N","2",",N","0",",N","7",",N","3",",N","140",",,N,05,","76",",,N,01,","24.6",",,N,01,","30.3",",,,N","173",",,,N"
"US1MOAW0007","2015-03","40.059","-94.66","324.0","REA 5.5 E, MO US","5","1,N","2","1,N","0","1,N","","","","","","","","","19.1","1,,N,24,","29.8","1,,,N","",""
"US1MOAW0007","2015-04","40.059","-94.66","324.0","REA 5.5 E, MO US","13","1,N","7","1,N","0","1,N","","","","","","","","","21.8","1,,N,02,","88.6","1,,,N","",""
"US1MOAW0007","2015-05","40.059","-94.66","324.0","REA 5.5 E, MO US","20","2,N","12","2,N","3","2,N","","","","","","","","","56.6","2,,N,17,","199.6","2,,,N","",""
"US1MOAW0007","2015-06","40.059","-94.66","324.0","REA 5.5 E, MO US","12",",N","7",",N","3",",N","","","","","","","","","70.1",",,N,12,","187.7",",,,N","",""
"US1MOAW0007","2015-07","40.059","-94.66","324.0","REA 5.5 E, MO US","12",",N","10",",N","3",",N","","","","","","","","","93.2",",,N,16,","287.1",",,,N","",""
"US1MOAW0007","2015-09","40.059","-94.66","324.0","REA 5.5 E, MO US","10","4,N","4","4,N","0","4,N","","","","","","","","","24.1","4,,N,02,","72.2","4,,,N","",""
"US1MOAW0007","2015-10","40.059","-94.66","324.0","REA 5.5 E, MO US","7",",N","5",",N","0",",N","","","","","","","","","10.9",",,N,31,","40.9",",,,N","",""
"US1MOAW0007","2015-11","40.059","-94.66","324.0","REA 5.5 E, MO US","13","1,N","6","1,N","2","1,N","","","","","","","","","40.4","1,,N,17,","126.7","1,,,N","",""
"US1MOAW0007","2015-12","40.059","-94.66","324.0","REA 5.5 E, MO US","15",",N","10",",N","1",",N","","","","","","","","","40.4",",,N,14,","99.2",",,,N","",""
"US1MOAW0007","2016-01","40.059","-94.66","324.0","REA 5.5 E, MO US","6",",N","1",",N","0",",N","","","1","3,N","","","51","3,,N,17,","15.0",",,N,08,","19.8",",,,N","72","3,,,N"
"US1MOAW0007","2016-02","40.059","-94.66","324.0","REA 5.5 E, MO US","2",",N","1",",N","0",",N","","","1","2,N","","","25","2,,N,08,","11.7",",,N,02,","13.0",",,,N","25","2,,,N"
"US1MOAW0007","2016-03","40.059","-94.66","324.0","REA 5.5 E, MO US","12",",N","8",",N","0",",N","","","","","","","","","5.6",",,N,15,","35.6",",,,N","",""
"US1MOAW0007","2016-04","40.059","-94.66","324.0","REA 5.5 E, MO US","12",",N","8",",N","1",",N","","","","","","","","","66.8",",,N,27,","168.8",",,,N","",""
"US1MOAW0007","2016-05","40.059","-94.66","324.0","REA 5.5 E, MO US","15",",N","10",",N","1",",N","","","","","","","","","29.2",",,N,27,","115.1",",,,N","",""
"US1MOAW0007","2016-06","40.059","-94.66","324.0","REA 5.5 E, MO US","6",",N","3",",N","1",",N","","","0","5,N","","","0","5,,N,30,+","30.2",",,N,21,","49.3",",,,N","0","5,,,N"
"US1MOAW0007","2016-07","40.059","-94.66","324.0","REA 5.5 E, MO US","11",",N","5",",N","1",",N","","","","","","","","","31.0",",,N,03,","87.2",",,,N","",""
"US1MOAW0007","2016-08","40.059","-94.66","324.0","REA 5.5 E, MO US","12",",N","10",",N","3",",N","","","","","","","","","49.0",",,N,26,","199.7",",,,N","",""
"US1MOAW0007","2016-09","40.059","-94.66","324.0","REA 5.5 E, MO US","7",",N","6",",N","3",",N","","","","","","","","","53.3",",,N,14,","177.3",",,,N","",""
"US1MOAW0007","2016-10","40.059","-94.66","324.0","REA 5.5 E, MO US","6",",N","3",",N","1",",N","","","","","","","","","31.2",",,N,05,","50.0",",,,N","",""
"US1MOAW0007","2016-11","40.059","-94.66","324.0","REA 5.5 E, MO US","4",",N","2",",N","0",",N","","","0","4,N","","","0","4,,N,30,+","18.5",",,N,23,","26.9",",,,N","0","4,,,N"
"US1MOAW0007","2016-12","40.059","-94.66","324.0","REA 5.5 E, MO US","7",",N","4",",N","0",",N","","","","","","","","","15.2",",,N,04,","33.5",",,,N","",""
"US1MOAW0007","2017-01","40.059","-94.66","324.0","REA 5.5 E, MO US","7",",N","4",",N","0",",N","","","","","","","","","19.3",",,N,17,","32.7",",,,N","",""
"US1MOAW0007","2017-02","40.059","-94.66","324.0","REA 5.5 E, MO US","5",",N","2",",N","0",",N","","","0","5,N","","","13","5,,N,25,","3.3",",,N,24,","8.3",",,,N","13","5,,,N"
"US1MOAW0007","2017-03","40.059","-94.66","324.0","REA 5.5 E, MO US","8",",N","5",",N","0",",N","","","","","","","","","23.1",",,N,25,","75.0",",,,N","",""
"US1MOAW0007","2017-04","40.059","-94.66","324.0","REA 5.5 E, MO US","15",",N","10",",N","1",",N","","","","","","","","","48.3",",,N,05,","156.5",",,,N","",""
"US1MOAW0007","2017-05","40.059","-94.66","324.0","REA 5.5 E, MO US","10",",N","7",",N","1",",N","","","","","","","","","30.5",",,N,19,","85.3",",,,N","",""
"US1MOAW0007","2017-06","40.059","-94.66","324.0","REA 5.5 E, MO US","8",",N","5",",N","2",",N","","","","","","","","","45.0",",,N,29,","94.3",",,,N","",""
"US1MOAW0007","2017-07","40.059","-94.66","324.0","REA 5.5 E, MO US","6",",N","5",",N","2",",N","","","","","","","","","90.9",",,N,13,","175.7",",,,N","",""
"US1MOAW0007","2017-08","40.059","-94.66","324.0","REA 5.5 E, MO US","10",",N","7",",N","1",",N","","","","","","","","","34.3",",,N,20,","91.2",",,,N","",""
"US1MOAW0007","2017-09","40.059","-94.66","324.0","REA 5.5 E, MO US","4",",N","3",",N","0",",N","","","0","4,N","","","0","4,,N,30,+","19.3",",,N,26,","29.0",",,,N","0","4,,,N"
"US1MOAW0007","2017-10","40.059","-94.66","324.0","REA 5.5 E, MO US","10",",N","6",",N","2",",N","","","","","","","","","47.8",",,N,06,","137.6",",,,N","",""
"US1MOAW0007","2017-11","40.059","-94.66","324.0","REA 5.5 E, MO US","4",",N","3",",N","0",",N","","","0","4,N","","","0","4,,N,30,+","7.9",",,N,18,","15.3",",,,N","0","4,,,N"
"US1MOAW0007","2017-12","40.059","-94.66","324.0","REA 5.5 E, MO US","3",",N","2",",N","0",",N","","","1","2,N","","","76","2,,N,24,","4.3",",,N,24,","7.1",",,,N","76","2,,,N"
"US1MOAW0007","2018-01","40.059","-94.66","324.0","REA 5.5 E, MO US","6",",N","4",",N","0",",N","","","0","5,N","","","13","5,,N,14,","11.4",",,N,22,","22.3",",,,N","18","5,,,N"
"US1MOAW0007","2018-02","40.059","-94.66","324.0","REA 5.5 E, MO US","9","1,N","3","1,N","0","1,N","","","","","","","","","8.6","1,,N,23,","25.7","1,,,N","",""
"US1MOAW0007","2018-03","40.059","-94.66","324.0","REA 5.5 E, MO US","10",",N","3",",N","0",",N","","","","","","","","","7.9",",,N,17,","25.7",",,,N","",""
"US1MOAW0007","2018-04","40.059","-94.66","324.0","REA 5.5 E, MO US","6",",N","2",",N","0",",N","","","","","","","","","7.6",",,N,01,","19.7",",,,N","",""
"US1MOAW0007","2018-05","40.059","-94.66","324.0","REA 5.5 E, MO US","10",",N","6",",N","0",",N","","","","","","","","","25.1",",,N,02,","88.1",",,,N","",""
"US1MOAW0007","2018-06","40.059","-94.66","324.0","REA 5.5 E, MO US","8","1,N","6","1,N","1","1,N","","","","","","","","","25.9","1,,N,26,","97.3","1,,,N","",""
"US1MOAW0007","2018-07","40.059","-94.66","324.0","REA 5.5 E, MO US","8",",N","5",",N","0",",N","","","","","","","","","8.9",",,N,28,+","32.5",",,,N","",""
"US1MOAW0007","2018-08","40.059","-94.66","324.0","REA 5.5 E, MO US","10",",N","8",",N","4",",N","","","","","","","","","69.3",",,N,20,","202.9",",,,N","",""
"US1MOAW0007","2018-09","40.059","-94.66","324.0","REA 5.5 E, MO US","11","1,N","7","1,N","0","1,N","","","","","","","","","14.2","1,,N,03,","55.2","1,,,N","",""
"US1MOAW0007","2018-10","40.059","-94.66","324.0","REA 5.5 E, MO US","16",",N","10",",N","4",",N","","","","","","","","","41.9",",,N,09,","181.7",",,,N","",""
"US1MOAW0007","2018-11","40.059","-94.66","324.0","REA 5.5 E, MO US","10",",N","3",",N","0",",N","","","","","","","","","8.9",",,N,26,","22.9",",,,N","",""
