"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOBN0012","2007-04","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","11","2,N","7","2,N","2","2,N","0",",N","0",",,N,30,+","30.5","2,,N,26,","112.1","2,,,N","0",",,,N"
"US1MOBN0012","2007-05","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","15",",N","8",",N","3",",N","0",",N","0",",,N,31,+","71.9",",,N,07,","166.5",",,,N","0",",,,N"
"US1MOBN0012","2007-06","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","9",",N","5",",N","3",",N","0",",N","0",",,N,30,+","57.4",",,N,28,","174.3",",,,N","0",",,,N"
"US1MOBN0012","2007-07","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","4",",N","4",",N","0",",N","0",",N","0",",,N,31,+","12.4",",,N,15,","28.3",",,,N","0",",,,N"
"US1MOBN0012","2007-08","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","4",",N","3",",N","1",",N","0",",N","0",",,N,31,+","57.4",",,N,25,","75.4",",,,N","0",",,,N"
"US1MOBN0012","2007-09","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","4",",N","3",",N","0",",N","0",",N","0",",,N,30,+","10.4",",,N,26,","22.9",",,,N","0",",,,N"
"US1MOBN0012","2007-10","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","11",",N","5",",N","2",",N","0",",N","0",",,N,31,+","40.6",",,N,14,","108.0",",,,N","0",",,,N"
"US1MOBN0012","2007-11","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","5",",N","4",",N","0",",N","0",",N","0",",T,N,25,","19.8",",,N,13,","43.5",",,,N","0",",T,,N"
"US1MOBN0012","2007-12","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","12",",N","10",",N","0",",N","4",",N","76",",,N,15,","22.1",",,N,09,","98.1",",,,N","236",",,,N"
"US1MOBN0012","2008-01","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","4",",N","2",",N","1",",N","0",",N","10",",,N,30,","76.2",",,N,08,","82.8",",,,N","10",",,,N"
"US1MOBN0012","2008-02","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","11",",N","7",",N","2",",N","2",",N","64",",,N,01,","38.4",",,N,06,","96.5",",,,N","123",",,,N"
"US1MOBN0012","2008-03","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","8",",N","7",",N","1",",N","0",",N","0",",,N,31,+","38.6",",,N,18,","96.0",",,,N","0",",,,N"
"US1MOBN0012","2008-04","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","18",",N","11",",N","2",",N","0",",N","0",",T,N,14,+","31.5",",,N,10,","159.3",",,,N","0",",T,,N"
"US1MOBN0012","2008-05","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","14",",N","10",",N","3",",N","0",",N","0",",,N,31,+","34.5",",,N,26,","156.4",",,,N","0",",,,N"
"US1MOBN0012","2008-06","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","15",",N","12",",N","3",",N","0",",N","0",",,N,30,+","57.2",",,N,20,","224.5",",,,N","0",",,,N"
"US1MOBN0012","2008-07","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","15",",N","12",",N","4",",N","0",",N","0",",,N,31,+","70.4",",,N,22,","277.7",",,,N","0",",,,N"
"US1MOBN0012","2008-08","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","6",",N","5",",N","1",",N","0",",N","0",",,N,31,+","28.4",",,N,21,","82.6",",,,N","0",",,,N"
"US1MOBN0012","2008-09","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","14",",N","8",",N","3",",N","0",",N","0",",,N,30,+","117.3",",,N,14,","261.0",",,,N","0",",,,N"
"US1MOBN0012","2008-10","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","9",",N","6",",N","0",",N","0",",N","0",",,N,31,+","21.6",",,N,15,","67.8",",,,N","0",",,,N"
"US1MOBN0012","2008-11","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","6",",N","4",",N","0",",N","0",",N","20",",,N,30,","7.9",",,N,30,","21.9",",,,N","20",",,,N"
"US1MOBN0012","2008-12","38.986395","-92.448517","206.0","COLUMBIA 6.9 WNW, MO US","12",",N","5",",N","1",",N","0","2,N","23","2,,N,17,","32.3",",,N,28,","64.6",",,,N","51","2,,,N"
