"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOCW0005","2008-08","39.016472","-91.889055","259.1","AUXVASSE 0.3 ESE, MO US","4","5,N","4","5,N","1","5,N","","","0","5,N","","","0","5,,N,31,+","25.7","5,,N,29,","75.3","1,a,,N","0","5,,,N"
"US1MOCW0005","2008-09","39.016472","-91.889055","259.1","AUXVASSE 0.3 ESE, MO US","8","5,N","6","5,N","3","5,N","","","0","5,N","","","0","5,,N,30,+","58.2","5,,N,04,","296.2",",a,,N","0","5,,,N"
"US1MOCW0005","2008-10","39.016472","-91.889055","259.1","AUXVASSE 0.3 ESE, MO US","9",",N","6",",N","0",",N","","","0",",N","","","0",",,N,31,+","14.2",",,N,22,","44.0",",,,N","0",",,,N"
"US1MOCW0005","2008-11","39.016472","-91.889055","259.1","AUXVASSE 0.3 ESE, MO US","7",",N","5",",N","0",",N","","","0",",N","","","23",",,N,30,","10.4",",,N,06,","34.7",",,,N","23",",,,N"
"US1MOCW0005","2008-12","39.016472","-91.889055","259.1","AUXVASSE 0.3 ESE, MO US","","","","","","","","","","","","","","","","","58.4",",a,,N","",""
"US1MOCW0005","2009-01","39.016472","-91.889055","259.1","AUXVASSE 0.3 ESE, MO US","","","","","","","","","1","5,N","","","25","5,,N,28,","","","","","53","5,,,N"
"US1MOCW0005","2009-02","39.016472","-91.889055","259.1","AUXVASSE 0.3 ESE, MO US","4",",N","4",",N","0",",N","0",",N","0","4,N","0",",T,N,21,","0","4,T,N,21,","22.6",",,N,12,","63.5",",,,N","0","4,T,,N"
"US1MOCW0005","2009-03","39.016472","-91.889055","259.1","AUXVASSE 0.3 ESE, MO US","8","4,N","4","4,N","0","4,N","","","","","","","","","24.4","4,,N,25,","78.0",",a,,N","",""
"US1MOCW0005","2009-04","39.016472","-91.889055","259.1","AUXVASSE 0.3 ESE, MO US","","","","","","","","","","","","","","","","","190.4",",a,,N","",""
"US1MOCW0005","2009-09","39.016472","-91.889055","259.1","AUXVASSE 0.3 ESE, MO US","2","5,N","2","5,N","0","5,N","","","","","","","","","23.6","5,,N,22,","98.5",",a,,N","",""
"US1MOCW0005","2009-11","39.016472","-91.889055","259.1","AUXVASSE 0.3 ESE, MO US","5",",N","3",",N","1",",N","","","","","","","","","36.3",",,N,16,","52.6",",,,N","",""
