"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOFSA127","2006-05","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","12",",N","2",",N","0",",N","0",",N","0",",,N,31,+","15.2",",,N,04,","29.2",",,,N","0",",,,N"
"US1MOFSA127","2006-06","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","8",",N","6",",N","1",",N","0",",N","0",",,N,30,+","47.0",",,N,01,","111.0",",,,N","0",",,,N"
"US1MOFSA127","2006-07","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","8",",N","4",",N","2",",N","0",",N","0",",,N,31,+","25.9",",,N,01,","79.8",",,,N","0",",,,N"
"US1MOFSA127","2006-08","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","12",",N","7",",N","2",",N","0",",N","0",",,N,31,+","110.5",",,N,08,","176.9",",,,N","0",",,,N"
"US1MOFSA127","2006-09","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","6",",N","3",",N","0",",N","0",",N","0",",,N,30,+","13.2",",,N,11,","32.8",",,,N","0",",,,N"
"US1MOFSA127","2006-10","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","7",",N","5",",N","0",",N","0",",N","0",",,N,31,+","20.3",",,N,11,","68.5",",,,N","0",",,,N"
"US1MOFSA127","2006-11","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","6",",N","3",",N","2",",N","0",",N","0",",,N,30,+","75.2",",,N,30,","110.6",",,,N","0",",,,N"
"US1MOFSA127","2006-12","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","6",",N","4",",N","1",",N","1",",N","254",",,N,01,","33.5",",,N,01,","74.2",",,,N","254",",,,N"
"US1MOFSA127","2007-01","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","7",",N","4",",N","0",",N","1","1,N","89","1,,N,21,","14.0",",,N,05,","50.4",",,,N","89","1,,,N"
"US1MOFSA127","2007-02","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","4",",N","3",",N","1",",N","2",",N","102",",,N,13,","48.3",",,N,24,","75.5",",,,N","166",",,,N"
"US1MOFSA127","2007-03","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","10",",N","10",",N","0",",N","0",",N","0",",,N,31,+","17.8",",,N,30,","82.3",",,,N","0",",,,N"
"US1MOFSA127","2007-04","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","8",",N","8",",N","0",",N","0",",N","0",",,N,30,+","22.6",",,N,11,","105.8",",,,N","0",",,,N"
"US1MOFSA127","2007-05","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","10",",N","7",",N","1",",N","0",",N","0",",,N,31,+","25.4",",,N,16,","78.7",",,,N","0",",,,N"
"US1MOFSA127","2007-06","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","9",",N","7",",N","3",",N","0",",N","0",",,N,30,+","32.8",",,N,29,","108.1",",,,N","0",",,,N"
"US1MOFSA127","2007-07","39.7938","-91.5439","198.1","PALMYRA 1.0 W, MO US","8",",N","4",",N","0",",N","0",",N","0",",,N,31,+","7.1",",,N,27,","27.4",",,,N","0",",,,N"
