"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOGR0117","2019-07","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","8","4,N","6","4,N","1","4,N","","","","","33.8","4,,N,29,","117.1",",a,,N","",""
"US1MOGR0117","2019-08","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","16",",N","10",",N","0",",N","","","","","17.3",",,N,30,","93.3",",,,N","",""
"US1MOGR0117","2019-09","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","6",",N","4",",N","0",",N","","","","","12.7",",,N,23,","25.6",",,,N","",""
"US1MOGR0117","2019-10","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","14",",N","11",",N","2",",N","","","","","57.2",",,N,11,","199.3",",,,N","",""
"US1MOGR0117","2019-11","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","10","2,N","6","2,N","0","2,N","","","","","24.4","2,,N,07,","81.6",",a,,N","",""
"US1MOGR0117","2019-12","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","7",",N","1",",N","1",",N","","","","","32.3",",,N,29,","37.1",",,,N","",""
"US1MOGR0117","2020-01","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","12",",N","6",",N","2",",N","","","","","60.7",",,N,11,","135.2",",,,N","",""
"US1MOGR0117","2020-02","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","12",",N","7",",N","0",",N","","","","","19.3",",,N,24,","67.0",",,,N","",""
"US1MOGR0117","2020-03","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","22",",N","13",",N","2",",N","","","","","29.5",",,N,17,","231.9",",,,N","",""
"US1MOGR0117","2020-04","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","21",",N","9",",N","1",",N","","","","","36.3",",,N,23,","127.6",",,,N","",""
"US1MOGR0117","2020-05","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","21",",N","13",",N","4",",N","","","","","36.3",",,N,22,","240.6",",,,N","",""
"US1MOGR0117","2020-06","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","4",",N","2",",N","1",",N","","","","","56.4",",,N,09,","75.3",",,,N","",""
"US1MOGR0117","2020-07","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","14",",N","5",",N","1",",N","","","","","32.8",",,N,30,","95.9",",,,N","",""
"US1MOGR0117","2020-08","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","7",",N","4",",N","0",",N","","","","","7.9",",,N,30,","23.9",",,,N","",""
"US1MOGR0117","2020-09","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","8",",N","4",",N","0",",N","","","","","22.1",",,N,28,","43.2",",,,N","",""
"US1MOGR0117","2020-10","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","11",",N","8",",N","2",",N","","","","","54.1",",,N,27,","122.3",",,,N","",""
"US1MOGR0117","2020-11","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","9",",N","5",",N","1",",N","","","","","37.1",",,N,22,","78.8",",,,N","",""
"US1MOGR0117","2020-12","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","8",",N","4",",N","0",",N","","","","","13.0",",,N,30,","38.3",",,,N","",""
"US1MOGR0117","2021-01","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","14",",N","9",",N","3",",N","","","","","32.5",",,N,25,","117.6",",,,N","",""
"US1MOGR0117","2021-02","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","10",",N","4",",N","0",",N","","","","","6.1",",,N,28,","21.3",",,,N","",""
"US1MOGR0117","2021-03","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","16",",N","9",",N","2",",N","","","","","48.8",",,N,13,","176.8",",,,N","",""
"US1MOGR0117","2021-04","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","15",",N","9",",N","2",",N","","","","","42.9",",,N,29,","152.8",",,,N","",""
"US1MOGR0117","2021-05","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","22",",N","15",",N","2",",N","","","","","52.3",",,N,28,","222.9",",,,N","",""
"US1MOGR0117","2021-06","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","14",",N","8",",N","1",",N","","","","","25.4",",,N,01,","102.8",",,,N","",""
"US1MOGR0117","2021-07","37.164108","-93.234668","387.4","SPRINGFIELD 3.6 SE, MO US","10",",N","8",",N","1",",N","","","","","59.4",",,N,26,","136.0",",,,N","",""
