"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOHT0006","2017-08","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","9","1,N","7","1,N","0","1,N","","","","","24.6","1,,N,15,","79.1","1,,,N","",""
"US1MOHT0006","2017-09","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","3",",N","3",",N","1",",N","","","","","27.9",",,N,17,","53.3",",,,N","",""
"US1MOHT0006","2017-10","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","11",",N","7",",N","1",",N","","","","","26.4",",,N,06,","102.6",",,,N","",""
"US1MOHT0006","2017-11","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","3",",N","1",",N","0",",N","","","","","6.9",",,N,18,","11.2",",,,N","",""
"US1MOHT0006","2017-12","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","2",",N","2",",N","0",",N","","","","","5.3",",,N,24,","8.6",",,,N","",""
"US1MOHT0006","2018-01","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","3",",N","2",",N","0",",N","","","","","7.6",",,N,11,","16.5",",,,N","",""
"US1MOHT0006","2018-02","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","8",",N","3",",N","0",",N","","","","","8.1",",,N,20,","26.3",",,,N","",""
"US1MOHT0006","2018-03","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","3",",N","1",",N","0",",N","","","","","7.9",",,N,27,","10.7",",,,N","",""
"US1MOHT0006","2018-04","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","4","1,N","3","1,N","0","1,N","","","","","8.6","1,,N,02,","19.0","1,,,N","",""
"US1MOHT0006","2018-05","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","9","1,N","6","1,N","0","1,N","","","","","22.4","1,,N,02,","86.2","1,,,N","",""
"US1MOHT0006","2018-06","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","8",",N","7",",N","1",",N","","","","","31.0",",,N,02,","94.2",",,,N","",""
"US1MOHT0006","2018-07","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","6",",N","5",",N","1",",N","","","","","33.8",",,N,01,","90.4",",,,N","",""
"US1MOHT0006","2018-08","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","9",",N","8",",N","4",",N","","","","","80.3",",,N,15,","241.4",",,,N","",""
"US1MOHT0006","2018-09","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","9",",N","8",",N","1",",N","","","","","54.9",",,N,03,","147.5",",,,N","",""
"US1MOHT0006","2018-10","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","14",",N","10",",N","4",",N","","","","","36.3",",,N,09,","170.0",",,,N","",""
"US1MOHT0006","2018-11","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","6",",N","5",",N","0",",N","","","","","19.6",",,N,26,","36.4",",,,N","",""
"US1MOHT0006","2018-12","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","7",",N","4",",N","1",",N","","","","","27.2",",,N,27,","71.2",",,,N","",""
"US1MOHT0006","2019-01","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","6",",N","5",",N","0",",N","","","","","8.4",",,N,12,","31.5",",,,N","",""
"US1MOHT0006","2019-02","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","9",",N","8",",N","0",",N","","","","","10.4",",,N,23,","45.9",",,,N","",""
"US1MOHT0006","2019-03","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","10",",N","7",",N","2",",N","","","","","30.5",",,N,29,","118.3",",,,N","",""
"US1MOHT0006","2019-04","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","8",",N","2",",N","1",",N","","","","","39.1",",,N,29,","53.9",",,,N","",""
"US1MOHT0006","2019-05","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","18",",N","14",",N","3",",N","","","","","160.0",",,N,29,","383.0",",,,N","",""
"US1MOHT0006","2019-06","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","8","3,N","5","3,N","0","3,N","","","","","24.4","3,,N,21,","90.7",",a,,N","",""
"US1MOHT0006","2019-08","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","10","4,N","8","4,N","1","4,N","","","","","32.0","4,,N,17,","115.5",",a,,N","",""
"US1MOHT0006","2019-09","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","10",",N","7",",N","4",",N","","","","","30.7",",,N,30,","153.2",",,,N","",""
"US1MOHT0006","2019-10","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","8",",N","6",",N","1",",N","","","","","34.0",",,N,02,","75.7",",,,N","",""
"US1MOHT0006","2019-11","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","4",",N","2",",N","0",",N","","","","","9.1",",,N,21,","15.2",",,,N","",""
"US1MOHT0006","2019-12","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","0","4,N","0","4,N","0","4,N","","","","","0.0","4,,N,31,+","48.6",",a,,N","",""
"US1MOHT0006","2020-01","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","3","3,N","3","3,N","1","3,N","","","","","26.9","3,,N,11,","53.3",",a,,N","",""
"US1MOHT0006","2020-02","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","1",",N","1",",N","0",",N","","","","","4.6",",,N,13,","4.6",",,,N","",""
"US1MOHT0006","2020-03","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","9","2,N","6","2,N","0","2,N","","","","","13.5","2,,N,10,","48.1",",a,,N","",""
"US1MOHT0006","2020-04","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","7",",N","5",",N","2",",N","","","","","34.5",",,N,17,","87.2",",,,N","",""
"US1MOHT0006","2020-05","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","12",",N","10",",N","0",",N","","","","","23.6",",,N,25,","89.4",",,,N","",""
"US1MOHT0006","2020-06","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","7",",N","7",",N","2",",N","","","","","47.0",",,N,27,","126.4",",,,N","",""
"US1MOHT0006","2020-07","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","12",",N","12",",N","5",",N","","","","","128.3",",,N,15,","388.7",",,,N","",""
"US1MOHT0006","2020-08","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","4",",N","3",",N","0",",N","","","","","8.1",",,N,10,","16.7",",,,N","",""
"US1MOHT0006","2020-09","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","6",",N","6",",N","0",",N","","","","","17.0",",,N,10,","56.5",",,,N","",""
"US1MOHT0006","2020-10","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","2",",N","2",",N","0",",N","","","","","10.9",",,N,23,","20.6",",,,N","",""
"US1MOHT0006","2020-11","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","5",",N","3",",N","1",",N","","","","","37.6",",,N,25,","79.8",",,,N","",""
"US1MOHT0006","2020-12","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","2",",N","2",",N","0",",N","","","","","22.6",",,N,30,","28.2",",,,N","",""
"US1MOHT0006","2021-01","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","6",",N","5",",N","0",",N","","","","","18.8",",,N,31,","51.3",",,,N","",""
"US1MOHT0006","2021-02","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","5",",N","2",",N","0",",N","0","5,N","0","5,,N,28,+","5.6",",,N,07,","12.3",",,,N","0","5,,,N"
"US1MOHT0006","2021-03","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","7",",N","6",",N","2",",N","","","","","37.1",",,N,14,","109.0",",,,N","",""
"US1MOHT0006","2021-04","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","7",",N","7",",N","0",",N","","","","","14.0",",,N,10,","50.8",",,,N","",""
"US1MOHT0006","2021-05","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","9",",N","7",",N","2",",N","","","","","34.5",",,N,21,","118.5",",,,N","",""
"US1MOHT0006","2021-06","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","8",",N","8",",N","2",",N","","","","","111.0",",,N,25,","201.1",",,,N","",""
"US1MOHT0006","2021-07","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","6",",N","5",",N","1",",N","","","","","41.1",",,N,10,","94.0",",,,N","",""
"US1MOHT0006","2021-08","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","6",",N","6",",N","3",",N","","","","","44.5",",,N,13,","151.5",",,,N","",""
"US1MOHT0006","2021-09","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","2",",N","2",",N","1",",N","0","3,N","0","3,,N,30,+","29.0",",,N,03,","47.8",",,,N","0","3,,,N"
"US1MOHT0006","2021-10","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","6",",N","6",",N","2",",N","","","","","36.8",",,N,11,","125.5",",,,N","",""
"US1MOHT0006","2021-11","40.080378","-95.164077","324.6","FOREST CITY 6.9 N, MO US","2",",N","2",",N","1",",N","0","2,N","0","2,,N,30,+","52.1",",,N,11,","57.4",",,,N","0","2,,,N"
