"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOPH0012","2009-09","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","7","1,N","7","1,N","3","1,N","","","","","62.2","1,,N,20,","177.7","1,,,N","",""
"US1MOPH0012","2009-10","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","13","3,N","11","3,N","3","3,N","","","","","102.1","3,,N,09,","353.0","1,a,,N","",""
"US1MOPH0012","2009-11","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","2","5,N","2","5,N","1","5,N","","","","","48.8","5,,N,16,","60.2","5,,,N","",""
"US1MOPH0012","2010-01","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","7","1,N","6","1,N","1","1,N","","","","","41.1","1,,N,24,","108.0","1,,,N","",""
"US1MOPH0012","2010-02","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","7","1,N","3","1,N","0","1,N","2","3,N","104","3,,N,09,+","19.8","1,,N,06,","46.5","1,,,N","246","3,,,N"
"US1MOPH0012","2010-03","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","8","5,N","7","5,N","0","5,N","","","","","17.3","5,,N,26,","54.7","5,,,N","",""
"US1MOPH0012","2010-04","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","6",",N","3",",N","2",",N","","","","","45.2",",,N,03,","90.7",",,,N","",""
"US1MOPH0012","2010-05","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","14","2,N","10","2,N","2","2,N","","","","","54.6","2,,N,20,","170.7","2,,,N","",""
"US1MOPH0012","2010-06","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","6",",N","5",",N","1",",N","","","","","51.8",",,N,09,","84.0",",,,N","",""
"US1MOPH0012","2010-07","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","13",",N","11",",N","1",",N","","","","","69.6",",,N,09,","224.6",",,,N","",""
"US1MOPH0012","2010-08","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","4",",N","3",",N","1",",N","0","4,N","0","4,,N,31,+","31.8",",,N,05,","50.8",",,,N","0","4,,,N"
"US1MOPH0012","2010-10","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","1",",N","1",",N","0",",N","0","3,N","0","3,,N,31,+","13.2",",,N,26,","13.2",",,,N","0","3,,,N"
"US1MOPH0012","2010-11","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","6","1,N","3","1,N","1","1,N","","","","","60.2","1,,N,25,","73.6","1,,,N","",""
"US1MOPH0012","2011-06","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","6","4,N","5","4,N","1","4,N","","","","","47.2","4,,N,19,","96.3","4,,,N","",""
"US1MOPH0012","2011-07","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","5","1,N","5","1,N","2","1,N","","","","","37.1","1,,N,07,","101.6","1,,,N","",""
"US1MOPH0012","2011-08","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","9","1,N","9","1,N","2","1,N","","","","","37.6","1,,N,05,","143.4","1,,,N","",""
"US1MOPH0012","2011-09","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","7",",N","5",",N","0",",N","","","","","24.4",",,N,15,","62.7",",,,N","",""
"US1MOPH0012","2011-10","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","5",",N","4",",N","1",",N","0","5,N","0","5,,N,31,+","34.0",",,N,18,","55.3",",,,N","0","5,,,N"
"US1MOPH0012","2011-11","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","11",",N","10",",N","0",",N","","","","","22.1",",,N,07,","108.2",",,,N","",""
"US1MOPH0012","2011-12","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","9",",N","6",",N","0",",N","","","","","17.3",",,N,20,","60.7",",,,N","",""
"US1MOPH0012","2012-01","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","5",",N","2",",N","0",",N","1","2,N","30","2,,N,12,","19.3",",,N,26,","26.1",",,,N","30","2,,,N"
"US1MOPH0012","2012-02","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","9",",N","3",",N","0",",N","1","2,N","109","2,,N,14,","23.4",",,N,04,","49.6",",,,N","115","2,,,N"
"US1MOPH0012","2012-03","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","9",",N","5",",N","1",",N","","","","","48.3",",,N,16,","104.4",",,,N","",""
"US1MOPH0012","2012-04","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","8",",N","4",",N","2",",N","","","","","41.1",",,N,14,","85.4",",,,N","",""
"US1MOPH0012","2012-05","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","6",",N","3",",N","1",",N","","","","","31.8",",,N,29,","45.8",",,,N","",""
"US1MOPH0012","2012-06","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","2",",N","2",",N","1",",N","0","3,N","0","3,,N,30,+","26.2",",,N,17,","30.5",",,,N","0","3,,,N"
"US1MOPH0012","2012-07","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","4",",N","2",",N","1",",N","","","","","25.9",",,N,09,","32.0",",,,N","",""
"US1MOPH0012","2012-08","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","6",",N","4",",N","0",",N","","","","","20.1",",,N,17,","43.3",",,,N","",""
"US1MOPH0012","2012-09","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","11",",N","7",",N","1",",N","","","","","39.9",",,N,01,","89.4",",,,N","",""
"US1MOPH0012","2012-10","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","11",",N","5",",N","0",",N","","","","","23.1",",,N,14,","70.6",",,,N","",""
"US1MOPH0012","2012-11","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","4",",N","2",",N","0",",N","0","4,N","0","4,,N,30,+","20.6",",,N,12,","28.5",",,,N","0","4,,,N"
"US1MOPH0012","2013-01","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","6","3,N","3","3,N","1","3,N","","","","","47.0","3,,N,30,","64.8","3,,,N","",""
"US1MOPH0012","2013-02","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","9",",N","8",",N","2",",N","1","4,N","53","4,,N,22,","37.1",",,N,22,","102.6",",,,N","87","4,,,N"
"US1MOPH0012","2013-03","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","13",",N","10",",N","2",",N","3","3,N","81","3,,N,25,","40.9",",,N,18,","135.9",",,,N","151","3,,,N"
"US1MOPH0012","2013-04","37.9508181","-91.7002567","321.0","ROLLA 3.6 E, MO US","9",",N","7",",N","2",",N","","","","","26.4",",,N,24,+","124.2",",,,N","",""
